key,0,1,2,3
#,IsHidden,Score,Name,Description
offset,12,8,0,4
int32,bit&01,int32,str,str
0,False,0,"",""
1,True,15000,"高速通關","在挑戰時間內通關"
2,True,5000,"標速通關","在標準時間內通關"
3,True,3000,"十招足以","使用的青魔法不低於2種、不超過10種"
4,True,10000,"四招足以","使用的青魔法不低於2種、不超過4種"
5,True,20000,"未受傷害","未受到傷害"
6,True,15000,"未曾恢復","未使用恢復體力的魔法"
7,True,1000,"打斷高手","打斷敵人的詠唱"
8,True,3000,"不緊不慢","未使用衝刺"
9,True,10000,"火系大師","只使用火與無屬性青魔法通關"
10,True,10000,"水系大師","只使用水與無屬性青魔法通關"
11,True,10000,"土系大師","只使用土與無屬性青魔法通關"
12,True,10000,"風系大師","只使用風與無屬性青魔法通關"
13,True,10000,"冰系大師","只使用冰與無屬性青魔法通關"
14,True,10000,"雷系大師","只使用雷與無屬性青魔法通關"
15,True,15000,"元素大師","用出水、火、土、冰、風、雷屬性攻擊"
16,True,20000,"技能大師","用出水、火、土、冰、風、雷、斬擊、突刺、打擊屬性攻擊"
17,True,5000,"弱化高手","賦予敵人的弱化效果達到6種或更多"
18,True,12000,"弱化專家","賦予敵人的弱化效果達到9種或更多"
19,True,15000,"物理大師","只使用物理攻擊的青魔法通關"
20,True,15000,"高階法師","只使用四星五星的青魔法通關"
21,True,15000,"初階法師","只使用一星二星的青魔法通關"
22,True,10000,"四面神通","用出不少於4種從面部放射的青魔法"
23,False,20000,"艾瑪吉娜大師",""
24,False,-30000,"單調至極",""
25,False,20000,"蠻神之力",""
26,False,50000,"巨人狩獵",""
27,False,50000,"觸手愛好者",""
28,False,80000,"青之完美",""
29,True,20000,"八面神通","用出不少於8種從面部放射的青魔法"
30,True,10000,"恢復大師","用出絨絨治療、蛻皮、白風"
31,False,25000,"亞歷山大愛好者",""
32,False,80000,"青磷之青",""
33,False,80000,"青之純粹",""
