key,0,1,2,3,4,5,6,7,8,9,10,11,12,13
#,Level,MinLevel,MaxLevel,Emote,MinTime,MaxTime,PlaceName,Icon{List},Icon{Discovered},Name,Impression,Description,Icon{Undiscovered},IsInitial
offset,12,16,42,36,38,40,20,24,28,0,4,8,32,43
int32,Level,int32,byte,Emote,uint16,uint16,PlaceName,Image,Image,str,str,str,Image,bit&01
2162688,4876856,0,0,22,800,1159,27,81501,81001,"梭魚埠頭","某位商人所見的風景。向下望去，三艘紅帆軍艦列隊停泊，彰顯著利姆薩·羅敏薩作為海之都的深厚實力。","軍用埠頭，利姆薩·羅敏薩引以為傲的旗艦艦隊「黑渦艦隊」在此停泊。一般市民是禁止進入的，不過，可以從視野好的地方看到旗艦凱旋號及整個艦隊的英姿。",81451,True
2162689,4876859,0,0,22,1800,459,27,81502,81002,"阿斯塔利西亞號海盜船","某個海盜所見的景色。喝酒之後就會情緒高漲，便會非常囂張地到不好惹的傢伙們的地盤上去張望。結果第二天醒來時發現自己被吊起來了。","三大海盜之首的海盜團「斷罪黨」擁有的大型帆船。雖然表面上對外宣稱這是一艘外國籍的商務船，但其實每個人心裡都清楚，那是大海盜希爾菲厄的私有船。船內則是各路海盜們的社交場所。",81451,True
2162690,4876905,0,0,58,500,759,30,81503,81003,"海詞石窟的紀念碑","某位水手所見的風景。其在出海打漁之前固定會做的儀式，在遠離陽光的洞穴中為逝去的同伴們祈禱。悄然的雨聲，為祈禱伴上了一曲安穩的鎮魂歌。","船員們的紀念碑。紀念碑上刻有傳說會運送靈魂的黑尾鷗，以及一首鎮魂歌：「我是支撐船隻的波浪，我是指引海員的微風。我是夜晚的星星，我是早晨的天空。我生於大海之中，亦將逝於大海之中。」",81451,True
2162691,4876907,0,0,22,1200,1659,30,81504,81004,"天梯","某位運貨人所見的風景。辛苦勞動的工作中抽空看看美景可以說是最好的休息。藍天下的氣球真是美妙。","第七靈災時，天地巨變導致這裡的地形發生了極大的變化。為了跨越這新生的橫斷崖，利姆薩·羅敏薩的運貨人共同搭建起了能夠運送貨物的升降機。除升降機外，有時他們還會使用氣球上下傳遞物資。",81451,True
2162692,4876912,0,0,22,800,1159,30,81505,81005,"拉撒格蘭東路","某位警備兵所見的風景。灰色的天空有如灰色的心情，只有登高遠望前人開拓出的道路，回顧開拓者的辛勞，才能讓心緒得到舒展。","連接中拉諾西亞和拉諾西亞低地、並通往東拉諾西亞的一條道路。這條路是以一位精靈族的冒險者「拉撒格蘭」的名字命名。在人們遷入到這個島嶼的早期時候，他曾與建國船加拉迪翁號的領航員德內維爾一起，在島上探索並記錄下地形的結構。",81451,True
2162693,4876920,0,0,22,1800,459,31,81508,81008,"砂鹽灘","某位捕魚人所見的風景。在放浪神的守護下，低垂的釣竿探索著水中的魚群。每次看到眼前這些鹽柱都讓人回想起5年前的慘劇。","靈災之時，墜落的衛月碎片貫穿了沙灘的地脈，使得大量的乙太噴出形成偏屬性水晶。也因此使得海水中的鹽分結晶化，形成了巨大的鹽柱。",81451,True
2162694,4876921,0,0,22,500,759,31,81509,81009,"赤血雄雞農場的田地","某位農夫所見的風景。農夫每天都要起得很早，每天早起之後都有一項必做的事：站在大門之上，望向晨霧中的田地。雖然簡單卻能振奮一天的心情。","由一名園藝工建立的實驗農場。這裡不僅栽培農作物，也會飼養一些渡渡鳥和羊羔之類的家禽和家畜。農場的名字也頗有來歷，當初人們為了取樂而讓白雞和紅雞相鬥，可最終卻由於戰鬥慘烈而使兩隻雞渾身上下都染成了血紅色。",81451,True
