key,0,1,2,3,4
#,Name,Description,Icon,ChocoboRaceAbilityType,Value
offset,0,4,8,13,12
int32,str,str,Image,ChocoboRaceAbilityType,byte
0,"","",0,0,0
1,"陸行鳥衝刺","衝刺。<hex:02100103>持續時間：1秒",70001,1,1
2,"陸行鳥衝刺II","衝刺。<hex:02100103>持續時間：2秒",70002,1,2
3,"陸行鳥衝刺III","衝刺。<hex:02100103>持續時間：3秒",70003,1,3
4,"陸行鳥治療","恢復6%的體力。",70004,2,6
5,"陸行鳥治療II","恢復9%的體力。",70005,2,9
6,"陸行鳥治療III","恢復12%的體力。",70006,2,12
7,"陸行鳥康復","75%的機率解除弱化效果。",70007,3,75
8,"陸行鳥康復II","90%的機率解除弱化效果。",70008,3,90
9,"陸行鳥康復III","100%的機率解除弱化效果。",70009,3,100
10,"陸行鳥活力","解除加重狀態，並恢復80的體力。",70010,4,80
11,"陸行鳥活力II","解除加重狀態，並恢復130的體力。",70011,4,130
12,"陸行鳥活力III","解除加重狀態，並恢復180的體力。",70012,4,180
13,"陸行鳥鎮靜","解除失控狀態，並恢復100的體力。",70013,5,100
14,"陸行鳥鎮靜II","解除失控狀態，並恢復150的體力。",70014,5,150
15,"陸行鳥鎮靜III","解除失控狀態，並恢復200的體力。",70015,5,200
16,"陸行鳥反射","將僅以自身為目標的弱化效果反射給使用者。<hex:02100103>持續時間：10秒",70016,6,10
17,"陸行鳥反射II","將僅以自身為目標的弱化效果反射給使用者。<hex:02100103>持續時間：15秒",70017,6,15
18,"陸行鳥反射III","將僅以自身為目標的弱化效果反射給使用者。<hex:02100103>持續時間：20秒",70018,6,20
19,"陸行鳥偷取","50%的機率竊取前方陸行鳥的道具。",70019,7,50
20,"陸行鳥偷取II","70%的機率竊取前方陸行鳥的道具。",70020,7,70
21,"陸行鳥偷取III","90%的機率竊取前方陸行鳥的道具。",70021,7,90
22,"陸行鳥沉默","在自身周圍生成無法使用能力的結界。<hex:02100103>持續時間：35秒",70022,8,35
23,"陸行鳥沉默II","在自身周圍生成無法使用能力的結界。<hex:02100103>持續時間：40秒",70023,8,40
24,"陸行鳥沉默III","在自身周圍生成無法使用能力的結界。<hex:02100103>持續時間：45秒",70024,8,45
25,"陸行鳥震蕩","在自身周圍生成無法使用道具的結界。<hex:02100103>持續時間：25秒",70025,9,25
26,"陸行鳥震蕩II","在自身周圍生成無法使用道具的結界。<hex:02100103>持續時間：30秒",70026,9,30
27,"陸行鳥震蕩III","在自身周圍生成無法使用道具的結界。<hex:02100103>持續時間：35秒",70027,9,35
28,"體力消耗降低","加速時消耗的體力降低9%。",70028,10,9
29,"體力消耗降低II","加速時消耗的體力降低12%。",70029,10,12
30,"體力消耗降低III","加速時消耗的體力降低15%。",70030,10,15
31,"加重耐性","60%的機率使加重狀態無效化。",70031,11,60
32,"加重耐性II","70%的機率使加重狀態無效化。",70032,11,70
33,"加重耐性III","80%的機率使加重狀態無效化。",70033,11,80
34,"加重耐性IV","90%的機率使加重狀態無效化。",70034,11,90
35,"加重耐性V","100%的機率使加重狀態無效化。",70035,11,100
36,"失控耐性","60%的機率使失控狀態無效化。",70036,12,60
37,"失控耐性II","70%的機率使失控狀態無效化。",70037,12,70
38,"失控耐性III","80%的機率使失控狀態無效化。",70038,12,80
39,"失控耐性IV","90%的機率使失控狀態無效化。",70039,12,90
40,"失控耐性V","100%的機率使失控狀態無效化。",70040,12,100
41,"體力恢復量提高","恢復體力時的恢復量增加50%。",70041,13,50
42,"體力恢復量提高II","恢復體力時的恢復量增加65%。",70042,13,65
43,"體力恢復量提高III","恢復體力時的恢復量增加80%。",70043,13,80
44,"經驗值提高","獲得的經驗值增加10%。",70044,14,10
45,"經驗值提高II","獲得的經驗值增加20%。",70045,14,20
46,"經驗值提高III","獲得的經驗值增加30%。",70046,14,30
47,"起跑衝刺","比賽開始時，以最高速度起跑。",70047,15,1
48,"陸行鳥吸收","在自身周圍生成吸收體力的結界。<hex:02100103>每秒鐘從範圍內的陸行鳥處吸收15的體力。",70048,16,15
49,"陸行鳥吸收II","在自身周圍生成吸收體力的結界。<hex:02100103>每秒鐘從範圍內的陸行鳥處吸收25的體力。",70049,16,25
50,"陸行鳥吸收III","在自身周圍生成吸收體力的結界。<hex:02100103>每秒鐘從範圍內的陸行鳥處吸收35的體力。",70050,16,35
51,"道具變換","將目前持有的道具轉換為其它道具。",70051,17,0
52,"模仿","自身前方的陸行鳥使用道具或能力時，發動與之相同的效果。<hex:02100103>持續時間：7秒",70052,18,7
53,"模仿II","自身前方的陸行鳥使用道具或能力時，發動與之相同的效果。<hex:02100103>持續時間：11秒",70053,18,11
54,"模仿III","自身前方的陸行鳥使用道具或能力時，發動與之相同的效果。<hex:02100103>持續時間：15秒",70054,18,15
55,"鳥羽結界","不受其他陸行鳥發動的結界效果影響。<hex:02100103>持續時間：10秒",70055,19,10
56,"鳥羽結界II","不受其他陸行鳥發動的結界效果影響。<hex:02100103>持續時間：20秒",70056,19,20
57,"鳥羽結界III","不受其他陸行鳥發動的結界效果影響。<hex:02100103>持續時間：30秒",70057,19,30
58,"超級衝刺","不再受到天氣或地形的效果影響，持續衝刺直到體力降至0。",70058,20,0
59,"陸行鳥重生","體力降至0時一次性恢復60體力。",70059,21,60
60,"陸行鳥重生II","體力降至0時一次性恢復130體力。",70060,21,130
61,"陸行鳥重生III","體力降至0時一次性恢復200體力。",70061,21,200
62,"弱化耐性","自身所受弱化效果的持續時間減少至80%。",70062,22,80
