key,0,1,2,3,4,5,6
#,Name,Description,Icon,FCRank,Cost,Order,Purchasable
offset,0,4,12,16,8,17,18
int32,str,str,Image,FCRank,uint32,byte,bit&01
0,"","",0,0,0,0,True
1,"討伐經驗值提高","24小時內（地球時間），打倒敵人時獲得的經驗增加5%。",64213,5,3500,1,True
2,"採集經驗值提高","24小時內（地球時間），採集時獲得的經驗增加5%。",64215,5,3500,2,True
3,"製作經驗值提高","24小時內（地球時間），製作時獲得的經驗增加5%。",64216,5,3500,3,True
4,"搭檔經驗值提高","24小時內（地球時間），搭檔獲得的經驗增加10%。",64214,5,2800,4,True
5,"對戰戰績提高","24小時內（地球時間），對戰時所獲得的狼印戰績增加5%。",64217,5,2800,5,True
6,"軍票提高","24小時內（地球時間），獲得的軍票增加5%。",64218,5,2800,6,True
7,"鼓勵新人","24小時內（地球時間），25級以下戰鬥職業的所有狀態參數提高10%。",64201,5,1750,8,True
8,"獲得力提高","24小時內（地球時間），大地使者提升5點獲得力。",64202,5,2800,9,True
9,"鑑別力提高","24小時內（地球時間），大地使者提升5點鑑別力。",64203,5,2800,10,True
10,"作業精度提高","24小時內（地球時間），能工巧匠提升5點作業精度。",64204,5,2800,11,True
11,"加工精度提高","24小時內（地球時間），能工巧匠提升5點加工精度。",64205,5,2800,12,True
12,"精鍊度增加量提高","24小時內（地球時間），精鍊度增長得更快。",64209,5,3500,13,True
13,"食物效果時間延長","24小時內（地球時間），食物的效果時間延長5分鐘。",64208,5,2800,14,True
14,"裝備損耗降低","24小時內（地球時間），裝備品耐久度損耗降低10%。",64210,5,3500,15,True
15,"城內衝刺時間延長","24小時內（地球時間），城內衝刺效果時間延長25%。",64220,5,2800,16,True
16,"傳送優惠","24小時內（地球時間），傳送所需要花費的金幣減少20%。",64212,5,3500,17,True
17,"金碟幣提高","24小時內（地球時間），獲得的金碟幣增加5%。",64219,5,2800,7,True
18,"","",0,0,0,0,False
19,"","",0,0,0,0,False
20,"","",0,0,0,0,False
21,"","",0,0,0,0,False
22,"","",0,0,0,0,False
23,"","",0,0,0,0,False
24,"","",0,0,0,0,False
25,"","",0,0,0,0,False
26,"","",0,0,0,0,False
27,"","",0,0,0,0,False
28,"","",0,0,0,0,False
29,"","",0,0,0,0,False
30,"","",0,0,0,0,False
31,"討伐經驗值提高II","24小時內（地球時間），打倒敵人時獲得的經驗增加10%。",64238,8,7000,18,True
32,"採集經驗值提高II","24小時內（地球時間），採集時獲得的經驗增加10%。",64240,8,7000,19,True
33,"製作經驗值提高II","24小時內（地球時間），製作時獲得的經驗增加10%。",64241,8,7000,20,True
