key,0
#,Description
offset,0
int32,str
0,""
1,"過去曾經是關押偷獵者以及森林縱火魔等重犯的監獄。其看守的諢名「托托·拉克」取自傳說中擁有一千張巨口的魔物，並且據說這名看守經常對囚犯施以殘酷的拷問和嚴厲的懲罰。<hex:02100103><hex:02100103>在30多年前，當時的幻術皇以「違反人道」的名義徹底封鎖了這座令人生畏的監獄。然而，在失去了管理者之後，地下的牢獄如今已經變成了魔物築巢群生的廢墟……"
2,"格爾莫拉地下城邦時期建造的地下墓園。在森林之都格里達尼亞建國之後依舊延續了安葬死者的作用。<hex:02100103><hex:02100103>傳言地下墓園中卻出現了可疑的人影……這些人的真實身份，原來是邪教組織「最後之民」的倖存者。這個組織在上次靈災中，尊崇逐漸落下的衛月為救世神，聲稱衛月降臨會拯救一切。他們為了向阻止衛月的敵人復仇，以墓園中的遺體為憑依，召喚出了邪惡的妖異。"
3,"由於礦脈枯竭而已經廢棄了300年的銅山。後來艾瑪吉娜礦山公司取得了這裡的開採權，準備利用最新的採掘技術進行重新開發。<hex:02100103><hex:02100103>然而，在對最深處的岩盤進行爆破的時候，裡面卻出現了大量的巨人族對採礦工們發起襲擊。原來這些巨人是在烏爾達哈索恩朝時代被當做奴隸驅使的百臂巨人族，他們由於發動了叛亂而被封印在了銅山的地下。現在這些巨人再次開始為了自由和復仇發動暴行，一定要鎮壓住他們。"
4,"有人在小麥酒港近海的幻影群島附近目擊到了形跡可疑的船隻。負責警備這一地區的黃衫隊懷疑事件與互相協力的魚人族和海蛇之舌海盜團的活動有一定關係。在目擊地點附近的骷髏谷沿岸很可能有他們的據點。<hex:02100103><hex:02100103>也正在這個時期，又有情報說在沙斯塔夏溶洞中有可疑人士出沒，這樣一來互相的聯繫就很明顯了……"
5,"黃金色的池沼，黃金色的塵霧，然而這美麗的背後卻是能夠腐蝕身體的劇毒。洞中的硫磺和秘銀礦在地下水的作用下產生了奇妙的變化，結果便產生了這一美與毒交纏的神秘洞窟。<hex:02100103><hex:02100103>有人被洞中的美麗所吸引，有人被金礦的傳言所吸引，還有人被前人的遺物所吸引，進入洞窟探險的人始終沒有中斷過。然而，活著從洞中出來的人依舊少之又少……"
6,"這座雄偉的莊園原本是歷代幻術皇的住所，在前前任幻術皇主政期間推行了部分改革，這座莊園也以「過於奢侈」為由停止了使用。後來被森林之民的某個名門家族收購了，<hex:02100103><hex:02100103>現任家主阿芒迪娜是一位以美貌而聞名的妙齡女士。但是在靈災中她的臉上卻受到了很重的傷，隨後便逐漸淡出了人們的視線。難道她為了取回失去的美貌而與什麼人結下了契約……"
7,"烏爾達哈的鬥技場財團為了訓練旗下的角鬥士而設立的修鍊所。在其內部飼養了大量的魔物和野獸。但是，在第七靈災的混亂期間，管理者放棄了繼續維護這裡。一般人都認為那些失去了主人的魔獸得不到食物都會餓死在其中了。<hex:02100103><hex:02100103>可是經過了5年的歲月，當有人再次踏入這座設施之內時，他所看到的，是經過了5年的殘酷競爭而生存下來的魔獸，無論力量還是凶暴程度都得到了大幅增長。"
8,"在變得茂盛的接雨草樹林中，有著布雷福洛克斯一夥哥布林族人搭建的野營地。可是，他們在擴大生活圈的時候卻不小心驚動了一個不得了的大傢伙的睡眠。<hex:02100103><hex:02100103>野營地被巨大的生物所襲擊，哥布林們也都四散避難。但是他們即使想要外出開闢新天地，流浪所要用到的財產還仍然留在野營地裡。布雷福洛克斯還沒有放棄希望，她仍然在找尋收復野營地的機會。"
