key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
#,Name,Description,Animation{Start},Animation{End},Icon,ClassJob,ClassJobCategory,ClassJobLevel,QuestRequirement,Specialist,,Cost,CRP,BSM,ARM,GSM,LTW,WVR,ALC,CUL
offset,0,4,44,46,48,55,52,53,8,56,50,54,12,16,20,24,28,32,36,40
int32,str,str,ActionTimeline,ActionTimeline,Image,ClassJob,ClassJobCategory,byte,Quest,bit&01,uint16,byte,CraftAction,CraftAction,CraftAction,CraftAction,CraftAction,CraftAction,CraftAction,CraftAction
100000,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100001,"製作","消耗耐久以推動作業進展<hex:02100103>效率：<hex:020812E4E94509FF0B><hex:020807E0E94620796503><hex:6503><hex:02100103>成功率：100%",239,246,1501,8,9,1,0,False,0,0,100001,100015,100030,100075,100045,100060,100090,100105
100002,"加工","消耗耐久以提高製品品質<hex:02100103>效率：100<hex:02100103>成功率：100%",240,247,1502,8,9,5,0,False,0,18,100002,100016,100031,100076,100046,100061,100091,100106
100003,"精修","恢復30點耐久",242,249,1952,8,9,7,0,False,0,88,100003,100017,100032,100077,100047,100062,100092,100107
100004,"中級加工","消耗耐久以提高製品品質<hex:02100103>效率：125<hex:02100103>成功率：100%<hex:02100103><hex:024804F201F803><hex:024904F201F903>連擊條件：<hex:0249020103><hex:0248020103>加工　<hex:024804F201F803><hex:024904F201F903>連擊中消耗製作力：<hex:0249020103><hex:0248020103>18",240,247,1516,8,9,18,0,False,0,32,100004,100018,100034,100078,100048,100064,100093,100109
100005,"精修II","恢復60點耐久",242,249,1956,-1,0,1,0,False,0,0,100005,100019,100035,100079,100049,100065,100094,100110
100006,"風之印記","消耗耐久以推動作業進展<hex:02100103>處理風屬性配方時效率變為2倍<hex:02100103>效率：100（200）<hex:02100103>成功率：90%",239,246,1509,-1,0,1,0,False,0,0,100006,0,0,0,0,0,0,0
100007,"中級製作","消耗耐久以推動作業進展<hex:02100103>效率：150<hex:02100103>成功率：90%",239,246,1515,-1,0,1,0,False,0,0,100007,100021,100037,100080,100051,100067,100096,100111
100008,"上級加工","消耗耐久以提高製品品質<hex:02100103>效率：150<hex:02100103>成功率：90%",240,247,1517,-1,0,1,0,False,0,0,100008,100022,100038,100081,100052,100068,100097,100112
100009,"比爾格的祝福","消耗耐久以提高製品品質<hex:02100103>隨內靜的效果提高效率，內靜每生效過一次效率提升20<hex:02100103>使用之後會結束內靜效果<hex:02100103>效率：100（100～）<hex:02100103>成功率：90%",240,247,1521,-1,0,1,0,False,0,0,100009,0,0,0,0,0,0,0
100010,"觀察","放空一次作業，不做任何事",242,249,1954,8,9,13,0,False,0,7,100010,100023,100040,100082,100053,100070,100099,100113
100011,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100012,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100013,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100014,"","",0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0
100015,"製作","消耗耐久以推動作業進展<hex:02100103>效率：<hex:020812E4E9450AFF0B><hex:020807E0E94620796503><hex:6503><hex:02100103>成功率：100%",239,246,1551,9,10,1,0,False,0,0,100001,100015,100030,100075,100045,100060,100090,100105
100016,"加工","消耗耐久以提高製品品質<hex:02100103>效率：100<hex:02100103>成功率：100%",240,247,1552,9,10,5,0,False,0,18,100002,100016,100031,100076,100046,100061,100091,100106
100017,"精修","恢復30點耐久",242,249,1952,9,10,7,0,False,0,88,100003,100017,100032,100077,100047,100062,100092,100107
100018,"中級加工","消耗耐久以提高製品品質<hex:02100103>效率：125<hex:02100103>成功率：100%<hex:02100103><hex:024804F201F803><hex:024904F201F903>連擊條件：<hex:0249020103><hex:0248020103>加工　<hex:024804F201F803><hex:024904F201F903>連擊中消耗製作力：<hex:0249020103><hex:0248020103>18",240,247,1566,9,10,18,0,False,0,32,100004,100018,100034,100078,100048,100064,100093,100109
100019,"精修II","恢復60點耐久",242,249,1956,-1,0,1,0,False,0,0,100005,100019,100035,100079,100049,100065,100094,100110
100020,"火之印記","消耗耐久以推動作業進展<hex:02100103>處理火屬性配方時效率變為2倍<hex:02100103>效率：100（200）<hex:02100103>成功率：90%",239,246,1559,-1,0,1,0,False,0,0,100020,0,0,0,0,0,0,0
