key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
#,EventType,EnemyType,,,LGBEventObject,LGBMapRange,Quest,,SingleBattle,Announce,Name,Description,,,
offset,30,31,32,33,8,12,16,34,35,20,0,4,24,26,28
int32,DynamicEventType,DynamicEventEnemyType,byte,byte,uint32,uint32,Quest,byte,DynamicEventSingleBattle,LogMessage,str,str,int16,int16,int16
0,0,0,0,0,0,0,0,0,0,0,"","",0,0,0
1,1,4,48,20,8373717,8511877,69477,0,0,0,"腐爛蔬菜——皮里福爾","魔獸大隊的百夫長克拉莉西扔掉了快要腐爛的草木綱魔物，打倒腐爛蔬菜——皮里福爾！",0,0,0
2,1,2,48,20,8374110,8511881,69477,0,0,0,"戰爭妖犬——恐懼妖犬","術師大隊為了攪亂戰列，召喚了三個頭的妖犬，打倒戰爭妖犬——恐懼妖犬！",0,0,0
3,1,1,48,20,8367113,8511882,69477,0,0,0,"高火力陸戰魔導兵器——守夜","機械化步兵大隊的強化兵達波格操縱著守衛機蠍的改良機體出現在了戰場，打倒高火力陸戰魔導兵器——守夜！",0,0,0
4,2,3,1,20,8367033,8511886,69477,0,1,0,"新型飛行型魔導裝甲——加百列","機械化步兵大隊的強化兵達波格操縱著飛行型魔導裝甲空降到了戰場，回應決鬥邀請，打倒加百列！",0,0,0
5,1,4,48,20,8342248,8511887,69477,0,0,0,"黑死鳥——阿克巴巴","魔獸大隊的馴獸師們正在對博茲雅義軍造成損害，打倒死鳥——阿克巴巴以及馴獸師！",0,0,0
6,1,5,48,20,8367316,8511891,69481,0,0,0,"怨念死靈——地生人","術師大隊的選拔兵羅菲準備帶上試驗動物一角獸逃離大隊，與一角獸一起打倒怨念死靈——地生人！",0,0,0
7,1,4,48,20,8374867,8511892,69481,0,0,0,"紅陸行鳥之王——紅色彗星","不知從何處來了一群紅陸行鳥闖入了南方博茲雅戰線，打倒紅陸行鳥之王——紅色彗星！",0,0,0
8,2,3,1,20,8374963,8511893,69481,0,2,0,"百獸之王——獸王萊昂","率領魔獸大隊久經沙場的千夫長萊昂發出了決鬥的邀請，在單挑中打倒獸王萊昂！",0,0,0
9,3,2,24,20,8375462,8511895,69481,0,0,0,"炎獸訓練師——火焰百夫隊","使役炎獸——焰球的術師火焰百夫隊進攻了過來，殲滅敵人阻止其行軍！",0,0,0
10,1,1,48,20,8374781,8511898,69481,0,0,0,"據點防衛魔導兵器——愛國者","據點防禦步兵大隊為了加固據點的防衛配置了新兵器，打倒據點防衛魔導兵器——愛國者！",0,0,0
11,1,2,24,20,8377121,8511901,69484,0,0,0,"邪眼妖獸——耶魯","術師大隊的妖術師向戰場上放出了不祥的妖獸，打倒邪眼妖獸——耶魯！",0,0,0
