key,0,1,2
#,Name,FCAuthorityCategory,
offset,0,4,8
int32,str,FCAuthorityCategory,byte
0,"更新部隊資訊",1,1
1,"",0,0
2,"階級設定",1,2
3,"編輯隊徽",1,3
4,"儲物櫃設定",0,0
5,"招待隊員",2,1
6,"批准入隊申請",2,4
7,"除名隊員",2,2
8,"階級任命",2,3
9,"編輯部隊公告",3,1
10,"",0,0
11,"使用留言",3,2
12,"使用部隊戰績",4,1
13,"使用部隊特效",4,2
14,"放棄部隊特效",4,3
15,"",5,0
16,"",5,0
17,"",5,0
18,"",5,0
19,"",5,0
20,"",5,0
21,"",5,0
22,"",5,0
23,"",5,0
24,"",5,0
25,"",5,0
26,"",5,0
27,"",5,0
28,"",5,0
29,"",5,0
30,"",5,0
31,"",5,0
32,"",5,0
33,"",5,0
34,"",5,0
35,"",5,0
36,"",5,0
37,"",5,0
38,"",5,0
39,"",5,0
40,"",5,0
41,"",5,0
42,"",5,0
43,"進入住房",6,1
44,"編輯住房名稱",6,2
45,"編輯問候語",6,3
46,"購買或廢棄土地",7,1
47,"搭建或拆除住房",7,2
48,"更改內外裝潢",8,1
49,"不可變更傢具庭具",8,3
50,"可以追加或布置傢具庭具",8,4
51,"可以追加、收回或布置傢具庭具",8,5
52,"為裝潢、傢具及庭具染色",8,2
53,"設定訪客許可權及房屋宣傳標籤",6,4
54,"交流簿管理",15,1
55,"播種",9,1
56,"收穫",9,2
57,"處理",9,3
58,"寄養陸行鳥",10,1
59,"訓練部隊成員的陸行鳥",10,2
60,"使用轉輪台",8,7
61,"安排或調離僱員",8,6
62,"搭建或拆除部隊工房",11,1
63,"開始或中止部隊合建工程",12,1
64,"交納素材",12,2
65,"推進工程進展",12,3
66,"領取部隊合建成果",12,4
67,"繪製設計圖",12,5
68,"登記或拆解",13,1
69,"更換配件",13,2
70,"為配件染色",13,3
71,"編輯名稱",13,4
72,"派遣飛空艇出港或召回遠航中的飛空艇",13,5
73,"接受飛空艇的遠航報告",13,6
74,"乘飛空艇出發探索",0,0
75,"管弦樂琴管理",14,1
