key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
#,Required{Flag},Unlock{Flag},Required{Level},Required{Seals},Reward{Experience},Percent{Base},,GcArmyExpeditionType,Name,Description,Reward{Item}[0],Reward{Item}[1],Reward{Item}[2],Reward{Item}[3],Reward{Item}[4],Reward{Item}[5],Reward{Quantity}[0],Reward{Quantity}[1],Reward{Quantity}[2],Reward{Quantity}[3],Reward{Quantity}[4],Reward{Quantity}[5],Required{Physical}[0],Required{Physical}[1],Required{Physical}[2],Required{Physical}[3],Required{Physical}[4],Required{Physical}[5],Percent{PhysicalMet}[0],Percent{PhysicalMet}[1],Percent{PhysicalMet}[2],Percent{PhysicalMet}[3],Percent{PhysicalMet}[4],Percent{PhysicalMet}[5],Required{Mental}[0],Required{Mental}[1],Required{Mental}[2],Required{Mental}[3],Required{Mental}[4],Required{Mental}[5],Percent{MentalMet}[0],Percent{MentalMet}[1],Percent{MentalMet}[2],Percent{MentalMet}[3],Percent{MentalMet}[4],Percent{MentalMet}[5],Required{Tactical}[0],Required{Tactical}[1],Required{Tactical}[2],Required{Tactical}[3],Required{Tactical}[4],Required{Tactical}[5],Percent{TacticalMet}[0],Percent{TacticalMet}[1],Percent{TacticalMet}[2],Percent{TacticalMet}[3],Percent{TacticalMet}[4],Percent{TacticalMet}[5],Percent{AllMet}[0],Percent{AllMet}[1],Percent{AllMet}[2],Percent{AllMet}[3],Percent{AllMet}[4],Percent{AllMet}[5]
offset,110,111,112,108,104,113,114,115,0,4,8,24,40,56,72,88,18,34,50,66,82,98,12,28,44,60,76,92,19,35,51,67,83,99,14,30,46,62,78,94,20,36,52,68,84,100,16,32,48,64,80,96,21,37,53,69,85,101,22,38,54,70,86,102
int32,byte,byte,byte,uint16,uint32,byte,byte,GcArmyExpeditionType,str,str,Item,Item,Item,Item,Item,Item,byte,byte,byte,byte,byte,byte,uint16,uint16,uint16,uint16,uint16,uint16,byte,byte,byte,byte,byte,byte,uint16,uint16,uint16,uint16,uint16,uint16,byte,byte,byte,byte,byte,byte,uint16,uint16,uint16,uint16,uint16,uint16,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte
0,0,0,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,8,1,0,7500,100,0,1,"巡邏城內","命令隊員在<hex:020938E802FF15>利姆薩·羅敏薩<hex:FF10>格里達尼亞<hex:FF0D>烏爾達哈<hex:03>城內定期巡邏。巡邏指定地點，確保城內安全。",0,0,0,0,0,0,0,0,0,0,0,0,145,145,145,145,145,145,20,20,20,20,20,20,140,140,140,140,140,140,20,20,20,20,20,20,140,140,140,140,140,140,20,20,20,20,20,20,20,20,20,20,20,20
2,8,0,1,500,7500,20,0,1,"向附近據點傳令","命令隊員到<hex:020933E802FF10>德內維爾關<hex:FF10>烤餅練兵所<hex:FF0D>撒溝厲關<hex:03>傳令。將軍方文件交給該地駐紮部隊。",0,0,0,0,0,0,0,0,0,0,0,0,165,165,165,150,160,150,20,20,20,20,20,20,160,160,170,170,150,160,20,20,20,20,20,20,160,160,150,165,175,175,20,20,20,20,20,20,20,20,20,20,20,20
3,8,0,1,500,9000,20,0,1,"巡邏城市周邊道路","命令隊員在<hex:02093CE802FF10>中拉諾西亞<hex:FF19>黑衣森林中央林區<hex:FF0D>中薩納蘭<hex:03>的主要道路巡邏。發現威脅市民、旅行者、商隊安全的魔物後立即消滅。",0,0,0,0,0,0,0,0,0,0,0,0,245,245,150,195,155,195,20,20,20,20,20,20,155,200,255,255,195,155,20,20,20,20,20,20,200,155,195,150,250,250,20,20,20,20,20,20,20,20,20,20,20,20
4,8,0,5,500,10500,20,0,1,"偵察蠻族部隊","有情報傳來稱在<hex:020975E802FF28>拉諾西亞低地目擊到了地靈族<hex:FF22>南部林區目擊到了鳥人族<hex:FF25>中薩納蘭目擊到了蜥蜴人族<hex:03>。立即前往現場，偵察敵人動向後報告。",0,0,0,0,0,0,0,0,0,0,0,0,150,195,155,245,245,195,20,20,20,20,20,20,255,155,195,200,155,255,20,20,20,20,20,20,195,250,250,155,200,150,20,20,20,20,20,20,20,20,20,20,20,20
5,8,0,10,500,12000,20,0,1,"護衛補給部隊","命令隊員保護前往<hex:020936E802FF10>骷髏谷營地<hex:FF13>阿馬里賽哨塔<hex:FF0D>枯骨營地<hex:03>的補給部隊。任何時刻都不要放鬆警惕，確保補給部隊的安全。",0,0,0,0,0,0,0,0,0,0,0,0,210,125,305,305,210,115,20,20,20,20,20,20,125,210,210,130,320,320,20,20,20,20,20,20,310,310,130,210,115,210,20,20,20,20,20,20,20,20,20,20,20,20
6,8,0,15,500,13500,20,0,1,"驅除魔物","<hex:02093CE802FF10>中拉諾西亞<hex:FF19>黑衣森林中央林區<hex:FF0D>中薩納蘭<hex:03>的居民發來了驅除<hex:020921E802FF0D>古菩猩猩<hex:FF07>樹精<hex:FF07>巨龜<hex:03>的請求。為防止損害擴大，立即前往現場阻止魔物。",14945,14945,14945,14945,14945,14945,1,1,1,1,1,1,140,225,320,320,130,225,20,20,20,20,20,20,225,140,145,225,335,335,20,20,20,20,20,20,325,325,225,145,225,130,20,20,20,20,20,20,20,20,20,20,20,20
