key,0,1,2
#,,,
offset,0,4,8
int32,str,str,str
0,"馬鈴薯馬鈴薯我是大米","大米你好","大米是啥……"
1,"要收取魔導感光器嗎？","是","否"
2,"","",""
3,"","",""
4,"要破壞「邪教念珠」嗎？","是","否"
5,"要使用魔導感光器嗎？","是","否"
6,"確定要離開「<hex:022903EB3903>」嗎？","是","否"
7,"","",""
8,"確定要退出任務嗎？","是","否"
9,"要使用小鑰匙開門嗎？","是","否"
10,"","",""
11,"要進行爆破嗎？","是","否"
12,"發現了類似開關的裝置，要按下嗎？","是","否"
13,"要撿起鑰匙嗎？","是","否"
14,"専用鍵Aを取得しますか？","是","否"
15,"専用鍵Bを取得しますか？","是","否"
16,"専用鍵Cを取得しますか？","是","否"
17,"専用鍵Dを取得しますか？","是","否"
18,"要使用小鑰匙開門嗎？","是","否"
19,"要使用寄生樹鑰匙開門嗎？","是","否"
20,"要使用黃石竹鑰匙開門嗎？","是","否"
21,"要使用白百合鑰匙開門嗎？","是","否"
22,"要使用紅薔薇鑰匙開門嗎？","是","否"
23,"","",""
24,"","",""
25,"要熄滅怪異的燈嗎？","是","否"
26,"要拉動把手打開門嗎？","是","否"
27,"","",""
28,"","",""
29,"要使用「邪教念珠」嗎？","是","否"
30,"要啟動魔導傳送裝置嗎？","是","否"
31,"要使用「血書紙片」嗎？","是","否"
32,"要推動升降機的操作杆嗎？","是","否"
33,"要推動升降機的操作杆嗎？","是","否"
34,"要啟動爆破裝置嗎？","是","否"
35,"要將12星司火藥放入引爆點嗎？","是","否"
36,"要進入到迷宮內部嗎？","是","否"
37,"要打開避難地正門嗎？","是","否"
38,"要使用<hex:02280FFF0A>EventItem<hex:E8020103>嗎？","是","否"
39,"發現了類似開關的裝置，要按下嗎？","是","否"
40,"要投身到魔力的奔流中嗎？","是","否"
41,"要投身到魔力的奔流中嗎？","是","否"
42,"要發動陷阱嗎？","是","否"
43,"要扳動操作杆打開大門嗎？","是","否"
44,"要打開船長室的門鎖嗎？","是","否"
45,"要打開海人門的門鎖嗎？","是","否"
46,"要打開處罰室的門鎖嗎？","是","否"
47,"要觸動「審理之天平」嗎？","是","否"
48,"要跳入流沙之中嗎？","是","否"
49,"要使用「帝國軍認證密鑰」打開電子鎖嗎？","是","否"
50,"要跳入垃圾卸槽中嗎？","是","否"
51,"要前往下一個區域嗎？","是","否"
52,"要使用「帝國軍認證密鑰」嗎？","是","否"
53,"要使用「37式炸藥」嗎？","是","否"
54,"要啟動斜行升降機嗎？※會帶領周圍的隊員一起進行移動。","是","否"
55,"要打開後營門入口嗎？※會帶領周圍的隊員一起進行移動。","是","否"
56,"要召喚電梯嗎？","是","否"
57,"要啟動電梯嗎？","是","否"
58,"要乘上魔導裝甲嗎？","是","否"
59,"要使用燈油嗎？","是","否"
60,"要傳送嗎？","是","否"
61,"要前往下一個區域嗎？","是","否"
62,"要進入到水源地的近路嗎？","是","否"
63,"要打開臨時關門嗎？","是","否"
64,"要投身到奇異珠的光芒中嗎？","是","否"
65,"要投身到奇異珠的光芒中嗎？","是","否"
66,"要使用白百合鑰匙開門嗎？","是","否"
67,"要使用紅薔薇鑰匙開門嗎？","是","否"
68,"要使用小鑰匙開門嗎？","是","否"
69,"要移動到第二修鍊區嗎？","是","否"
70,"要移動到第三修鍊區嗎？","是","否"
71,"要將神秘的石板放到檯子上嗎？","是","否"
72,"要打開主倉庫的門鎖嗎？","是","否"
73,"要扳動排水機關的操作杆嗎？","是","否"
74,"要將「日光石」放入門上的凹洞中嗎？","是","否"
75,"要轉動排水閥門嗎？","是","否"
76,"要打開關著的門嗎？","是","否"
77,"要將「月光石」放入門上的凹洞中嗎？","是","否"
78,"要將「日光石」放入台上的凹洞中嗎？","是","否"
79,"要將「月光石」放入台上的凹洞中嗎？","是","否"
80,"要將「星光石」放入台上的凹洞中嗎？","是","否"
81,"要解開隧道的門鎖嗎？","是","否"
82,"要解開圓庭的門鎖嗎？","是","否"
83,"要前往下一個區域嗎？","是","否"
84,"要離開會場嗎？","是","否"
85,"","",""
