key,0,1,2
#,Tag,Icon,Order
offset,0,4,8
int32,str,Image,byte
0,"無",0,0
1,"商店",66401,1
2,"服裝模特商店",66402,2
3,"內部裝潢別緻",66403,3
4,"交流簿",66404,4
5,"酒館",66405,5
6,"餐館",66406,6
7,"角色扮演",66407,21
8,"咖啡館",66411,24
9,"水族館",66408,22
10,"教堂",66409,23
11,"活動會場",66410,50
12,"花店",66412,25
13,"",0,0
14,"圖書館",66414,26
15,"攝影棚",66413,51
16,"鬼怪屋",66415,52
17,"工房",66416,27
18,"浴場",66417,28
19,"植物園",66418,29
20,"東方樣式",66419,80
21,"歡迎來訪",66420,19
22,"麵包房",66421,30
23,"裝修中",66422,20
24,"劇場",66423,31
