key,0,1,2,3,4
#,Objective,Requirement,,Image,Order
offset,0,4,12,8,14
int32,str,str,uint16,Image,byte
0,"","",100,0,0
1,"千魚祝福","達成條件：獲得的漁分超過2500。",110,65901,4
2,"萬魚賀喜","達成條件：獲得的漁分超過5000。",120,65902,5
3,"珍魚","達成條件：釣到一條★★★★魚。",110,65903,6
4,"傳說魚","達成條件：釣到一條★★★★★魚。",120,65904,7
5,"瞬釣","達成條件：在幻海流中釣到15條魚。",110,65905,8
6,"爆釣王","達成條件：在幻海流中釣到35條魚。",120,65906,9
7,"豐漁：加拉迪翁灣","達成條件：小隊全體在加拉迪翁灣合計釣到10種以上的魚類。",110,65907,10
8,"豐漁：梅爾托爾海峽南","達成條件：小隊全體在梅爾托爾海峽南合計釣到10種以上的魚類。",110,65908,13
9,"豐漁：梅爾托爾海峽北","達成條件：小隊全體在梅爾托爾海峽北合計釣到10種以上的魚類。",110,65909,19
10,"豐漁：羅塔諾海","達成條件：小隊全體在羅塔諾海合計釣到10種以上的魚類。",110,65910,22
11,"傳說中的大漁旗","達成條件：小隊全體合計釣到3條以上★★★★★的魚。",150,65911,31
12,"利姆萊茵的寵愛之子","達成條件：由自己引發幻海流。",110,65912,32
13,"八爪旅人","達成條件：小隊全體合計釣到150只以上的章魚類。",120,65913,33
14,"捕鯊人","達成條件：小隊全體合計釣到200條以上的鯊魚類。",130,65914,34
15,"水母狂魔","達成條件：小隊全體合計釣到150只以上的水母類。",120,65915,35
16,"龍馬驚神","達成條件：小隊全體合計釣到100只以上的海龍或海馬。",110,65916,36
17,"初級海釣師","達成條件：完成1種船上任務。",105,65923,1
18,"中級海釣師","達成條件：完成2種船上任務。",110,65924,2
19,"上級海釣師","達成條件：完成3種船上任務。",120,65925,3
20,"氣魨四海","達成條件：小隊全體合計釣到250只以上的魨類。",130,65917,37
21,"蟹工船","達成條件：小隊全體合計釣到250只以上的蟹類。",130,65918,38
22,"只有我最鰩擺","達成條件：個人合計釣到25只以上的鰩魚。",120,65919,39
23,"豐漁：加拉迪翁灣","達成條件：小隊全體在加拉迪翁灣合計釣到9種以上的魚類。（已根據小隊人數進行調整）",110,65907,11
24,"豐漁：加拉迪翁灣","達成條件：小隊全體在加拉迪翁灣合計釣到8種以上的魚類。（已根據小隊人數進行調整）",110,65907,12
25,"豐漁：梅爾托爾海峽南","達成條件：小隊全體在梅爾托爾海峽南合計釣到9種以上的魚類。（已根據小隊人數進行調整）",110,65908,14
26,"豐漁：梅爾托爾海峽南","達成條件：小隊全體在梅爾托爾海峽南合計釣到8種以上的魚類。（已根據小隊人數進行調整）",110,65908,15
27,"豐漁：梅爾托爾海峽北","達成條件：小隊全體在梅爾托爾海峽北合計釣到9種以上的魚類。（已根據小隊人數進行調整）",110,65909,20
28,"豐漁：梅爾托爾海峽北","達成條件：小隊全體在梅爾托爾海峽北合計釣到8種以上的魚類。（已根據小隊人數進行調整）",110,65909,21
29,"豐漁：羅塔諾海","達成條件：小隊全體在羅塔諾海合計釣到9種以上的魚類。（已根據小隊人數進行調整）",110,65910,23
30,"豐漁：羅塔諾海","達成條件：小隊全體在羅塔諾海合計釣到8種以上的魚類。（已根據小隊人數進行調整）",110,65910,24
31,"豐漁：謝爾達萊群島","達成條件：小隊全體在謝爾達萊群島合計釣到10種以上的魚類。",110,65920,16
32,"豐漁：謝爾達萊群島","達成條件：小隊全體在謝爾達萊群島合計釣到9種以上的魚類。（已根據小隊人數進行調整）",110,65920,17
33,"豐漁：謝爾達萊群島","達成條件：小隊全體在謝爾達萊群島合計釣到8種以上的魚類。（已根據小隊人數進行調整）",110,65920,18
34,"豐漁：緋汐海","達成條件：小隊全體在緋汐海合計釣到10種以上的魚類。",110,65921,25
35,"豐漁：緋汐海","達成條件：小隊全體在緋汐海合計釣到9種以上的魚類。（已根據小隊人數進行調整）",110,65921,26
36,"豐漁：緋汐海","達成條件：小隊全體在緋汐海合計釣到8種以上的魚類。（已根據小隊人數進行調整）",110,65921,27
37,"豐漁：羅斯利特灣","達成條件：小隊全體在羅斯利特灣合計釣到10種以上的魚類。",110,65922,28
38,"豐漁：羅斯利特灣","達成條件：小隊全體在羅斯利特灣合計釣到9種以上的魚類。（已根據小隊人數進行調整）",110,65922,29
39,"豐漁：羅斯利特灣","達成條件：小隊全體在羅斯利特灣合計釣到8種以上的魚類。（已根據小隊人數進行調整）",110,65922,30
