key,0,1,2,3,4,5,6,7,8,9,10
#,Number,,Link,Quest,,Icon,Image,Rarity,NameJP,Name,Description
offset,28,29,30,12,16,20,24,31,8,0,4
int32,byte,byte,byte,Quest,int32,Image,Image,byte,str,str,str
0,0,0,0,0,0,0,0,0,"","",""
1,1,0,0,69478,0,72556,72501,1,"白沙恩·烏爾嘉失","Bajsaljen Ulgasch","54歲。硌獅族。出生於舊博茲雅王都博茲雅。<hex:02100103>博茲雅義軍的領導者。<hex:02100103><hex:02100103>立志從加雷馬帝國手中解放博茲雅管區，使其恢復國家主權。<hex:02100103><hex:02100103>從醫學總院畢業後被帝國軍征為軍醫，在獲得諸多功勳之後，成為了帝國名譽市民。然而在一次遠征鎮壓叛亂的途中，發生了博茲雅堡壘蒸發事件，他的妻兒因此而喪命。<hex:02100103>自那之後，他很快就和理念相同的同伴一起拋棄了帝國，逃離軍隊後參加了潛伏在地下的抵抗組織。<hex:02100103><hex:02100103>從軍之際，他曾一度認為這樣的人生也不錯，但在事件發生後，他徹底轉變了想法，對帝國的憎恨無人能及。<hex:02100103>但是，理智的白沙恩一直在極力抑制這種負面情感，他以史為鑒，深知讓情感支配行動只會造成更多的悲劇。<hex:02100103><hex:02100103>重現了女王之刃（義軍武器）、使女王的親衛隊重獲新生的白沙恩為了將第四軍團驅逐出博茲雅，終於拉開了反擊的序幕。<hex:02100103>"
2,2,0,0,69478,0,72557,72502,1,"馬爾夏克·亞佩拉","Marsak Apella","42歲。硌獅族。出生於博茲雅管區博茲雅堡壘。<hex:02100103>博茲雅義軍的一員。<hex:02100103><hex:02100103>作為白沙恩的左膀右臂大顯身手。<hex:02100103>父母和兄弟在博茲雅堡壘蒸發事件中喪生時，他還是一名帝國兵。事後，他離開軍隊加入了抵抗組織。<hex:02100103>他尊白沙恩為師，負責義軍的資金物資籌措、人才培育等工作。特別是在對外聯絡方面，例如和多瑪的飛燕、東阿爾迪納德商會交涉的時候，他都表現出了應有的才能。由於性格溫厚，他身為聯絡中間人廣受信賴。<hex:02100103><hex:02100103>雖然憎恨帝國，但他作為行省市民長大，也對帝國抱有十分複雜的感情。因此，他的處事原則就是絕不將國家和人民混為一談。從某種意義上來說，他也是一個老好人，說話時柔和的語調常常能令他人卸下心防。<hex:02100103>作為一名戰士，周圍人對他的評價也很高。畢竟他是得到了羅斯提克真傳的絕槍戰士。性格溫厚、值得信賴，以保護他人為己任，這就是馬爾夏克。<hex:02100103>"
3,3,0,0,69478,0,72558,72503,1,"澤文·斯瓦楠失","Xeven Svanasch","47歲。硌獅族。<hex:02100103>博茲雅義軍的一員。新生女王之刃中的一人。<hex:02100103><hex:02100103>出生地不明。澤文被認為是博茲雅人，但沒有一個人知道他的過去。他本人也不喜歡提及自己的過去，但從少量情報中可知他曾為了追求魔法的極致而輾轉各地。南至薩維奈，東至遠東之國，北至加雷馬帝國首都……他的足跡可謂是遍布了全世界。<hex:02100103>他想要成為魔術師的契機就發生在他到訪艾歐澤亞的時候。為了拯救身患不治之症的母親，他和父親兩人動身前往了格里達尼亞。遺憾的是，治癒方法一無所獲，母親也在他們奔走時去世了。母親的病因加雷馬帝國侵佔博茲雅而生，喪母之痛足以讓他那幼小的心靈萌生對帝國的憎恨和復仇的慾望。<hex:02100103>在旅行途中，澤文見識到了各種魔法，他決定將那些知識都帶回博茲雅，想通過自學魔法為解放博茲雅貢獻出自己的力量。<hex:02100103>澤文將在各地習得的魔法融合成獨特的魔法體系，但他從不把這些知識授予他人。因為這些魔法以破壞為主，如果使用者心術不正，很有可能釀成災難。<hex:02100103>澤文在不知不覺中成為了一個獨一無二的魔術師，士兵們對他敬畏有加，甚至把他當作軍神一樣崇拜。<hex:02100103>他並不害怕戰死沙場。不如說他期盼著死亡。他曾在達爾馬斯卡的大迷宮遇到過一個詭異的異國魔術師，那個魔術師預言了他的未來。雖然聽不懂異國的語言，但他還是明白了其中的意思。待博茲雅燃起解放的狼煙之時，澤文的死期亦將到來。如今，南方博茲雅戰線上戰火正燃，他無需畏懼，只需要作為一把利劍，作為新生女王之刃戰至死亡即可。因此，澤文並不害怕死亡。<hex:02100103>而那個預言，如今似乎即將成真……<hex:02100103>"
4,4,0,0,69478,0,72559,72504,2,"伊索爾德·科維","Isolde Covey","26歲。人族。出生於達爾馬斯卡管區雷蒙德。<hex:02100103>博茲雅義軍的一員。新生女王之刃中的一人。<hex:02100103><hex:02100103>純正的博茲雅人。她的父母是逃到了達爾馬斯卡的博茲雅難民，在達爾馬斯卡淪為帝國行省之後，他們拒絕了帝國發布的博茲雅難民歸國政策，移居到了雷蒙德。伊索爾德以行省市民的身份出生，也接受了帝國式的教育，但她卻更加喜歡博茲雅的歌舞。博茲雅歌曲的最大特點就是極快的節奏和高昂的旋律。歌詞以平民生活和大自然為基調，大部分都是有關戀愛的樂曲。在弦樂器和打擊樂器的共同演奏之下，舞者要一邊唱歌一邊跳出激烈的舞步。伊索爾德從小就很憧憬他們，並希望自己有朝一日能夠成為下一代舞者。博茲雅舞蹈的另一個特點就是把弓這種武器當作樂器來使用。舞者會用弓弦演奏出動人音色，或是用手指彈奏弓弦，像打擊樂器一樣製造節奏。這樣做是為了向輾轉博茲雅各地狩獵的祖先們致敬，因此所有的舞者都是用弓的好手。<hex:02100103>回到博茲雅並參加了抵抗組織的伊索爾德在轉瞬之間就作為弓箭手而大有所為。<hex:02100103><hex:02100103>但是，她心中依舊充滿了對平民生活和大自然深刻的理解和熱愛。在她看來，博茲雅人民和帝國人民是一樣的。「希望和平早日降臨博茲雅和帝國」正是她的口頭禪。<hex:02100103>"
5,5,0,0,69478,0,72560,72505,1,"斯塔尼克·亞柳波芙","Stanik Alubov","36歲。硌獅族。出生於博茲雅管區博茲雅堡壘。<hex:02100103>博茲雅義軍的一員。新生女王之刃中的一人。<hex:02100103><hex:02100103>斯塔尼克自幼便憧憬著英雄。<hex:02100103>許多博茲雅人雖然擁有行省市民的身份，但卻過著非常貧困的生活。斯塔尼克的父母經營著雜貨鋪，每天起早貪黑只為了讓一家三口能吃上飯。苦於貧困沒錢上學的博茲雅人隨處可見。斯塔尼克為了賺錢，從看孩子到擦鞋，什麼都肯幹，但他從未偷搶，雙手始終乾乾淨淨。這是因為父母一直教育他即使窮困潦倒，也絕不能走上歪路。<hex:02100103>15歲時，斯塔尼克接受了帝國軍隊的徵兵檢查，成為了一名帝國兵。這並不是因為他想要成為英雄，而是因為自己從軍可以給父母減少一些生活負擔。<hex:02100103>儘管薪水微薄，他仍會給父母寄去生活費，雖然無法做到每次都寄，但這對他來說已經是足以讓他挺起胸膛的「英雄行為」了。而父母的來信則是他們還活著的證明，也是斯塔尼克唯一的心靈慰藉。<hex:02100103><hex:02100103>博茲雅堡壘蒸發事件發生時，斯塔尼克正在遠離博茲雅的地方執行任務。5天后，他收到了父母的信，而信上的日期是事件發生的前一天……<hex:02100103>"
6,6,0,0,69478,0,72561,72506,3,"布拉茲·亞澤緹娜","Blaz Azetina","25歲。硌獅族。出生於多瑪。<hex:02100103>博茲雅義軍的一員。新生女王之刃中的一人。<hex:02100103><hex:02100103>網羅拳術、劍術、柔術、槍術等諸般武術傳承的「翠青門」的直系武士。<hex:02100103>翠青門從不允許門徒參加抵抗組織。他們認為精進武術是對自己靈魂的磨練，絕非解決紛爭的工具。但是每當博茲雅發生起義時，都會有一些無法抑制自己對帝國的不滿和憎恨的門徒加入抵抗組織。翠青門只好將他們逐出師門以避免與帝國直接對立。<hex:02100103>布拉茲的父親是翠青門嫡系成員中排行最小的孩子，但卻打破門規，參加了起義。起義以失敗告終，他只好離開博茲雅，逃往多瑪。他在那裡遇到了布拉茲的母親，於是布拉茲便誕生了。布拉茲拜入了劍術名門，繼承自父親的才能也在此開花結果，年紀輕輕就達到了最高水平。在飛燕回歸時，他為了報答多瑪，參加了解放戰爭。成功解放多瑪後，他也因為使命完成而遁入了空門，但在聽說東方聯盟和博茲雅要揭竿而起時，他還是決定回到故鄉。<hex:02100103>恰逢此時翠青門更換門主，他們也轉變了想法，決定要為博茲雅的復興盡一份力。布拉茲不僅獲准回到翠青門，還被門主邀請擔任劍術老師，但他拒絕了這一請求，加入了抵抗組織。他發誓要繼承亡父的遺志，讓博茲雅獲得獨立並再度繁榮昌盛。<hex:02100103>"
