key,0,1,2,3,4,5
#,,,,,,
offset,20,12,16,0,4,8
int32,byte,int32,int32,str,str,str
0,0,0,0,"無效","無效","無效"
1,1,0,0,"所有伺服器","world","所有伺服器"
2,2,500,1,"利姆薩·羅敏薩","Limsa Lominsa","利姆薩·羅敏薩"
3,3,502,1,"拉諾西亞","La Noscea","拉諾西亞"
4,4,501,1,"狼獄停船場","The Wolves' Den","狼獄停船場"
5,5,506,2,"格里達尼亞","Gridania","格里達尼亞"
6,6,507,2,"黑衣森林","The Black Shroud","黑衣森林"
7,7,504,3,"烏爾達哈","Ul'dah","烏爾達哈"
8,8,505,3,"薩納蘭","Thanalan","薩納蘭"
9,9,503,3,"金碟遊樂場","The Gold Saucer","金碟遊樂場"
10,10,512,4,"伊修加德","Ishgard","伊修加德"
11,11,508,4,"庫爾札斯","Coerthas","庫爾札斯"
12,12,510,4,"阿巴拉提亞","Abalathia's Spine","阿巴拉提亞"
13,13,4136,4,"田園郡","Idyllshire","田園郡"
14,14,511,4,"龍堡","Dravania","龍堡"
15,15,4137,5,"神拳痕","Rhalgr's Reach","神拳痕"
16,16,514,5,"基拉巴尼亞","Gyr Abania","基拉巴尼亞"
17,17,513,6,"黃金港","Kugane","黃金港"
18,18,515,6,"奧薩德","Othard","奧薩德"
19,19,3745,7,"拉扎罕","Radz-at-Han","拉扎罕"
20,20,3741,7,"薩維奈島","Thavnair","薩維奈島"
21,21,4138,7,"加雷馬","Garlemald","加雷馬"
22,22,516,8,"水晶都","The Crystarium","水晶都"
23,23,517,8,"遊末邦","Eulmore","遊末邦"
24,24,518,8,"諾弗蘭特","Norvrandt","諾弗蘭特"
25,25,509,9,"摩杜納","Mor Dhona","摩杜納"
26,26,3744,9,"舊薩雷安","Old Sharlayan","舊薩雷安"
27,27,3740,9,"迷宮","Labyrinthos","迷宮"
28,28,3742,9,"星外宙域","The Sea of Stars","星外宙域"
29,29,3743,9,"古代世界","The World Unsundered","古代世界"
30,30,519,9,"其他地區","Elsewhere","其他地區"
