key,0,1,2,3,4,5,6,7,8,9
#,Quest,UITab,Category,,QuestRedoUISmall,QuestRedoUILarge,QuestRedoUIWide,ChapterName,ChapterPart,Transient
offset,12,28,29,30,16,20,24,0,4,8
int32,Quest,QuestRedoChapterUITab,QuestRedoChapterUICategory,byte,Image,Image,Image,str,str,str
0,0,0,0,0,0,0,0,"","",""
1,66060,1,30,1,114766,114166,114466,"重生之境1","","某位冒險者來到了受眾神眷顧之地——艾歐澤亞。<hex:02100103>冒險者追求的是力量、名譽，或是財富嗎？還是說……<hex:02100103>被母水晶引導的光之戰士、日後被人們稱為英雄的冒險者，<hex:02100103>從這一刻開始，踏上了漫長的旅途。"
2,66060,1,30,2,114767,114167,114467,"重生之境2","","巡迴艾歐澤亞三國後，冒險者發現各國都面臨著嚴峻的問題。<hex:02100103>正在此時，冒險者遇到了秘密組織「拂曉血盟」的一位成員。<hex:02100103>為了探尋超越之力和自己所看到的幻象到底代表了什麼，<hex:02100103>冒險者來到了拂曉血盟的根據地。"
3,66060,1,30,3,114768,114168,114468,"重生之境3","","在成功討伐了蠻神伊弗利特後，冒險者為眾人所矚目，<hex:02100103>被認為是「光之戰士」再現。<hex:02100103>聲名大噪的冒險者同樣引起了暗之使徒無影的注意，短暫對峙過後，<hex:02100103>冒險者開始追蹤在艾歐澤亞暗中活躍的面具男無影拉哈布雷亞。"
4,66060,1,30,4,114769,114169,114469,"重生之境4","","在海雄旅團的幫助下，光之戰士成功地討伐了蠻神泰坦。<hex:02100103>而注意到有人正暗中關注著這場激鬥的雅·修特拉，<hex:02100103>也明白了加雷馬帝國與無影之間的合作關係。<hex:02100103>為了制定今後的行動方針，光之戰士回到了沙之家。"
5,66996,1,30,5,114770,114170,114470,"第七星曆1","","光之戰士一行成功突破了天幕魔導城，粉碎了帝國的野心。<hex:02100103>人們終於走出了第七靈災的陰霾，開始邁向第七星曆。<hex:02100103>對於以拯救艾歐澤亞為目標的拂曉血盟來說，這是一次巨大的邁進。<hex:02100103>然而，開始受到關注的拂曉血盟也面臨著新的問題。"
6,65964,1,30,6,114771,114171,114471,"第七星曆2","","雖然艾歐澤亞進入了第七星曆，但各地依然動亂頻發。<hex:02100103>蠻族與蠻神、消失的瓦爾島、難民的湧入與暴動，以及庫爾札斯的異端者……<hex:02100103>阿爾菲諾創設的先鋒組織「水晶義勇隊」要面對艾歐澤亞堆積成山的問題，<hex:02100103>一時有些應接不暇。"
7,67205,1,1,1,114701,114101,114401,"蒼穹之禁城 1","","在沙蠍眾羅羅力特的謀略下，拂曉血盟被扣上了暗殺女王的罪名。<hex:02100103>名聲掃地的英雄與失意的阿爾菲諾共同踏上了前往北地庫爾札斯的路。<hex:02100103>坐落在那片土地上的宗教都市伊修加德，是一座閉關鎖國、獨自與龍族爭鬥了千年之久的獨特國家。"
8,67205,1,1,2,114702,114102,114402,"蒼穹之禁城 2","","造訪龍族的領域，見到了聖龍赫拉斯瓦爾格的一行人得知了有關龍詩戰爭起因的真相。<hex:02100103>原來在很久很久以前，人類與龍族曾和平相處，是人類國王的背叛導致了兩族的對立……<hex:02100103>為了阻止悲劇的延續，光之戰士與蒼天之龍騎士向邪龍發起了挑戰。"
9,67783,1,1,3,114703,114103,114403,"龍詩戰爭終章","","付出莫大的犧牲後，光之戰士在魔大陸的決戰中取得了最終勝利，斬斷了導致戰爭無法終結的要因。<hex:02100103>但這並不意味著紛爭能立刻結束……<hex:02100103>任誰都能看出，在伊修加德前進的道路上，還有著無數的艱難險阻等在那裡。"
10,67895,1,1,4,114704,114104,114404,"龍詩戰爭尾聲","","經歷雲廊的決戰，尼德霍格的邪影消散，<hex:02100103>持續千年的龍詩戰爭終告完結。<hex:02100103>但一個故事的結束，也意味著另一個故事的開始。<hex:02100103>此處記載了那位伯爵的回憶錄中未曾收錄故事……"
11,68089,1,2,1,114705,114105,114405,"紅蓮之狂潮 1","","為了將阿拉米格從加雷馬帝國的殘暴統治中解放出來，<hex:02100103>艾歐澤亞同盟軍開始了行動。<hex:02100103>與此同時，東洲奧薩德次大陸也燃起了反攻的狼煙。<hex:02100103>光之戰士的冒險之旅不再局限於艾歐澤亞，開始向東方邁進。"
12,68089,1,2,2,114706,114106,114406,"紅蓮之狂潮 2","","經過在紅玉海的冒險，光之戰士一行在曾經由多瑪統治的延夏之地再次目睹了帝國治下領地的慘狀。<hex:02100103>為了拯救被代理總督夜露壓迫的百姓們，光之戰士一行向多瑪少主藏身的太陽神草原進發。"
13,68612,1,2,3,114707,114107,114407,"解放戰爭戰後 1","","解放，既是統治的終結，也是新生的開始。<hex:02100103>站在時代臨界點上的人們，又能否勇敢面對過去和未來，做出自己的抉擇？<hex:02100103>為建國奔走的莉瑟、被囚禁於昏暗牢房的芙朵拉、達成夙願的猛將勞班，<hex:02100103>他們又將選擇怎樣的道路與歸宿？"
14,68721,1,2,4,114708,114108,114408,"解放戰爭戰後 2","","活躍在加雷馬帝國核心的「芝諾斯樣貌的男性」，<hex:02100103>皇太子芝諾斯消失的遺體……<hex:02100103>一連串謎團的背後都顯現出混沌使者無影干預的痕跡。<hex:02100103>就在此時，一位使者造訪了拂曉血盟的總部石之家。"
15,69190,1,3,1,114709,114109,114409,"暗影之逆焰 1","","光之戰士成功從帝國的統治中解放了多瑪與阿拉米格，<hex:02100103>然而支撐著英雄的拂曉賢人們卻在神秘的呼喚聲中接連倒下。<hex:02100103>背向邊境線上戰火熊熊燃燒的基姆利特暗區，<hex:02100103>冒險者毅然遵從聲音的指引，開啟了前往新世界的旅程……"
16,69190,1,3,2,114710,114110,114410,"暗影之逆焰 2","","暗之戰士一行為拉凱提卡大森林奪回了夜晚，<hex:02100103>然而諾弗蘭特充滿無盡光明的地域還有很多。<hex:02100103>將愛梅特賽爾克透露的驚人真相收於心底，<hex:02100103>一行人再次踏上了叛逆的旅途。"
17,65580,3,4,1,114711,114111,114411,"巴哈姆特大迷宮","","由於奈爾·範·達納斯推進的「隕石計劃」，<hex:02100103>衛月碎裂、墜落到了艾歐澤亞。<hex:02100103>通過衛月的殘骸探索埋藏於地下的大迷宮，<hex:02100103>探尋隱藏在黑暗中的「第七靈災的真相」吧！"
