key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_CMNDEFWARPNPC_00026_TALK_ACTOR0","此船前往東部林區「花蜜棧橋」。<hex:02100103>要乘坐嗎？"
1,"TEXT_CMNDEFWARPNPC_00026_TALK_ACTOR1","此船前往格里達尼亞。<hex:02100103>要乘坐嗎？"
2,"TEXT_CMNDEFWARPNPC_00026_YESNO_QUESTION","出發嗎？"
3,"TEXT_CMNDEFWARPNPC_00026_YESNO_YES","是"
4,"TEXT_CMNDEFWARPNPC_00026_YESNO_NO","否"
5,"TEXT_CMNDEFWARPNPC_00026_LOCK","此船前往東部林區花蜜棧橋……<hex:02100103>但是看來你是剛到格里達尼亞的冒險者。"
6,"TEXT_CMNDEFWARPNPC_00026_LOCK2","那麼我勸你先在格里達尼亞城市內轉一轉，<hex:02100103>熟悉城市的地理和冒險者的工作。<hex:02100103>之後再出城也不晚。"
7,"TEXT_CMNDEFWARPNPC_00026_LOCK3","不需要"
