key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_REGWILGLAGUILD_00063_MYLLA_000","嗯，來我們公會有何貴幹？<hex:02100103>你想詢問有關劍術的事情嗎？"
1,"TEXT_REGWILGLAGUILD_00063_Q1_000_1","想了解什麼？"
2,"TEXT_REGWILGLAGUILD_00063_A1_000_1","你是做什麼的？"
3,"TEXT_REGWILGLAGUILD_00063_A1_000_2","什麼是「劍術」？"
4,"TEXT_REGWILGLAGUILD_00063_A1_000_3","取消"
5,"TEXT_REGWILGLAGUILD_00063_MYLLA_010","我叫密拉，<hex:02100103>是劍術師公會的會長。<hex:02100103>不要因為我是女人就敢小看我。"
6,"TEXT_REGWILGLAGUILD_00063_MYLLA_011","我可以溫柔地告訴你，<hex:02100103>我這個會長是以怎樣的實力，來統率這群狂暴的劍術師們的。<hex:02100103>……當然是用劍來告訴你。"
7,"TEXT_REGWILGLAGUILD_00063_MYLLA_012","哼哼……開玩笑的。<hex:02100103>好了，你可以慢慢地參觀學習下。<hex:02100103>不過小心不要隨便出手，免得受傷。"
8,"TEXT_REGWILGLAGUILD_00063_MYLLA_020","「劍術」即用劍作為武器的戰鬥本領。<hex:02100103>在艾歐澤亞，劍是最普通的武器。"
9,"TEXT_REGWILGLAGUILD_00063_MYLLA_021","正因如此，那些一心想要在戰鬥道路上走下去的人，<hex:02100103>都會想要嘗試一下用劍。<hex:02100103>為了讓無法實現的夢想成為現實……"
10,"TEXT_REGWILGLAGUILD_00063_MYLLA_022","劍術師公會就是為了實現那些夢想而存在的。<hex:02100103>這裡原本也是那些在鬥技場上戰鬥的「劍鬥士」的公會，<hex:02100103>許多冠軍都是從這裡走出的。"
11,"TEXT_REGWILGLAGUILD_00063_MYLLA_023","劍鬥士所追求的，<hex:02100103>是讓觀眾們狂熱的勇猛劍術，<hex:02100103>以及華麗的勝利！"
12,"TEXT_REGWILGLAGUILD_00063_MYLLA_024","為此，劍術作為「魅惑之劍」，<hex:02100103>自古以來就在烏爾達哈十分盛行。"
13,"TEXT_REGWILGLAGUILD_00063_MYLLA_025","以裝備的盾牌躲避敵人的攻擊，<hex:02100103>在抵擋住對方的攻擊後，<hex:02100103>再以起死回生的必殺技來扭轉局勢！"
14,"TEXT_REGWILGLAGUILD_00063_MYLLA_026","怎麼樣？是不是覺得十分美妙？<hex:02100103>勇猛且華麗……這就是劍術。<hex:02100103>而能夠具備這兩點的人，才算是最強的劍術師。"
15,"TEXT_REGWILGLAGUILD_00063_MYLLA_000_050","哎呀，是<hex:022903EB0203>啊！<hex:02100103>是什麼風把你給吹來了。<hex:02100103>你有好好磨練劍術嗎？"
16,"TEXT_REGWILGLAGUILD_00063_MYLLA_000_060","<hex:022903EB0203>，你來了。<hex:02100103>沒想到你竟然成長為這麼優秀的劍術師了。<hex:02100103>身為老師的我也覺得很自豪啊，呵呵……"
17,"TEXT_REGWILGLAGUILD_00063_MYLLA_000_070","皮平閣下把發生在王宮中的真相告訴了你經常出入的公會。<hex:02100103>沒錯，我相信你的劍是不會被邪惡汙染的，<hex:02100103>畢竟是我培育出來的人！"
18,"TEXT_REGWILGLAGUILD_00063_MYLLA_000_071","我從皮平閣下那裡聽到消息了。<hex:02100103>之前伴隨王宮騷亂產生的種種狀況總算恢復了正常。<hex:02100103>請你也一往無前地繼續揮舞手中的正義之劍吧。"
19,"TEXT_REGWILGLAGUILD_00063_MYLLA_400_000","這次的大會可是只有艾歐澤亞首屈一指的劍客們<hex:02100103>才能參加的特殊比賽。<hex:02100103>半吊子的實力可是無法獲勝的。"
20,"TEXT_REGWILGLAGUILD_00063_MYLLA_400_001","差不多要開幕式了……<hex:02100103>離正式比賽還有一段時間，<hex:02100103>你做好準備再出場吧！"
21,"TEXT_REGWILGLAGUILD_00063_MYLLA_400_010","恭喜你贏得預賽！<hex:02100103>我也觀看了你的比賽，真是精彩！"
22,"TEXT_REGWILGLAGUILD_00063_MYLLA_400_011","你下次再出場就是決賽。<hex:02100103>要和納爾組的獲勝者一決雌雄！"
23,"TEXT_REGWILGLAGUILD_00063_MYLLA_400_012","我作為納爾組的參賽者，為了能和你一戰也會拼盡全力的！<hex:02100103>希望你也能為我加油！"
24,"TEXT_REGWILGLAGUILD_00063_MYLLA_400_020","雖然沒法和<hex:022903EB0203>比試很遺憾，<hex:02100103>但請你作為劍術師公會的一員連我的份也一起加油！"
25,"TEXT_REGWILGLAGUILD_00063_MYLLA_400_021","我很期待你和布萊克·羅塔斯的決戰。<hex:02100103>真希望會是一場精彩的比賽，預祝你獲得勝利。"
26,"TEXT_REGWILGLAGUILD_00063_MYLLA_400_030","離舉辦方準備重新舉辦決賽還需要一段時間。<hex:02100103>如果有什麼新進展我會通知你的，希望你能稍等。"
27,"TEXT_REGWILGLAGUILD_00063_MYLLA_400_040","<hex:022903EB0203>，你來得正好。<hex:02100103>劍術師公會的大家看到你在烏爾王盃鬥技大會上取得了優勝，<hex:02100103>連練習都更有動力了。"
28,"TEXT_REGWILGLAGUILD_00063_MYLLA_400_050","阿爾迪斯那傢伙還是沒有回來……"
29,"TEXT_REGWILGLAGUILD_00063_MYLLA_500_000","<hex:022903EB0203>，歡迎！<hex:02100103>每次看到你這位烏爾王盃鬥技大會冠軍過來<hex:02100103>大家都會更加賣力地進行訓練，是不是很有意思？"
30,"TEXT_REGWILGLAGUILD_00063_Q2_000_001","想了解什麼？"
31,"TEXT_REGWILGLAGUILD_00063_A2_000_001","最近怎麼樣？"
32,"TEXT_REGWILGLAGUILD_00063_A2_000_002","什麼是「劍術」？"
33,"TEXT_REGWILGLAGUILD_00063_A2_000_003","取消"
34,"TEXT_REGWILGLAGUILD_00063_MYLLA_000_100","最近啊……少在這裡扯家常！<hex:02100103>我們都是在嚴峻的劍術之道上行走的年輕人，<hex:02100103>根本不需要增進感情，這些在劍術師公會都是多餘的！"
35,"TEXT_REGWILGLAGUILD_00063_MYLLA_000_101","……雖說如此，不過你能來公會……<hex:02100103>我還是很高興的……"
36,"TEXT_REGWILGLAGUILD_00063_MYLLA_000_102","……不、不過你可別誤會啊！<hex:02100103>我只是覺得有個不錯的練習對象，可以更好投入訓練罷了！<hex:02100103>如果你懈怠了平日的鍛鍊，讓劍生鏽了我可不饒你！"
37,"TEXT_REGWILGLAGUILD_00063_MYLLA_000_110","公會最近還不錯。<hex:02100103>劍鬥士們的戰績喜人，而且新加入公會的劍術師也增多了。"
38,"TEXT_REGWILGLAGUILD_00063_MYLLA_000_111","不過，最後能剩下幾個就不知道了。<hex:02100103>我作為魔鬼劍術師公會會長，<hex:02100103>訓練嚴苛好像是在烏爾達哈都出了名的，呵呵……"
39,"TEXT_REGWILGLAGUILD_00063_MYLLA_000_112","對了，<hex:022903EB0203>。<hex:02100103>這麼久沒見了，要不要一起揮灑些汗水？<hex:02100103>……當然說的是練劍了。"
