key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_REGSEANOTORIOUSMONSTERHINTF5_00187_MOBHUNTERS1F5_000_1","看來你是個冒險者啊……<hex:02100103>你也在追捕惡名菁英嗎？"
1,"TEXT_REGSEANOTORIOUSMONSTERHINTF5_00187_Q1_000_1","想了解什麼？"
2,"TEXT_REGSEANOTORIOUSMONSTERHINTF5_00187_A1_000_1","你是做什麼的？"
3,"TEXT_REGSEANOTORIOUSMONSTERHINTF5_00187_A1_000_2","關於B級怪物：驚人酒鬼——米臘德羅斯蜂鳥"
4,"TEXT_REGSEANOTORIOUSMONSTERHINTF5_00187_A1_000_3","關於A級怪物：石綠學者——瑪貝利"
5,"TEXT_REGSEANOTORIOUSMONSTERHINTF5_00187_A1_000_4","關於S級怪物：魔眼雕刻家——南迪"
6,"TEXT_REGSEANOTORIOUSMONSTERHINTF5_00187_A1_000_5","取消"
7,"TEXT_REGSEANOTORIOUSMONSTERHINTF5_00187_MOBHUNTERS1F5_000_10","我是一名怪物獵人，<hex:02100103>專門追捕擾亂地區治安的惡名菁英。"
8,"TEXT_REGSEANOTORIOUSMONSTERHINTF5_00187_MOBHUNTERS1F5_000_11","只要討伐成功，<hex:02100103>就能從艾歐澤亞城邦軍事同盟處獲得同盟徽章。"
9,"TEXT_REGSEANOTORIOUSMONSTERHINTF5_00187_MOBHUNTERS1F5_000_12","如果你也想挑戰一下，<hex:02100103>我可以告訴你一些這片地區惡名菁英的情報。"
10,"TEXT_REGSEANOTORIOUSMONSTERHINTF5_00187_MOBHUNTERS1F5_000_13","順便一說，按危險程度不同，惡名菁英是有等級之分的。<hex:02100103>S級的怪物別說討伐了，就連找都很難找得到。"
11,"TEXT_REGSEANOTORIOUSMONSTERHINTF5_00187_MOBHUNTERS1F5_000_20","蜂鳥喜歡花蜜，而且特別喜歡旅神葵和接雨草這種紅色花的花蜜。"
12,"TEXT_REGSEANOTORIOUSMONSTERHINTF5_00187_MOBHUNTERS1F5_000_21","或許正因如此，<hex:02100103>米臘德羅斯蜂鳥才對紅色液體有著異常的執著……<hex:02100103>最終變成了嗜血的怪物。"
13,"TEXT_REGSEANOTORIOUSMONSTERHINTF5_00187_MOBHUNTERS1F5_000_30","有位拉拉菲爾族的咒術師去探索放浪神古神殿後就沒回來。<hex:02100103>那位冒險者的名字叫瑪爾塔·諾爾塔。"
14,"TEXT_REGSEANOTORIOUSMONSTERHINTF5_00187_MOBHUNTERS1F5_000_31","在石綠湖附近出現了一隻戴著和瑪爾塔一樣帽子的冬貝利。<hex:02100103>它會對著冒險者散發怨氣，這個冬貝利到底是什麼來頭？"
15,"TEXT_REGSEANOTORIOUSMONSTERHINTF5_00187_MOBHUNTERS1F5_000_40","有一種怪物，<hex:02100103>會利用魔眼之力，將活生生的生物變為石頭，<hex:02100103>然後非常滿足地看著自己做出來的雕像。"
16,"TEXT_REGSEANOTORIOUSMONSTERHINTF5_00187_MOBHUNTERS1F5_000_41","那是一隻在威爾布蘭德島的深山中，<hex:02100103>生活了很久很久的卡托布萊帕斯……<hex:02100103>當地人管它叫南迪。"
17,"TEXT_REGSEANOTORIOUSMONSTERHINTF5_00187_MOBHUNTERS1F5_000_42","所以千萬不要和可能會成為雕像素材的奇怪傢伙<hex:02100103>一起去拉諾西亞高地旅行。"
18,"TEXT_REGSEANOTORIOUSMONSTERHINTF5_00187_TALK_ACTOR","(★未使用/削除予定★)"
