key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_CMNDEFRELICWEAPON040ENHANCEMODE_00207_JALZAHN_000_000","想對哪個武器進行絕靈化？"
1,"TEXT_CMNDEFRELICWEAPON040ENHANCEMODE_00207_MENU_TITLE","請選擇想要絕靈化的上古武器・新星"
2,"TEXT_CMNDEFRELICWEAPON040ENHANCEMODE_00207_MENU_CHOICES","為<hex:02280AFF05>Item<hex:E8020103>絕靈化"
3,"TEXT_CMNDEFRELICWEAPON040ENHANCEMODE_00207_MENU_CANCEL","取消"
4,"TEXT_CMNDEFRELICWEAPON040ENHANCEMODE_00207_YESNO_MESSAGE","是否將<hex:02280AFF05>Item<hex:E8020103>絕靈化？"
5,"TEXT_CMNDEFRELICWEAPON040ENHANCEMODE_00207_YESNO_YES","是"
6,"TEXT_CMNDEFRELICWEAPON040ENHANCEMODE_00207_YESNO_NO","否"
7,"TEXT_CMNDEFRELICWEAPON040ENHANCEMODE_00207_JALZAHN_000_030","咦，你好像沒有那個上古武器呀。<hex:02100103>不提前準備好我可無法進行絕靈化。"
8,"TEXT_CMNDEFRELICWEAPON040ENHANCEMODE_00207_SYSTEM_000_031","絕靈化<hex:02280AFF05>Item<hex:E8020103>時，<hex:02100103>需要裝備上武器，或把武器放入兵裝庫、背包中，<hex:02100103>再和加爾贊對話。"
9,"TEXT_CMNDEFRELICWEAPON040ENHANCEMODE_00207_JALZAHN_000_040","嗯，<hex:02280AFF05>Item<hex:E8020103>已經絕靈化完畢了。<hex:02100103>拿著它去經歷無數的戰鬥與冒險吧！<hex:02100103>……只要努力，終能見到靈魂安定之時所綻放的光芒！"
10,"TEXT_CMNDEFRELICWEAPON040ENHANCEMODE_00207_SYSTEM_000_041","<hex:02280AFF05>Item<hex:E8020103>已經絕靈化完畢。<hex:02100103>裝備<hex:02280AFF05>Item<hex:E8020103>攻略各種副本任務即可提升靈魂的安定度。"
11,"TEXT_CMNDEFRELICWEAPON040ENHANCEMODE_00207_SYSTEM_000_042","使用黃道透鏡能夠確認當前的安定度。"
12,"TEXT_CMNDEFRELICWEAPON040ENHANCEMODE_00207_SYSTEM_000_043","安定度達到最高時，<hex:02100103>請加爾贊對上古武器・新星進行強化，<hex:02100103>即可獲得上古武器・鎮魂。"
13,"TEXT_CMNDEFRELICWEAPON040ENHANCEMODE_00207_JALZAHN_000_100","好，這就將我特製的煉金藥……<hex:02100103>毫無遺漏……不留縫隙……完美地塗上……"
14,"TEXT_CMNDEFRELICWEAPON040ENHANCEMODE_00207_JALZAHN_000_101","……嗯，好了。<hex:02100103>這下準備工作就完成了！"
15,"TEXT_CMNDEFRELICWEAPON040ENHANCEMODE_00207_JALZAHN_000_102","拿著絕靈化的上古武器去經歷無數的戰鬥與冒險吧！<hex:02100103>……只要努力，終能見到靈魂安定之時所綻放的光芒！"
16,"TEXT_CMNDEFRELICWEAPON040ENHANCEMODE_00207_SYSTEM_000_110","<hex:02280AFF05>Item<hex:E8020103>已經絕靈化完畢。<hex:02100103>裝備<hex:02280AFF05>Item<hex:E8020103>攻略各種副本任務即可提升靈魂的安定度。"
17,"TEXT_CMNDEFRELICWEAPON040ENHANCEMODE_00207_SYSTEM_000_111","使用黃道透鏡能夠確認當前的安定度。"
18,"TEXT_CMNDEFRELICWEAPON040ENHANCEMODE_00207_SYSTEM_000_112","安定度達到最高時，<hex:02100103>請加爾贊對上古武器・新星進行強化，<hex:02100103>即可獲得上古武器・鎮魂。"
19,"TEXT_CMNDEFRELICWEAPON040ENHANCEMODE_00207_SYSTEM_000_113","此時，上古武器・新星的一部分魔晶石之力會被繼承到上古武器・鎮魂。"
20,"TEXT_CMNDEFRELICWEAPON040ENHANCEMODE_00207_SYSTEM_000_114","想要修正魔晶石之力時，<hex:02100103>可以委託加爾贊對上古武器・新星進行重新調整。<hex:02100103>也可在強化成上古武器・鎮魂或更高級的上古武器後再進行重新調整。"
