key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_CMNGSCCHOCOBORACECOUPLING_00235_TALK_ACTOR","你是希望進行退役競賽陸行鳥的配種嗎？"
1,"TEXT_CMNGSCCHOCOBORACECOUPLING_00235_001_01","好的，這就是你的「<hex:02280BFF05>Item<hex:F225580103>」！<hex:02100103>直到你的新陸行鳥長大到可以參賽為止，<hex:02100103>就由我來悉心照料它吧！"
2,"TEXT_CMNGSCCHOCOBORACECOUPLING_00235_001_02","只要經過<hex:02280BFF05>Item<hex:F225580103>上標示的時間，<hex:02100103>就可以前來用它交換已經長成的新陸行鳥。<hex:02100103>到時候請再來這裡領取你的新夥伴！"
3,"TEXT_CMNGSCCHOCOBORACECOUPLING_00235_ERROR_001_01","不好意思，<hex:02100103>你之前已經申請過配種了。"
4,"TEXT_CMNGSCCHOCOBORACECOUPLING_00235_ERROR_001_02","已經申請了配種。<hex:02100103>在獲得配種所得的新陸行鳥之前，<hex:02100103>無法申請新的配種。"
5,"TEXT_CMNGSCCHOCOBORACECOUPLING_00235_ERROR_002_01","哎呀，似乎你登記的競賽陸行鳥中<hex:02100103>沒有符合配種要求的競賽陸行鳥。"
6,"TEXT_CMNGSCCHOCOBORACECOUPLING_00235_ERROR_002_02","沒有攜帶「陸行鳥退役登記書」。<hex:02100103>要進行配種，<hex:02100103>配種雙方中必須至少有某一方是退役的競賽陸行鳥。"
7,"TEXT_CMNGSCCHOCOBORACECOUPLING_00235_ERROR_003_01","那我現在為你辦理手續……<hex:02100103>哎呀，你的背包似乎已經滿了。"
8,"TEXT_CMNGSCCHOCOBORACECOUPLING_00235_ERROR_003_02","要獲得<hex:02280BFF05>Item<hex:F225580103>，<hex:02100103>需要背包裡有多餘的空間。"
9,"TEXT_CMNGSCCHOCOBORACECOUPLING_00235_ERROR_004_01","……只憑你目前所擁有的競賽陸行鳥，<hex:02100103>似乎不足以湊齊用以配種的一對呢。"
10,"TEXT_CMNGSCCHOCOBORACECOUPLING_00235_ERROR_004_02","需要持有配偶陸行鳥的陸行鳥退役登記書，<hex:02100103>或者陸行鳥配種登記書，才可進行配種。"
11,"TEXT_CMNGSCCHOCOBORACECOUPLING_00235_ERROR_004_03","並且，配種時需要準備雌雄陸行鳥各一隻，<hex:02100103>敬請注意。"
12,"TEXT_CMNGSCCHOCOBORACECOUPLING_00235_001_Q1","（★未使用／削除予定★）"
13,"TEXT_CMNGSCCHOCOBORACECOUPLING_00235_001_A1","（★未使用／削除予定★）"
14,"TEXT_CMNGSCCHOCOBORACECOUPLING_00235_001_A2","（★未使用／削除予定★）"
