key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000_000","……嗯，是冒險者啊。<hex:02100103>你要是敢在伊修加德鬧事，小心吃不了兜著走……"
1,"TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000_001","……嗯，是冒險者啊。<hex:02100103>你是我們的恩人，皇都的大門時刻為你敞開……"
2,"TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000_002","……嗯，在這種緊張局勢之下，<hex:02100103>你還有想要問我的？"
3,"TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000_003","這不是殺死邪龍的英雄嗎！<hex:02100103>你是我們的恩人，皇都的大門時刻為你敞開……"
4,"TEXT_REGROC2ARCOFTHEWORTHY_00277_Q1_000_000","想了解什麼？"
5,"TEXT_REGROC2ARCOFTHEWORTHY_00277_A1_000_001","你是做什麼的？"
6,"TEXT_REGROC2ARCOFTHEWORTHY_00277_A1_000_002","這裡是什麼地方？"
7,"TEXT_REGROC2ARCOFTHEWORTHY_00277_A1_000_003","取消"
8,"TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000_010","我是教皇廳直屬神殿騎士團的一員，<hex:02100103>負責守衛皇都的大門……也就是從大審門穿過雲廊的「聖徒門」。"
9,"TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000_011","因受到龍族的襲擊，負傷的騎兵人數眾多，<hex:02100103>不過這裡是守護伊修加德的最後的要塞……<hex:02100103>不會那麼輕易被突破的。"
10,"TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000_012","畢竟皇都中駐守著龍騎士團的精銳們，<hex:02100103>他們掌握著特殊的對龍戰鬥技巧……<hex:02100103>我們伊修加德是不會那麼簡單就屈服的。"
11,"TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000_100","我是教皇廳直屬神殿騎士團的一員，<hex:02100103>負責守衛皇都的大門……也就是從大審門穿過雲廊的「聖徒門」。"
12,"TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000_101","這裡是守護伊修加德的最後的要塞……<hex:02100103>龍族的威脅並未消散……<hex:02100103>所以在防守上依然不可大意。"
13,"TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000_102","畢竟皇都中駐守著龍騎士團的精銳們，<hex:02100103>他們掌握著特殊的對龍戰鬥技巧……<hex:02100103>我們伊修加德是不會那麼簡單就屈服的。"
14,"TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000_110","我是教皇廳直屬神殿騎士團的一員，<hex:02100103>負責守衛皇都的大門……也就是這「聖徒門」。"
15,"TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000_111","這裡是守衛伊修加德的最後的要塞……<hex:02100103>說什麼也要死守下去！"
16,"TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000_300","我是教皇廳直屬神殿騎士團的一員，<hex:02100103>負責守衛皇都的大門……也就是這「聖徒門」。"
17,"TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000_301","這裡是守衛伊修加德的最後的要塞……<hex:02100103>即使在大量邪龍眷屬襲來的時候，<hex:02100103>我們也沒有退縮，與它們奮戰到了最後。"
18,"TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000_302","當然，同伴中也出現了大量死傷，<hex:02100103>不過，還好有龍騎士團的精銳們及時趕到。<hex:02100103>真可謂是九死一生。"
19,"TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000_020","這裡是山嶽之都伊修加德的大門——聖徒門。<hex:02100103>為了阻擋自古以來便處於敵對關係的龍族的攻擊，<hex:02100103>這裡展開了最嚴密的警戒，進行防備。"
20,"TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000_021","伊修加德基本可以分為上下兩層，<hex:02100103>聖徒門所在的是下層的「基礎層」。<hex:02100103>這裡還配備有旅店、酒館等設施，神殿騎士團的總部也在這一層。"
21,"TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000_022","雖然有不少設施可以給像你這樣的冒險者提供方便，<hex:02100103>不過也有很多人不喜歡外來者大搖大擺地在城裡走來走去。<hex:02100103>所以你最好還是認清自己的立場再進行活動吧……"
22,"TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000_200","這裡是山嶽之都伊修加德的大門——聖徒門。<hex:02100103>為了阻擋自古以來便處於敵對關係的龍族的攻擊，<hex:02100103>這裡展開了最嚴密的警戒，進行防備。"
23,"TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000_201","伊修加德基本可以分為上下兩層，<hex:02100103>聖徒門所在的是下層的「基礎層」。<hex:02100103>這裡還配備有旅店、酒館等設施，神殿騎士團的總部也在這一層。"
24,"TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000_202","雖然有不少設施可以給像你這樣的冒險者提供方便，<hex:02100103>不過也有很多人不喜歡外來者大搖大擺地在城裡走來走去。<hex:02100103>如果有人對你的態度惡劣，還請你不要在意……"
25,"TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_000","（未使用/預計刪除）"
26,"TEXT_REGROC2ARCOFTHEWORTHY_00277_SCENE00000Q","（未使用/預計刪除）"
27,"TEXT_REGROC2ARCOFTHEWORTHY_00277_SCENE00000A1","（未使用/預計刪除）"
28,"TEXT_REGROC2ARCOFTHEWORTHY_00277_SCENE00000A2","（未使用/預計刪除）"
29,"TEXT_REGROC2ARCOFTHEWORTHY_00277_SCENE00000A3","（未使用/預計刪除）"
30,"TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_010","（未使用/預計刪除）"
31,"TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_011","（未使用/預計刪除）"
32,"TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_012","（未使用/預計刪除）"
33,"TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_020","（未使用/預計刪除）"
34,"TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_021","（未使用/預計刪除）"
35,"TEXT_REGROC2ARCOFTHEWORTHY_00277_BELTARDOIS_022","（未使用/預計刪除）"
