key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_CMNDEFSKYISLANDTOKENEXCHANGESHOP_00321_Q1",""
1,"TEXT_CMNDEFSKYISLANDTOKENEXCHANGESHOP_00321_A1","黃銅通貨（戰鬥魔晶石）"
2,"TEXT_CMNDEFSKYISLANDTOKENEXCHANGESHOP_00321_A2","黃銅通貨（素材·防具）"
3,"TEXT_CMNDEFSKYISLANDTOKENEXCHANGESHOP_00321_A3","白鋼通貨（製作採集魔晶石）"
4,"TEXT_CMNDEFSKYISLANDTOKENEXCHANGESHOP_00321_A4","白鋼通貨（素材）"
5,"TEXT_CMNDEFSKYISLANDTOKENEXCHANGESHOP_00321_A5","黃銅·白鋼通貨（其他）"
6,"TEXT_CMNDEFSKYISLANDTOKENEXCHANGESHOP_00321_A6","通貨（飛空艇探索）"
7,"TEXT_CMNDEFSKYISLANDTOKENEXCHANGESHOP_00321_A7","取消"
8,"TEXT_CMNDEFSKYISLANDTOKENEXCHANGESHOP_00321_001","我這裡可以進行空賊通貨的相關交易。<hex:02100103>等你去過雲冠群島之後再來吧。"
9,"TEXT_CMNDEFSKYISLANDTOKENEXCHANGESHOP_00321_011","我這裡可以進行空賊通貨的相關交易。<hex:02100103>等你去過雲冠群島之後再來吧。"
10,"TEXT_CMNDEFSKYISLANDTOKENEXCHANGESHOP_00321_021","我這裡可以進行空賊通貨的相關交易。<hex:02100103>等你去過雲冠群島之後再來吧。"
11,"TEXT_CMNDEFSKYISLANDTOKENEXCHANGESHOP_00321_031","我這裡可以進行空賊通貨的相關交易。<hex:02100103>等你去過雲冠群島之後再來吧。"
12,"TEXT_CMNDEFSKYISLANDTOKENEXCHANGESHOP_00321_041","我這裡可以進行空賊通貨的相關交易。<hex:02100103>等你去過雲冠群島之後再來吧。"
