key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_FESYKWMEDALEXCHANGE_00348_ACTOR_000_000","（★未使用／削除予定★）"
1,"TEXT_FESYKWMEDALEXCHANGE_00348_HINOSHIN_000_000","啊，是你啊……<hex:02100103>要用妖怪徽章來交換妖怪寵物嗎？<hex:02100103>還是想交換帥氣的武器呢？"
2,"TEXT_FESYKWMEDALEXCHANGE_00348_HINOSHIN_100_000","哎呀，你不是那個武器收藏家嘛！<hex:02100103>今天是來看我的嗎？<hex:02100103>還是說還有什麼想要的東西？"
3,"TEXT_FESYKWMEDALEXCHANGE_00348_ACTOR_000_001","（★未使用／削除予定★）"
4,"TEXT_FESYKWMEDALEXCHANGE_00348_HINOSHIN_000_001","（★未使用／削除予定★）"
5,"TEXT_FESYKWMEDALEXCHANGE_00348_Q4_000_001","（★未使用／削除予定★）"
6,"TEXT_FESYKWMEDALEXCHANGE_00348_A4_000_001","（★未使用／削除予定★）"
7,"TEXT_FESYKWMEDALEXCHANGE_00348_A4_000_002","（★未使用／削除予定★）"
8,"TEXT_FESYKWMEDALEXCHANGE_00348_Q1_000_001","要做什麼？"
9,"TEXT_FESYKWMEDALEXCHANGE_00348_A1_000_001","交換寵物"
10,"TEXT_FESYKWMEDALEXCHANGE_00348_A1_000_002","交換武器"
11,"TEXT_FESYKWMEDALEXCHANGE_00348_A1_000_003","進行談話"
12,"TEXT_FESYKWMEDALEXCHANGE_00348_A1_000_004","取消"
13,"TEXT_FESYKWMEDALEXCHANGE_00348_Q2_000_001","要交換哪個寵物？<hex:02100103>(所需妖怪徽章數：<hex:022003E80203>　持有數量：<hex:02220CFF07><hex:022003E80303><hex:FF022C03>)"
14,"TEXT_FESYKWMEDALEXCHANGE_00348_A2_000_001","<hex:02280FFF0A>Companion<hex:E8020103>"
15,"TEXT_FESYKWMEDALEXCHANGE_00348_A2_000_002","取消"
16,"TEXT_FESYKWMEDALEXCHANGE_00348_Q6_000_001","確定要交換<hex:02280FFF0A>Companion<hex:E8020103>嗎？"
17,"TEXT_FESYKWMEDALEXCHANGE_00348_A6_000_001","是"
18,"TEXT_FESYKWMEDALEXCHANGE_00348_A6_000_002","否"
19,"TEXT_FESYKWMEDALEXCHANGE_00348_ACTOR_000_002","（★未使用／削除予定★）"
20,"TEXT_FESYKWMEDALEXCHANGE_00348_HINOSHIN_000_002","看來你已經和所有妖怪成為好朋友了啊。<hex:02100103>如果想要認識更多妖怪的話……<hex:02100103>不如去我的故鄉旅行一圈怎麼樣？"
21,"TEXT_FESYKWMEDALEXCHANGE_00348_ACTOR_000_003","（★未使用／削除予定★）"
22,"TEXT_FESYKWMEDALEXCHANGE_00348_HINOSHIN_000_003","哎喲，你的妖怪徽章好像不夠啊。<hex:02100103>多收集一些以後再來找我吧。"
23,"TEXT_FESYKWMEDALEXCHANGE_00348_SYSTEM_100_003","「妖怪徽章」可以在裝備妖怪手錶後，<hex:02100103>通過參加各地的危命任務做出貢獻後獲得。"
24,"TEXT_FESYKWMEDALEXCHANGE_00348_SYSTEM_200_003","可以獲得的地區有：中拉諾西亞、拉諾西亞低地、<hex:02100103>西拉諾西亞、拉諾西亞高地、拉諾西亞外地；<hex:02100103>黑衣森林中央林區、東部林區、南部林區、北部林區……"
25,"TEXT_FESYKWMEDALEXCHANGE_00348_SYSTEM_300_003","西薩納蘭、中薩納蘭、東薩納蘭、南薩納蘭；<hex:02100103>庫爾札斯西部高地、阿巴拉提亞雲海、龍堡參天高地、<hex:02100103>翻雲霧海、龍堡內陸低地……"
26,"TEXT_FESYKWMEDALEXCHANGE_00348_SYSTEM_400_003","魔大陸阿濟茲拉、基拉巴尼亞邊區、基拉巴尼亞山區、<hex:02100103>基拉巴尼亞湖區；紅玉海、延夏、太陽神草原。<hex:02100103>請積極參加危命任務收集妖怪徽章吧。"
27,"TEXT_FESYKWMEDALEXCHANGE_00348_ACTOR_000_004","（★未使用／削除予定★）"
28,"TEXT_FESYKWMEDALEXCHANGE_00348_SYSTEM_000_004","背包已滿或背包中已有同樣的物品，<hex:02100103>無法獲得<hex:02280AFF05>Item<hex:E8020103>。"
29,"TEXT_FESYKWMEDALEXCHANGE_00348_ACTOR_100_004","（★未使用／削除予定★）"
30,"TEXT_FESYKWMEDALEXCHANGE_00348_HINOSHIN_100_004","那麼就由我來介紹一下……<hex:02100103>這就是你的新朋友，<hex:02280FFF0A>Companion<hex:E8020103>！<hex:02100103>要和睦相處哦！"
31,"TEXT_FESYKWMEDALEXCHANGE_00348_Q3_000_001","要交換哪種武器？"
32,"TEXT_FESYKWMEDALEXCHANGE_00348_A3_000_001","<hex:02280AFF05>Item<hex:E8040103>:<hex:02220CFF07><hex:022003E80503><hex:FF022C03>/<hex:022003E80603>(<hex:0208F2013FE4E802F23B68FF0A>單手劍<hex:FFF2012A><hex:0208F20124E4E802F23B69FF0D>格鬥武器<hex:FFF2010C><hex:0208F20106E4E802F23B6AFF07>大斧<hex:FFF0F5><hex:0208F0F0E4E802F23B6BFF07>長槍<hex:FFF0DF><hex:0208F0DAE4E802F23B6CFF04>弓<hex:FFCE><hex:0208CAE4E802F23B6DFF07>雙劍<hex:FFBA><hex:0208B6E4E802F23B6EFF0A>雙手劍<hex:FFA3><hex:02089FE4E802F23B6FFF07>火槍<hex:FF8F><hex:02088BE4E802F23B70FF0D>雙手幻杖<hex:FF75><hex:020871E4E802F23B71FF0D>雙手咒杖<hex:FF5B><hex:020857E4E802F23B72FF16>魔導書：召喚師<hex:FF38><hex:020834E4E802F23B73FF13>魔導書：學者<hex:FF18><hex:020814E4E802F23B74FF0A>天球儀<hex:FF01><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:03><hex:02080FE4E80301FF01><hex:FF07>＆盾<hex:03>)"
33,"TEXT_FESYKWMEDALEXCHANGE_00348_A3_000_002","取消"
34,"TEXT_FESYKWMEDALEXCHANGE_00348_Q5_000_001","確定要使用<hex:022003E80603>枚<hex:02280AFF05>Item<hex:E8040103>，<hex:02100103>交換<hex:02280AFF05>Item<hex:E8020103><hex:020819E4E80301FF01><hex:FF11>和<hex:02280AFF05>Item<hex:E8030103><hex:03>嗎？"
35,"TEXT_FESYKWMEDALEXCHANGE_00348_A5_000_001","是"
36,"TEXT_FESYKWMEDALEXCHANGE_00348_A5_000_002","否"
37,"TEXT_FESYKWMEDALEXCHANGE_00348_ACTOR_000_005","（★未使用／削除予定★）"
38,"TEXT_FESYKWMEDALEXCHANGE_00348_HINOSHIN_000_005","你的<hex:022813FF05>Item<hex:E802FF09>ITEM_SGL<hex:03>好像不夠啊。<hex:02100103>雖說尋找稀有道具肯定不是一件容易事……<hex:02100103>不過我相信如果是你一定可以找到的！"
