key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_HOUFURFISHPRINT_00375_Q1_000_000","【魚拓：<hex:02280AFF05>Item<hex:E8020103>】"
1,"TEXT_HOUFURFISHPRINT_00375_Q1_000_001","【魚拓：白紙】"
2,"TEXT_HOUFURFISHPRINT_00375_A1_000_002","裝入魚拓"
3,"TEXT_HOUFURFISHPRINT_00375_A1_000_003","取出魚拓"
4,"TEXT_HOUFURFISHPRINT_00375_A1_000_004","取消"
5,"TEXT_HOUFURFISHPRINT_00375_Q2_000_000","確定要取出<hex:02280AFF05>Item<hex:E8020103>，將魚拓變回白紙狀態嗎？<hex:02100103><hex:024804F201F403><hex:024904F201F503>※下列道具將會消失。<hex:0249020103><hex:0248020103>"
