key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_REGABRSKYPIRATESDENSHARE_00346_REDBILLDECKHAND_000_000","前陣子烏塔塔不是被猛禽聯盟抓了嗎？<hex:02100103>自那以後我們就加強了警備。<hex:02100103>總得讓大家有個安心的環境休息不是？"
1,"TEXT_REGABRSKYPIRATESDENSHARE_00346_REDBILLDECKHAND_000_010","喲，你來見利奧法德嗎？<hex:02100103>他應該就在自己的屋子裡。<hex:02100103>從這道門進去往左走就是了。"
2,"TEXT_REGABRSKYPIRATESDENSHARE_00346_REDBILLDECKHAND_000_020","一開始還以為會發生什麼大事，不過後來發現他們並沒有敵意。<hex:02100103>就交給利奧法德處理吧……"
3,"TEXT_REGABRSKYPIRATESDENSHARE_00346_REDBILLDECKHAND_000_030","拉德莉亞的猛禽聯盟真解散了？<hex:02100103>雖然我們關係不怎麼好，<hex:02100103>但突然少了這個對手還是有些寂寞啊……"
4,"TEXT_REGABRSKYPIRATESDENSHARE_00346_REDBILLDECKHAND_100_000","沒想到敵人會進攻基地……<hex:02100103>這賬遲早要找他們算清楚。"
5,"TEXT_REGABRSKYPIRATESDENSHARE_00346_REDBILLDECKHAND_100_010","利奧法德和凱特・西終於把妖異們消滅了！<hex:02100103>好嘞，讓我們舉辦宴會，喝酒慶祝吧！"
6,"TEXT_REGABRSKYPIRATESDENSHARE_00346_REDBILLDECKHAND_100_020","能讓平時總喜歡裝酷的利奧法德流露出那種真情實感，<hex:02100103>這也是凱特・西的才能。<hex:02100103>聽著他們倆鬥嘴真是有意思！"
7,"TEXT_REGABRSKYPIRATESDENSHARE_00346_REDBILLENGINEER_000_100","飛空艇關係到空賊的性命，<hex:02100103>所以我們整備時也絕不能掉以輕心，<hex:02100103>不能背叛同伴們的信任。"
8,"TEXT_REGABRSKYPIRATESDENSHARE_00346_REDBILLENGINEER_000_110","千萬別在這打起來……<hex:02100103>要是誤傷了飛空艇，我們就又得重新維護了。"
9,"TEXT_REGABRSKYPIRATESDENSHARE_00346_REDBILLENGINEER_100_100","放心吧，飛空艇都沒事。<hex:02100103>不過，我們駕駛飛空艇的團員們受傷了。<hex:02100103>……真是太氣人了！"
10,"TEXT_REGABRSKYPIRATESDENSHARE_00346_REDBILLENGINEER_100_110","雖然蕾米耶號沒能回來，這讓人很傷心，<hex:02100103>不過利奧法德能活著回來比什麼都強！"
11,"TEXT_REGABRSKYPIRATESDENSHARE_00346_REDBILLENGINEER_100_120","前些天我去田園郡採購，<hex:02100103>沒想到一提起你的名字，哥布林族都興緻勃勃的。<hex:02100103>本領高強的冒險者情報……這讓我砍價砍得非常成功！"
12,"TEXT_REGABRSKYPIRATESDENSHARE_00346_REDBILLCOOK_000_200","我的工作就是讓那些滿腦子尋寶、探險的傢伙，<hex:02100103>每次都能健健康康地出航。<hex:02100103>尤其是利奧法德，沒人逼著的話他一口蔬菜都不會吃的！"
13,"TEXT_REGABRSKYPIRATESDENSHARE_00346_REDBILLCOOK_100_200","聽說利奧法德又亂來了？<hex:02100103>雖然因為他的亂來拯救了世界……<hex:02100103>可是那傢伙到底什麼時候才能不弄哭斯塔西婭……"
14,"TEXT_REGABRSKYPIRATESDENSHARE_00346_REDBILLCOOK_100_210","因為利奧法德之前的亂來，所以我罰他做了好多事。<hex:02100103>什麼巡邏、洗衣服、整備機器、掃除、做飯、拔草……<hex:02100103>雖然那傢伙最後什麼都沒做。"
15,"TEXT_REGABRSKYPIRATESDENSHARE_00346_LEOFARD_000_300","妖異們有些調皮過頭了……<hex:02100103>看來得好好教育一下那個什麼女王，<hex:02100103>讓她知道誰才是這片天空的主人。"
16,"TEXT_REGABRSKYPIRATESDENSHARE_00346_LEOFARD_100_300","自從結束跟你一起的冒險之後，都沒什麼樂子了。<hex:02100103>雖然這種倦怠期也是下一場興奮冒險的過渡期……<hex:02100103>但要是再這麼無聊下去，我的槍都要生鏽了。"
17,"TEXT_REGABRSKYPIRATESDENSHARE_00346_STACIA_000_400","凱特・西正在全力調查解放契約石全部力量的方法。<hex:02100103>我打算利用這段時間好好摸清敵方的戰力和動向。"
18,"TEXT_REGABRSKYPIRATESDENSHARE_00346_STACIA_100_400","聽說猛禽聯盟在未知的空域胡作非為。<hex:02100103>我們也不能輸給拉德莉亞啊！<hex:02100103>哼哼哼，這片天空還會更加熱鬧的！"
19,"TEXT_REGABRSKYPIRATESDENSHARE_00346_CAITSITH_000_500","不論歲月怎樣變遷，世界依舊是如此美麗……<hex:02100103>不能讓它們在主人深愛的現世胡作非為。<hex:02100103>你說是不是，<hex:022903EB0203>閣下？"
20,"TEXT_REGABRSKYPIRATESDENSHARE_00346_CAITSITH_100_500","利奧法德那混蛋，眼睛裡只有錢和飾品，<hex:02100103>貴重的古籍轉眼就賣給收藏家去了！<hex:02100103>簡直氣死我了，那傢伙沒救了！"
21,"TEXT_REGABRSKYPIRATESDENSHARE_00346_UTATA_000_600","我喜歡看自己整備的飛空艇在天空自由翱翔的樣子。<hex:02100103>不能再放任妖異們佔據天空了，<hex:02100103>我也要好好加油才行！"
22,"TEXT_REGABRSKYPIRATESDENSHARE_00346_UTATA_100_605","其實並不是我不攔著利奧法德。<hex:02100103>是當我意識到的時候，他已經衝出基地了！"
23,"TEXT_REGABRSKYPIRATESDENSHARE_00346_UTATA_100_600","凱特・西成為團員後我每天都好開心！<hex:02100103>果然多一個同伴就多一份快樂。<hex:02100103><hex:022903EB0203>也要經常到基地來玩啊！"
