key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_REGDRA2TOMESTONEWEAPONTRADEEXPLAIN_00302_Q1_000_000","想了解什麼？"
1,"TEXT_REGDRA2TOMESTONEWEAPONTRADEEXPLAIN_00302_A1_000_001","你是做什麼的？"
2,"TEXT_REGDRA2TOMESTONEWEAPONTRADEEXPLAIN_00302_A1_000_002","關於多瑪風格裝備的改良"
3,"TEXT_REGDRA2TOMESTONEWEAPONTRADEEXPLAIN_00302_A1_000_003","關於修理新生古典裝備"
4,"TEXT_REGDRA2TOMESTONEWEAPONTRADEEXPLAIN_00302_A1_000_004","關於蠻神風格裝備的改良"
5,"TEXT_REGDRA2TOMESTONEWEAPONTRADEEXPLAIN_00302_A1_000_006","關於田園郡製裝備的改良"
6,"TEXT_REGDRA2TOMESTONEWEAPONTRADEEXPLAIN_00302_A1_000_005","取消"
7,"TEXT_REGDRA2TOMESTONEWEAPONTRADEEXPLAIN_00302_SEIKA_101_000","我叫青花，是一個周遊各地的工匠。"
8,"TEXT_REGDRA2TOMESTONEWEAPONTRADEEXPLAIN_00302_SEIKA_101_001","之所以會來到此處，是因為被羅薇娜商會的人看中，<hex:02100103>聘請我改良、修理武器裝備。<hex:02100103>也請你多多指教了。"
9,"TEXT_REGDRA2TOMESTONEWEAPONTRADEEXPLAIN_00302_SEIKA_102_000","那是由喪靈鐘開拓團中多瑪出身的工匠們製造的武器裝備。"
10,"TEXT_REGDRA2TOMESTONEWEAPONTRADEEXPLAIN_00302_SEIKA_102_001","雖然都是一些很優秀的作品，<hex:02100103>不過就我看來，還是有很大改良的餘地。<hex:02100103>如果你能給我對等的報酬，我就可以幫你加工。"
11,"TEXT_REGDRA2TOMESTONEWEAPONTRADEEXPLAIN_00302_SEIKA_103_000","羅薇娜商會將各地的收藏家秘藏的古典傑作進行修理，<hex:02100103>進而展開的交易就是關於新生古典裝備的。<hex:02100103>那是最適合「古老特職」的戰鬥技能和魔法的裝備了。"
12,"TEXT_REGDRA2TOMESTONEWEAPONTRADEEXPLAIN_00302_SEIKA_103_001","不過依我判斷，修理還不夠完美。<hex:02100103>如果你能給我對等的報酬，<hex:02100103>就可以完美修復，將其性能最大地發揮出來。"
13,"TEXT_REGDRA2TOMESTONEWEAPONTRADEEXPLAIN_00302_SEIKA_104_000","羅薇娜商會開始經營「蠻神風格裝備」，<hex:02100103>並宣傳說「擁有超越蠻神的力量」。<hex:02100103>正如其名，這些裝備是仿照蠻神外形打造的。"
14,"TEXT_REGDRA2TOMESTONEWEAPONTRADEEXPLAIN_00302_SEIKA_104_001","也不愧是由手藝超群的商會專屬工匠製作，都是一些很優秀的作品。<hex:02100103>但是就我看來，還是有很大改良的餘地。<hex:02100103>如果你能給我對等的報酬，我就可以幫你加工。"
15,"TEXT_REGDRA2TOMESTONEWEAPONTRADEEXPLAIN_00302_SEIKA_105_000","你知道田園郡新建起的斯提克奇克斯工房吧。<hex:02100103>「田園郡製裝備」就是工房裡的人族和哥布林族工匠攜手打造的裝備。"
16,"TEXT_REGDRA2TOMESTONEWEAPONTRADEEXPLAIN_00302_SEIKA_105_001","我雖然也參加了裝備的設計工作，<hex:02100103>但成品終歸是有些不盡如人意的地方。<hex:02100103>如果你能給我對等的報酬，我可以幫你進行改良。"
