key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_REGSEAPVPSEASONREWARD_00341_SEASONREWARD_000_000","（★未使用／削除予定★）"
1,"TEXT_REGSEAPVPSEASONREWARD_00341_SEASONREWARD_000_001","（★未使用／削除予定★）"
2,"TEXT_REGSEAPVPSEASONREWARD_00341_SEASONREWARD_000_005","可以在群狼盛宴中，<hex:02100103>獲得與賽季結束時的段位相符的報酬。"
3,"TEXT_REGSEAPVPSEASONREWARD_00341_SEASONREWARD_000_006","特別是排名靠前的參加者可以得到特別的獎勵。<hex:02100103>請努力爭取到更好的名次吧！"
4,"TEXT_REGSEAPVPSEASONREWARD_00341_SEASONREWARD_000_007","不過現在是季前賽期間，<hex:02100103>並沒有準備賽季獎勵。<hex:02100103>還請耐心等待第1賽季的開幕。"
5,"TEXT_REGSEAPVPSEASONREWARD_00341_SEASONREWARD_000_008","目前正在舉辦第1賽季。<hex:02100103>第1賽季結束後可以開始交換賽季獎勵。"
6,"TEXT_REGSEAPVPSEASONREWARD_00341_SYSTEM_000_009","第1賽季的排名請參見官方網站。"
