key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_001","麻煩你從蓋羅爾特那裡領取一下探索用的重要道具好嗎？<hex:02100103>拜託你了。"
1,"TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_005","……看來你已經拿到了道具，<hex:02100103>但好像你還有什麼事情沒做呢吧？<hex:02100103>你先把事情辦完再說吧。"
2,"TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_010","辛苦了。<hex:02100103>看來你拿到魔素板了，<hex:02100103>在開始探索之前……先讓我確認一下現狀。"
3,"TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_011","巴爾德西昂委員會的總部塔在瓦爾島的中央，<hex:02100103>已經確認過塔的周邊現在正被魔法障壁覆蓋。<hex:02100103>不知道是誰觸動了防禦機制……"
4,"TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_012","如果……假如這座島嶼上真的還有倖存者的話，<hex:02100103>那倖存者一定是在那裡。<hex:02100103>當前先把前往總部塔一事作為大體的目標吧。"
5,"TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_013","關鍵是該如何前往呢……<hex:02100103>塔的周邊被魔法障壁所覆蓋，光靠步行是很難靠近的。<hex:02100103>所以只能使用島內的傳送網了。"
6,"TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_014","可是……現在島內的傳送網停止了運作……<hex:02100103>那麼現在的首要目標就是修復島內的傳送網。"
7,"TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_015","為此我有兩件事情想要拜託你。<hex:02100103>第一件事，我想請你找到島內傳送網的裝置並進行共鳴。<hex:02100103>如果裝置正常的話最好不過，有問題的話請調查原因並進行修復。"
8,"TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_016","另一件事是……<hex:02100103>我希望你能夠從周邊的魔物身上獲取1個<hex:02280BFF05>Item<hex:F255290103>回來。"
9,"TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_017","真的很抱歉，這是來自贊助商的委託。<hex:02100103>贊助商提供了調查的費用，所以我們必須答應贊助商的委託。<hex:02100103>而且正好你也可以適應一下這裡的魔物，那就拜託你了。"
10,"TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_018","……在這裡的冒險可跟以往不同。<hex:02100103>千萬不要焦躁，一定要慎重、一步一步地進行調查。<hex:02100103>你也一定要小心。"
11,"TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_019","對了，在你出發之前，<hex:02100103>先和那邊的乙太之光共鳴一下吧。<hex:02100103>我剛才查看過了，那個應該還能正常使用。"
12,"TEXT_CTSERKEUREKA1EVENTKRILE_00455_SYSTEM_100_019","在「禁地優雷卡」的任務劇情中，<hex:02100103>目的列表和地圖有時不會提供相關提示。<hex:02100103>請和其他玩家互相交換資訊來推進任務。"
13,"TEXT_CTSERKEUREKA1EVENTKRILE_00455_SYSTEM_000_20","可以從調查隊的補給負責人那裡<hex:02100103>購買任務中可以使用的道具。<hex:02100103>為了安全地進行冒險，請去確認一下。"
14,"TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_030","請你從周邊的魔物身上獲取1個<hex:02280BFF05>Item<hex:F255290103>回來。<hex:02100103>這是來自贊助商的委託，那就拜託你了。"
15,"TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_035","辛苦你了！<hex:02100103>你拿到<hex:02280BFF05>Item<hex:F255290103>了？"
16,"TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_036","……嗯，沒錯是這個。<hex:02100103>麻煩你了。<hex:02100103>怎麼樣？已經習慣這裡的戰鬥了嗎？"
17,"TEXT_CTSERKEUREKA1EVENTKRILE_00455_Q1_000_000","如何作答？"
18,"TEXT_CTSERKEUREKA1EVENTKRILE_00455_A1_000_001","已經習慣了"
19,"TEXT_CTSERKEUREKA1EVENTKRILE_00455_A1_000_002","還沒有習慣"
20,"TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_037","不愧是身經百戰的冒險者。<hex:02100103>在這麼短的時間內就調整到了平時的狀態。<hex:02100103>真是讓人感到安心！"
21,"TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_038","就連身經百戰的你都深陷苦戰啊。<hex:02100103>畢竟身處這種異常的環境中，這也是沒辦法的事情。<hex:02100103>請你在調查時一定要慎重，切勿焦躁。"
22,"TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_039","接下來要做的事情……<hex:02100103>為了修復島內傳送網，我對地脈進行了調查。<hex:02100103>結果發現是地脈紊亂導致了傳送被阻礙。<hex:02100103>"
23,"TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_040","如果能等我查明地脈紊亂的原因，<hex:02100103>就可以拜託去你調查了。<hex:02100103>所以你過一會再來找我吧。"
24,"TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_041","……對了，這個<hex:02280BFF05>Item<hex:F255290103>還給你。<hex:02100103>贊助商說只要把這個交給蓋羅爾特，<hex:02100103>他就會做出你需要的東西，你記得去找他談談。"
25,"TEXT_CTSERKEUREKA1EVENTKRILE_00455_SYSTEM_000_042","可以將收集到的<hex:02280BFF05>Item<hex:F255290103>交給蓋羅爾特，<hex:02100103>對特職任務中得到的一部分裝備進行強化。"
26,"TEXT_CTSERKEUREKA1EVENTKRILE_00455_SYSTEM_100_042","若是在「禁地優雷卡」任務中獲得了「上鎖的寶箱」，<hex:02100103>可以和調查隊的貨物調度員或者爾·格納琪對話進行開鎖。<hex:02100103>開鎖後可以獲得各種道具。"
27,"TEXT_CTSERKEUREKA1EVENTKRILE_00455_SYSTEM_000_043","想要推進下一階段的劇情，<hex:02100103>需要將元素等級提升到3級。"
28,"TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_050","抱歉，現在還沒查明地脈紊亂的原因……<hex:02100103>過一段時間你再來找我吧。"
29,"TEXT_CTSERKEUREKA1EVENTKRILE_00455_SYSTEM_000_051","想要推進下一階段的劇情，<hex:02100103>需要將元素等級提升到3級。"
30,"TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_055","抱歉，讓你久等了。<hex:02100103>我終於查明了地脈紊亂的原因！"
31,"TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_056","從乙太學來看，在某一處地點發現了不應該有的地脈結節點。<hex:02100103>因為這個結節點，導致乙太的流向發生了大規模的改變，<hex:02100103>導致整個地脈紊亂，變得十分不穩定。"
32,"TEXT_CTSERKEUREKA1EVENTKRILE_00455_KRILE_000_057","至於這種異常的結節點到底為什麼會出現……<hex:02100103>光靠觀測地脈是得不到結果的。<hex:02100103>所以請你去那個地點調查一下。"
