key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_CTSERKEUREKA2EVENTGEROLT_00492_GEROLT_000_000","我在考慮將武器進一步強化的方法，<hex:02100103>還有還清債務的方法，現在正忙得要命。<hex:02100103>在我整理好思緒之前你趕緊給我走開，去去去！"
1,"TEXT_CTSERKEUREKA2EVENTGEROLT_00492_GEROLT_000_010","我想到了將武器進一步強化的方法，<hex:02100103>不過我看你的武器還差得遠著呢。<hex:02100103>先在常風地帶把武器強化到極限以後再過來吧！"
2,"TEXT_CTSERKEUREKA2EVENTGEROLT_00492_GEROLT_000_020","喲，你來了啊冒險者！<hex:02100103>我想到了新的還清債務的……不對！<hex:02100103>是將武器進一步強化的方法！"
3,"TEXT_CTSERKEUREKA2EVENTGEROLT_00492_GEROLT_000_021","喂！你那表情怎麼回事啊！<hex:02100103>這可是身為天下名匠的蓋羅爾特大人我要給你強化武器。<hex:02100103>你至少應該表現出些感激才對！"
4,"TEXT_CTSERKEUREKA2EVENTGEROLT_00492_GEROLT_000_022","既然咱們倆都對強化沒有意見的話，那就給你說明一下。<hex:02100103>目前用常風地帶的素材強化過的武器，<hex:02100103>已經很難更進一步地強化了。"
5,"TEXT_CTSERKEUREKA2EVENTGEROLT_00492_GEROLT_000_023","都是因為那太過強力的風屬性之力在妨礙我進行加工啊。<hex:02100103>如果硬要用常風地帶的素材繼續進行強化的話……<hex:02100103>那之前的一切努力就都白費了。"
6,"TEXT_CTSERKEUREKA2EVENTGEROLT_00492_GEROLT_000_024","普通的工匠的話，在此就會放棄了吧。<hex:02100103>但是，你放心好了……我可是天才！<hex:02100103>我早就想到了解決這個問題的方法！"
7,"TEXT_CTSERKEUREKA2EVENTGEROLT_00492_GEROLT_000_025","既然屬性之力有不平衡的問題……<hex:02100103>那就讓屬性之力重新回歸平衡就好了！"
8,"TEXT_CTSERKEUREKA2EVENTGEROLT_00492_GEROLT_000_026","也就是說，只要能找到內含的屬性乙太量<hex:02100103>與強烈風屬性之力完全對等的結晶，<hex:02100103>就能運用在強化上。"
9,"TEXT_CTSERKEUREKA2EVENTGEROLT_00492_GEROLT_000_027","看你的表情，是不是在想這種水晶在哪裡能弄到？<hex:02100103>哼，這種水晶怎麼可能滿大街都有啊！<hex:02100103>當然是需要你去做出來了！"
10,"TEXT_CTSERKEUREKA2EVENTGEROLT_00492_GEROLT_000_028","這個可是我的傑作「優雷卡乙太壺」！只要你在恆冰地帶進行戰鬥，<hex:02100103>這個裝置就會自動將你打倒的魔物的乙太與周圍的環境乙太<hex:02100103>以一定的比例進行混合併存儲下來，是很方便的道具。"
11,"TEXT_CTSERKEUREKA2EVENTGEROLT_00492_GEROLT_000_029","將這個優雷卡乙太壺中積蓄的混合乙太<hex:02100103>通過特殊的裝置結晶化，最後轉換成水晶就行了。<hex:02100103>有水晶再加上強化用的素材，就沒什麼問題啦。"
12,"TEXT_CTSERKEUREKA2EVENTGEROLT_00492_GEROLT_000_030","……你是想問那個特殊裝置在哪裡？<hex:02100103>安心吧……我也不知道！"
13,"TEXT_CTSERKEUREKA2EVENTGEROLT_00492_GEROLT_000_031","我可是真不知道啊。<hex:02100103>我也是從可露兒小姐那裡聽到的嘛。"
14,"TEXT_CTSERKEUREKA2EVENTGEROLT_00492_GEROLT_000_032","據可露兒小姐說，乙太的結晶化裝置是她的爺爺他們開發的，<hex:02100103>然後那個裝置應該被留在了這個據點的附近。"
15,"TEXT_CTSERKEUREKA2EVENTGEROLT_00492_GEROLT_000_033","你要是想要強化武器，<hex:02100103>那就去找到那個裝置「<hex:02280CFF05>EObj<hex:F61EA9D30103>」吧。<hex:02100103>你既然是冒險者那肯定沒問題對吧？"
16,"TEXT_CTSERKEUREKA2EVENTGEROLT_00492_GEROLT_000_034","如果這個強化方法能夠得到實際驗證，那一定會賺很多錢的。<hex:02100103>這樣一來羅薇娜也會減少一些我的債務吧。<hex:02100103>你趕緊湊齊需要的東西，給我拚命地下單進行強化吧！"
17,"TEXT_CTSERKEUREKA2EVENTGEROLT_00492_SYSTEM_000_035","在「<hex:02281CFF17>ContentFinderCondition<hex:E8022603>」任務內討伐敵人後，<hex:02100103>優雷卡乙太壺將自動積蓄混合乙太。"
18,"TEXT_CTSERKEUREKA2EVENTGEROLT_00492_SYSTEM_000_036","可以通過任務情報查看優雷卡乙太壺中混合乙太的儲存量。"
19,"TEXT_CTSERKEUREKA2EVENTGEROLT_00492_GEROLT_000_040","喲，你來強化武器啊？<hex:02100103>需要的東西，你都湊齊了嗎？"
20,"TEXT_CTSERKEUREKA2EVENTGEROLT_00492_MENU_000_000","要做什麼？"
21,"TEXT_CTSERKEUREKA2EVENTGEROLT_00492_MENU_000_001","強化禁地兵裝"
22,"TEXT_CTSERKEUREKA2EVENTGEROLT_00492_MENU_000_002","詢問有關禁地兵裝的強化"
23,"TEXT_CTSERKEUREKA2EVENTGEROLT_00492_MENU_000_003","取消"
24,"TEXT_CTSERKEUREKA2EVENTGEROLT_00492_GEROLT_000_060","……啊啊？<hex:02100103>你沒有帶著可以強化的武器吧！<hex:02100103>我可是很忙的，別來耍我！"
25,"TEXT_CTSERKEUREKA2EVENTGEROLT_00492_Q2_000_000","要強化哪個武器？"
26,"TEXT_CTSERKEUREKA2EVENTGEROLT_00492_A2_000_001","強化<hex:02280AFF05>Item<hex:E8020103>"
27,"TEXT_CTSERKEUREKA2EVENTGEROLT_00492_A2_100_001","強化<hex:02280AFF05>Item<hex:E8020103>和<hex:02280AFF05>Item<hex:E8030103>"
28,"TEXT_CTSERKEUREKA2EVENTGEROLT_00492_A2_000_003","取消"
29,"TEXT_CTSERKEUREKA2EVENTGEROLT_00492_GEROLT_100_060","……喂，你不是裝備著<hex:02280AFF05>Item<hex:E8020103>呢嗎！<hex:02100103>想要強化的話，先卸下來再說。"
30,"TEXT_CTSERKEUREKA2EVENTGEROLT_00492_GEROLT_200_060","……你想要強化<hex:02280AFF05>Item<hex:E8020103>對吧？<hex:02100103>好吧，你先讓我看看素材湊齊了沒有。"
31,"TEXT_CTSERKEUREKA2EVENTGEROLT_00492_GEROLT_000_070","……喂喂，<hex:02280BFF05>Item<hex:F25B0D0103>的數量可不夠啊。<hex:02100103>要想強化的話，還需要<hex:022003E80203>個呢。<hex:02100103>趕緊給我結晶化去！"
32,"TEXT_CTSERKEUREKA2EVENTGEROLT_00492_SYSTEM_000_071","要想強化<hex:02280AFF05>Item<hex:E8020103>，<hex:02100103>需要<hex:02280BFF05>Item<hex:F25B0D0103>達到規定數量。"
33,"TEXT_CTSERKEUREKA2EVENTGEROLT_00492_SYSTEM_000_072","此外根據強化階段的不同，<hex:02100103>需要不同於<hex:02280BFF05>Item<hex:F25B0D0103>的道具。<hex:02100103>請和其他玩家互相交換資訊，努力尋找。"
