key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_REGHINCOMPANYMENMBERS41_00445_RAMZALEXENTALE_000_050","現在我們正依靠記憶解讀«杜萊白書»中未被解讀的部分，<hex:02100103>特別是與那塊被盜賊邦加莫南奪走的度瑪聖石相關的內容。"
1,"TEXT_REGHINCOMPANYMENMBERS41_00445_RAMZALEXENTALE_000_051","幸好父親的研究資料和我的筆記還留著。<hex:02100103>請再給我們一點時間！"
2,"TEXT_REGHINCOMPANYMENMBERS41_00445_ALMALEXENTALE_000_050","我有些不安……雖說這是我們一族代代相傳的願望，<hex:02100103>但假如你們當時在拉巴納斯塔遇到的魔物更多一些，<hex:02100103>也許父親和哥哥就再也回不來了……"
3,"TEXT_REGHINCOMPANYMENMBERS41_00445_ALMALEXENTALE_000_051","有一件事哥哥一直警告我不要告訴別人，<hex:02100103>其實出現在拉巴納斯塔的怪物們，<hex:02100103>似乎是被古代神聖魔法封印在那裡的。"
4,"TEXT_REGHINCOMPANYMENMBERS41_00445_ALMALEXENTALE_000_052","到底是誰，為了什麼而將這些怪物封印在那裡？<hex:02100103>因為無法打倒所以封印？<hex:02100103>還是說，為了殲滅闖入者……"
5,"TEXT_REGHINCOMPANYMENMBERS41_00445_ALMALEXENTALE_000_053","父親和哥哥都不是會聽勸的人。<hex:02100103>但是我的直覺告訴我，有關伊瓦利斯的事，<hex:02100103>還是不要再繼續追查下去為好。希望這只是我在杞人憂天……"
6,"TEXT_REGHINCOMPANYMENMBERS41_00445_LINAMEWRILAH_000_050","夢幻王國伊瓦利斯……<hex:02100103>我親眼見到了規模龐大的遺跡群，<hex:02100103>不得不相信它是真實存在過的。"
7,"TEXT_REGHINCOMPANYMENMBERS41_00445_LINAMEWRILAH_000_051","但是傑諾米他們的目的不止這些。<hex:02100103>探尋童話傳說中隱藏的歷史真相……<hex:02100103>簡直浪漫極了不是嗎！"
8,"TEXT_REGHINCOMPANYMENMBERS41_00445_LINAMEWRILAH_000_052","冒險者也對歷史的真相很感興趣吧？<hex:02100103>請放心，我也會繼續進行取材的，<hex:02100103>等研究有進展了我會告訴你的！"
9,"TEXT_REGHINCOMPANYMENMBERS41_00445_LINA_000_090","多虧了你，機工都市高古的調查也平安結束了。<hex:02100103>不，雖然並不平安……<hex:02100103>邦加莫南的事真是遺憾……"
10,"TEXT_REGHINCOMPANYMENMBERS41_00445_LINA_000_100","多虧了你，機工都市高古的調查也平安結束了。<hex:02100103>不，雖然並不平安……<hex:02100103>邦加莫南的事真是遺憾……"
11,"TEXT_REGHINCOMPANYMENMBERS41_00445_LINA_000_101","不過，這調查要到什麼時候才算完呢？<hex:02100103>我們已經發現了勒薩利亞和高古，<hex:02100103>這不是足夠證明伊瓦利斯曾經存在過了嗎？"
12,"TEXT_REGHINCOMPANYMENMBERS41_00445_LINA_000_102","啊，對了。傑諾米並不是想要證明伊瓦利斯的存在，<hex:02100103>而是要為先祖討回名聲。"
13,"TEXT_REGHINCOMPANYMENMBERS41_00445_LINA_000_103","不過，拉姆薩他好奇怪啊。<hex:02100103>平時都是叫父親的，剛才突然改口叫父親大人，<hex:02100103>說話語氣也變得好奇怪。"
14,"TEXT_REGHINCOMPANYMENMBERS41_00445_LINA_000_104","還好現在又變回了平時那個討人厭的小孩。<hex:02100103>是因為在黎鐸拉納大燈塔中了什麼毒氣嗎？<hex:02100103>不過他性情大變後反而更像個好人了呢！"
15,"TEXT_REGHINCOMPANYMENMBERS41_00445_LINA_000_105","總之，這次多謝你前來幫忙！<hex:02100103>下次也拜託你了！"
16,"TEXT_REGHINCOMPANYMENMBERS41_00445_LINA_000_130","辛苦你了，冒險者！<hex:02100103>托你的福，這次一定能寫出一篇極棒的報導！<hex:02100103>真是太感謝你了！"
17,"TEXT_REGHINCOMPANYMENMBERS41_00445_LINA_000_131","傑諾米先生準備以黃金港為起點重新開始演出，<hex:02100103>幸好在黃金港也有一些年輕人願意加入劇團。<hex:02100103>這下威風凜凜劇團復活指日可待了！"
18,"TEXT_REGHINCOMPANYMENMBERS41_00445_LINA_000_132","我會留在這邊繼續進行採訪。<hex:02100103>等新劇正式上演時，我一定會通知你的！<hex:02100103>到時候我們一起看演出，不見不散！"
19,"TEXT_REGHINCOMPANYMENMBERS41_00445_LINA_000_133","好了，是時候道別了！<hex:02100103>希望我們在其他地方也能遇到！<hex:02100103>祝你旅途愉快！"
20,"TEXT_REGHINCOMPANYMENMBERS41_00445_GOODLOOKINGMEMBER_000_000","你、你好……"
21,"TEXT_REGHINCOMPANYMENMBERS41_00445_GOODLOOKINGMEMBER_000_010","我們雖然是帝國人，<hex:02100103>但真心希望能通過文化交流和他國人民構築友好關係。<hex:02100103>雖然聽起來很理想主義，但這都是真心話。"
22,"TEXT_REGHINCOMPANYMENMBERS41_00445_GOODLOOKINGMEMBER_000_030","謝謝你救出傑諾米。<hex:02100103>希望他早點醒來，恢復健康……"
23,"TEXT_REGHINCOMPANYMENMBERS41_00445_GOODLOOKINGMEMBER_000_040","謝謝你救出傑諾米。<hex:02100103>有他在，威風凜凜劇團才能運轉。<hex:02100103>在國外能遇到像你這麼親切的冒險者，真是令人高興！"
24,"TEXT_REGHINCOMPANYMENMBERS41_00445_GARLEANSMEMBER_000_000","……"
25,"TEXT_REGHINCOMPANYMENMBERS41_00445_GARLEANSMEMBER_000_010","雖然你可能不相信，但其實現在的帝國市民當中，<hex:02100103>有很多人不滿現政府以侵略戰爭為前提實行霸權主義。<hex:02100103>可惜迫於政府的壓力，他們不能將這些話說出來。"
26,"TEXT_REGHINCOMPANYMENMBERS41_00445_GARLEANSMEMBER_000_030","你竟然為了素不相識的帝國人而以身涉險。<hex:02100103>你真是一位勇敢並且正直的人。<hex:02100103>我打從心底感謝你。"
27,"TEXT_REGHINCOMPANYMENMBERS41_00445_GARLEANSMEMBER_000_050","雖然這種說法很對不起你……<hex:02100103>但我作為帝國人，得知你就是解放了阿拉米格和多瑪的人，<hex:02100103>現在心情很複雜。"
28,"TEXT_REGHINCOMPANYMENMBERS41_00445_GARLEANSMEMBER_000_051","對於其他國家的人民來說，反抗壓迫他們的帝國是理所當然的事。<hex:02100103>我們也很遺憾為什麼帝國沒有採取其他手段來爭取和平。"
29,"TEXT_REGHINCOMPANYMENMBERS41_00445_GARLEANSMEMBER_000_052","帝國並沒有打算支配其他民族和國家，<hex:02100103>只是想讓他們變為我們的同胞，共同繁榮……<hex:02100103>我的父母、家人和老師都是這麼教導我的。"
30,"TEXT_REGHINCOMPANYMENMBERS41_00445_GARLEANSMEMBER_000_053","然而親眼在異國他鄉看到反抗的戰火，<hex:02100103>我深刻體會到了帝國的做法有問題。<hex:02100103>但我並不覺得我被教導的事情本身是錯誤的。"
