key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_REGOTH3REISEN_00452_SENRI_000_001","什麼嘛，又是你啊喵。<hex:02100103>有什麼想知道的喵？"
1,"TEXT_REGOTH3REISEN_00452_Q1_000_000","想了解什麼？"
2,"TEXT_REGOTH3REISEN_00452_A1_000_001","關於瑞獸"
3,"TEXT_REGOTH3REISEN_00452_A1_000_002","關於醴泉神社"
4,"TEXT_REGOTH3REISEN_00452_A1_000_003","關於典膳"
5,"TEXT_REGOTH3REISEN_00452_A1_000_004","關於玄武"
6,"TEXT_REGOTH3REISEN_00452_A1_000_005","關於白虎"
7,"TEXT_REGOTH3REISEN_00452_A1_100_005","關於朱雀"
8,"TEXT_REGOTH3REISEN_00452_A1_200_005","關於青龍"
9,"TEXT_REGOTH3REISEN_00452_A1_000_006","取消"
10,"TEXT_REGOTH3REISEN_00452_SENRI_000_003","想知道有關我們瑞獸的事喵？"
11,"TEXT_REGOTH3REISEN_00452_SENRI_000_004","雖然不知道你們是從哪個國家來的喵……<hex:02100103>在我們這裡，超過一般壽命，能活百年的野獸，<hex:02100103>會萌生自我意識，能夠操縱妖力喵。"
12,"TEXT_REGOTH3REISEN_00452_SENRI_000_005","而活了千年積攢了強大妖力的獸就有可能變為瑞獸，<hex:02100103>能夠說人語，使用神通力喵。<hex:02100103>我們管變為瑞獸這件事叫做「覺醒」喵。"
13,"TEXT_REGOTH3REISEN_00452_SENRI_000_006","不管我們現在看起來有多可愛，<hex:02100103>都不能掉以輕心哦喵。<hex:02100103>我們只是為了和人類交流才變身成這種姿態而已喵。"
14,"TEXT_REGOTH3REISEN_00452_SENRI_000_007","想知道有關醴泉神社的事喵？"
15,"TEXT_REGOTH3REISEN_00452_SENRI_000_008","這裡是以前典膳和四聖獸大人封印了狂暴的瑞獸——黃龍的地方喵。"
16,"TEXT_REGOTH3REISEN_00452_SENRI_000_009","在激烈的戰鬥後，四聖獸大人用它們的妖力<hex:02100103>建立了這座神社用來鎮守封印喵。<hex:02100103>這就是醴泉神社喵！"
17,"TEXT_REGOTH3REISEN_00452_SENRI_000_010","你要記住絕對不能碰本殿的鎮石喵！<hex:02100103>要是注連繩斷了，封印就會解除，黃龍就會復活喵！<hex:02100103>紅玉海就會變成火海喵！！"
18,"TEXT_REGOTH3REISEN_00452_SENRI_000_011","正是為了防止這樣的事態發生，前往神社的道路才被藏了起來，<hex:02100103>由我們瑞獸在這裡看門喵！<hex:02100103>這裡也是被四聖獸大人引導的瑞獸們生活的地方喵！"
19,"TEXT_REGOTH3REISEN_00452_SENRI_000_012","想知道有關典膳的事？"
20,"TEXT_REGOTH3REISEN_00452_SENRI_000_013","典膳是曾經和四聖獸大人一起旅行過的武士喵。<hex:02100103>聽說他擁有能和所有生命溝通的特殊能力，<hex:02100103>甚至還傳說他能聽到星球的聲音喵。"
21,"TEXT_REGOTH3REISEN_00452_SENRI_000_014","聽說由於他擁有這種特殊能力，被人們所忌諱喵。<hex:02100103>不過他本人似乎不怎麼在意，一直在幫助別人喵。"
22,"TEXT_REGOTH3REISEN_00452_SENRI_000_015","他和獸一起旅行幫助別人，被稱作大英雄喵。<hex:02100103>後來他的傳聞甚至傳到了皇帝的耳朵裡，<hex:02100103>皇帝還命令典膳去討伐黃龍喵。"
23,"TEXT_REGOTH3REISEN_00452_SENRI_000_016","當時典膳手持神刀鳳凰丸，<hex:02100103>勇敢地和擁有比四聖獸還強大的神通力的黃龍戰鬥，<hex:02100103>終力不能及，用生命作為交換封印了黃龍喵。"
24,"TEXT_REGOTH3REISEN_00452_SENRI_000_017","拯救了紅玉海的危機的典膳的故事<hex:02100103>就作為傳說代代相傳下來了喵。<hex:02100103>這就是你們所說的「典膳驅鬼」的由來喵。"
25,"TEXT_REGOTH3REISEN_00452_SENRI_000_018","想知道有關玄武大人的事情喵？"
26,"TEXT_REGOTH3REISEN_00452_SENRI_000_019","玄武大人是被稱為四聖獸的瑞獸之一喵。<hex:02100103>據說曾經在四聖獸中擁有最強大的神通力喵。<hex:02100103>不過現在衰弱了很多喵。"
27,"TEXT_REGOTH3REISEN_00452_SENRI_000_020","畢竟玄武大人為了守護黃龍的封印，<hex:02100103>好幾千年一直在使用神通力喵……<hex:02100103>這也沒有辦法，神通力和流水不一樣，是會枯竭的喵。"
28,"TEXT_REGOTH3REISEN_00452_SENRI_100_020","不過玄武大人選中了算盤來當自己的繼承人，<hex:02100103>這樣玄武大人的意志就可以被下一代的四聖獸所繼承喵。"
29,"TEXT_REGOTH3REISEN_00452_SENRI_200_020","話說回來，算盤的天賦還真不錯喵。<hex:02100103>事實上他的妖力已經超越了玄武大人喵。<hex:02100103>並不是玄武大人看他跟自己一樣，外表是烏龜才選他當繼承人的喵。"
30,"TEXT_REGOTH3REISEN_00452_SENRI_000_021","想知道有關白虎大人的事喵？"
31,"TEXT_REGOTH3REISEN_00452_SENRI_000_022","白虎大人和玄武大人一樣是四聖獸之一，<hex:02100103>它出生於遙遠的延夏之地喵。"
32,"TEXT_REGOTH3REISEN_00452_SENRI_000_023","但是由於生來皮毛雪白，<hex:02100103>不被同族接受，只能獨自一人生活在荒山野嶺喵。<hex:02100103>真是令人心痛喵……"
33,"TEXT_REGOTH3REISEN_00452_SENRI_000_024","不過，白虎大人遇到了典膳，獲得了救贖，<hex:02100103>和他一起踏上了救贖同樣孤單之人的旅行喵。"
34,"TEXT_REGOTH3REISEN_00452_SENRI_000_025","就算擁有悲慘的過去，<hex:02100103>白虎大人還是好幾次拯救了處於危難的延夏之地喵。<hex:02100103>真是大慈大悲喵！"
35,"TEXT_REGOTH3REISEN_00452_SENRI_000_030","想知道有關朱雀大人的事喵？"
36,"TEXT_REGOTH3REISEN_00452_SENRI_000_031","朱雀大人長著一身火紅的羽毛喵。"
37,"TEXT_REGOTH3REISEN_00452_SENRI_000_032","有些人看到那紅色的羽毛，就錯把朱雀大人認為是鳳凰喵。<hex:02100103>他們為了得到永生的力量，不停地追趕朱雀大人喵！<hex:02100103>真是一幫野蠻的傢伙喵！"
38,"TEXT_REGOTH3REISEN_00452_SENRI_000_033","只有典膳一個人，<hex:02100103>承認並接受了朱雀大人本來的樣子喵。"
39,"TEXT_REGOTH3REISEN_00452_SENRI_000_034","對於典膳的這份溫柔，<hex:02100103>朱雀大人大概是陷進去了喵。<hex:02100103>但那個男人依舊沒頭沒腦地去找別的瑞獸喵！"
40,"TEXT_REGOTH3REISEN_00452_SENRI_000_035","後來典膳為封印黃龍而犧牲了，<hex:02100103>朱雀大人覺醒了類似鳳凰的蘇生之力，<hex:02100103>聽說它從戰爭和瘟疫中拯救了不少人的生命喵。"
41,"TEXT_REGOTH3REISEN_00452_SENRI_100_040","想知道有關青龍大人的事喵？"
