key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_REGOTH3THEDAWNTHRONE_00418_BERUDE_000_000","哎呀，居然會有旅人來到這晨曦王座，真是少見。<hex:02100103>難得見到人來，你有什麼想問的就問吧，<hex:02100103>姐姐來回答你。"
1,"TEXT_REGOTH3THEDAWNTHRONE_00418_Q1_000_000","想了解什麼？"
2,"TEXT_REGOTH3THEDAWNTHRONE_00418_A1_000_001","你是做什麼的？"
3,"TEXT_REGOTH3THEDAWNTHRONE_00418_A1_000_002","這裡是什麼地方？"
4,"TEXT_REGOTH3THEDAWNTHRONE_00418_A1_000_003","取消"
5,"TEXT_REGOTH3THEDAWNTHRONE_00418_BERUDE_000_010","呵，你對姐姐感興趣嗎？<hex:02100103>如你所見，我在這裡教人學阿吉木搏克並負責組織相關事宜。<hex:02100103>至於阿吉木搏克，則是一種草原上自古流傳的摔跤術。"
6,"TEXT_REGOTH3THEDAWNTHRONE_00418_BERUDE_000_011","別看我塊頭不大，實際上我可是「巨像」級的搏克選手……<hex:02100103>也就是獲得過大賽冠軍的意思。"
7,"TEXT_REGOTH3THEDAWNTHRONE_00418_BERUDE_000_012","嘻嘻……所以喜歡姐姐可以，但注意不要隨便亂摸喲。<hex:02100103>否則也許一個不小心就把你摔出去了。"
8,"TEXT_REGOTH3THEDAWNTHRONE_00418_BERUDE_000_020","晨曦王座是相傳太陽神阿吉木創造的敖龍族<hex:02100103>首位男性晨曦之父誕生的聖地。"
9,"TEXT_REGOTH3THEDAWNTHRONE_00418_BERUDE_000_021","這邊的雕像就是晨曦之父啦。<hex:02100103>我們作為太陽神阿吉木的孩子，可以算是晨曦之父的兄弟姐妹。<hex:02100103>所以由我們來守護並居住在這聖地裡也是理所當然的嘛。"
10,"TEXT_REGOTH3THEDAWNTHRONE_00418_BERUDE_000_022","草原中央的這個高台上視野極好，一目望去可以看到地平線的盡頭，<hex:02100103>令人心情舒暢。而且不管是靠近過來的野獸，<hex:02100103>還是敵對的部落，都能看得一清二楚。"
