key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_CTSDOMRECONSTRUCTTAUYAKU_00530_TAUYAKU_000_000","先前清除瓦礫時候把這裡弄出了一個大水坑。<hex:02100103>多虧木匠團的那些傢伙們突發奇想，在水坑上面造了座橋。<hex:02100103>你看這不就成了一個很氣派的池塘了嗎？"
1,"TEXT_CTSDOMRECONSTRUCTTAUYAKU_00530_TAUYAKU_000_005","這個池塘具體該怎麼弄，我倒是有點想法……<hex:02100103>不過詳情我就先暫時不說了。"
2,"TEXT_CTSDOMRECONSTRUCTTAUYAKU_00530_TAUYAKU_000_010","……我原來是幹什麼的？<hex:02100103>我想你差不多應該已經猜到了吧？"
3,"TEXT_CTSDOMRECONSTRUCTTAUYAKU_00530_KOZAKURA_000_015","這是……<hex:02100103>多麼壯觀的庭園啊！"
4,"TEXT_CTSDOMRECONSTRUCTTAUYAKU_00530_KOZAKURA_000_016","風流和雅緻指的就是這種場景吧！"
5,"TEXT_CTSDOMRECONSTRUCTTAUYAKU_00530_KOZAKURA_000_017","最裡邊的涼亭看起來很舒適。<hex:02100103>肯定能成為大家休憩的好場所！"
6,"TEXT_CTSDOMRECONSTRUCTTAUYAKU_00530_HACHISUBA_000_018","我也一直是當藥說什麼我就幹什麼，<hex:02100103>完全沒想到最後居然會建出這麼漂亮的庭園。"
7,"TEXT_CTSDOMRECONSTRUCTTAUYAKU_00530_HACHISUBA_000_019","當藥你是在哪裡學到這技術的？"
8,"TEXT_CTSDOMRECONSTRUCTTAUYAKU_00530_HACHISUBA_000_020","那時候多瑪還是帝國行省，<hex:02100103>因為各種娛樂設施都是推崇帝國風格，<hex:02100103>所以根本沒有什麼建造多瑪風格庭園的機會不是嗎？"
9,"TEXT_CTSDOMRECONSTRUCTTAUYAKU_00530_TAUYAKU_000_021","當然，你說得對。<hex:02100103>只不過我在多瑪被帝國統治之前，<hex:02100103>就已經是一名見習園藝工了。"
10,"TEXT_CTSDOMRECONSTRUCTTAUYAKU_00530_TAUYAKU_000_022","我父親曾是多瑪城御用的園藝工。<hex:02100103>那時候我也幫忙幹過修剪庭園之類的工作。"
11,"TEXT_CTSDOMRECONSTRUCTTAUYAKU_00530_TAUYAKU_000_023","話說我年幼時，曾經在幫忙的時候，<hex:02100103>不小心把海燕大人最喜歡的一棵梅花樹的樹枝給折斷了呢。"
12,"TEXT_CTSDOMRECONSTRUCTTAUYAKU_00530_TAUYAKU_000_024","當時可是狠狠地挨了父親的幾個巴掌啊。<hex:02100103>那時我捂著疼痛難忍的臉頰去給海燕大人道歉了。<hex:02100103>在去的途中感到真是既委屈又害怕，渾身顫抖得根本停不下來。"
13,"TEXT_CTSDOMRECONSTRUCTTAUYAKU_00530_TAUYAKU_000_025","但是海燕大人卻笑著把折斷了的樹枝小心翼翼地收下了。<hex:02100103>說是正想著給美菜大人送去當禮物呢。"
14,"TEXT_CTSDOMRECONSTRUCTTAUYAKU_00530_TAUYAKU_000_026","從那以後我一直勵志要成為多瑪第一的園藝師。<hex:02100103>……就算多瑪被帝國統治後，我的心裡也未曾放棄過。"
15,"TEXT_CTSDOMRECONSTRUCTTAUYAKU_00530_TAUYAKU_000_027","所以呢，在擺脫了帝國的統治後，<hex:02100103>還能像這樣讓我來負責建造庭園，真是讓我感動啊。<hex:02100103><hex:022903EB0203>，謝謝你。"
16,"TEXT_CTSDOMRECONSTRUCTTAUYAKU_00530_TAUYAKU_000_028","……從前的多瑪城庭園，<hex:02100103>總是有著一種溫柔並且恬靜氛圍的美麗庭園。<hex:02100103>所以我就再現了自己記憶中的那個庭園。"
17,"TEXT_CTSDOMRECONSTRUCTTAUYAKU_00530_TAUYAKU_000_029","雖然遺憾的是無法讓海燕大人和父親欣賞到這一切，<hex:02100103>不過能建成這個庭園真的是太好了。"
18,"TEXT_CTSDOMRECONSTRUCTTAUYAKU_00530_TAUYAKU_000_030","啊，抱歉。<hex:02100103>難得是庭園建成之時，讓大家傷感了。"
19,"TEXT_CTSDOMRECONSTRUCTTAUYAKU_00530_TAUYAKU_000_031","不過在此之前就連懷念故人都很難做到。<hex:02100103>畢竟不論是在被帝國統治期間，還是在解放之後，<hex:02100103>人們都只是在想辦法拚命地活下去而已。"
20,"TEXT_CTSDOMRECONSTRUCTTAUYAKU_00530_TAUYAKU_000_032","我感覺現在終於有了空閒可以回首過去了……"
21,"TEXT_CTSDOMRECONSTRUCTTAUYAKU_00530_HACHISUBA_000_033","既然城市也重建起來了，還建造了像這樣用於休憩的庭園，<hex:02100103>那如果能召集大家一起來舉辦個什麼活動就好了。"
22,"TEXT_CTSDOMRECONSTRUCTTAUYAKU_00530_HACHISUBA_000_034","不過慶典之類的就有點太過奢侈了。<hex:02100103>但要是舉行年忌法事，感覺又太過悲傷了……<hex:02100103>要把握這個度可真難……"
23,"TEXT_CTSDOMRECONSTRUCTTAUYAKU_00530_KOZAKURA_000_035","你說得對呢……<hex:02100103>車前會也正在討論，<hex:02100103>打算在重建工作告一段落之後的空閒時間舉辦一些活動。"
24,"TEXT_CTSDOMRECONSTRUCTTAUYAKU_00530_KOZAKURA_000_036","恕我不才，<hex:02100103>沒法立刻就想到合適的活動……<hex:02100103>這件事就先保留，等我回去好好想想看。"
25,"TEXT_CTSDOMRECONSTRUCTTAUYAKU_00530_KOZAKURA_000_037","那就請你們再等一段時間好嗎？"
26,"TEXT_CTSDOMRECONSTRUCTTAUYAKU_00530_HACHISUBA_000_038","當然可以！<hex:02100103>如果有什麼困難的話，記得要隨時跟我們說啊！"
27,"TEXT_CTSDOMRECONSTRUCTTAUYAKU_00530_KOZAKURA_000_039","那我就先回去了！<hex:02100103>我一定會為大家舉辦一個滿意的活動的！"
28,"TEXT_CTSDOMRECONSTRUCTTAUYAKU_00530_TAUYAKU_000_040","你也別太勉強自己啊，<hex:02100103>要是沒頭緒的時候就來這裡坐坐吧。"
29,"TEXT_CTSDOMRECONSTRUCTTAUYAKU_00530_SYSTEM_000_041","在冒險者的援助下，<hex:02100103>多瑪飛地所有場地的重建工作已經完成了！"
30,"TEXT_CTSDOMRECONSTRUCTTAUYAKU_00530_SYSTEM_000_042","小櫻好像正在為舉辦何種活動而困惑，<hex:02100103>請去找她談談吧。"
31,"TEXT_CTSDOMRECONSTRUCTTAUYAKU_00530_TAUYAKU_000_045","園藝工的工作可不光是造個庭園就完了，<hex:02100103>還需要認真用心的維護和管理，<hex:02100103>這樣就能讓庭園變得更美麗。"
