key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_Q1_000_000","要做什麼？"
1,"TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_A1_000_001","賦予副屬性"
2,"TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_A1_000_002","閱讀說明書"
3,"TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_A1_000_003","取消"
4,"TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_SYSTEM_000_000","未持有可以賦予副屬性的武器。"
5,"TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_Q1_001_000","要為哪個武器賦予副屬性？"
6,"TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_A1_001_001","為<hex:02280AFF05>Item<hex:E8020103>賦予副屬性"
7,"TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_A1_001_002","取消"
8,"TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_SYSTEM_000_010","<hex:02280BFF05>Item<hex:F25E3A0103>不足，<hex:02100103>賦予<hex:02280AFF05>Item<hex:E8020103>副屬性失敗。"
9,"TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_SYSTEM_000_011","要為<hex:02280AFF05>Item<hex:E8020103>嵌寫記憶賦予副屬性，<hex:02100103>還需要<hex:022003E80303>個<hex:02280BFF05>Item<hex:F25E3A0103>。"
10,"TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_YESNO_000","確定要消耗<hex:022003E80303>個<hex:02280BFF05>Item<hex:F25E3A0103>，<hex:02100103>從中提取出賦予<hex:02280AFF05>Item<hex:E8020103>副屬性所需要的記憶嗎？"
11,"TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_YESNO_001","確定要再次消耗<hex:022003E80303>個<hex:02280BFF05>Item<hex:F25E3A0103>，<hex:02100103>從中提取出賦予<hex:02280AFF05>Item<hex:E8020103>副屬性所需要的記憶嗎？"
12,"TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_Q2_000_000","想看哪一項內容？"
13,"TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_A2_000_001","關於賦予副屬性"
14,"TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_A2_000_002","關於需要的素材"
15,"TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_A2_000_003","返回"
16,"TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_MANUAL00539_000_020","(-幻想嵌寫器的說明書-)本<hex:02280CFF05>EObj<hex:F61EAA2F0103>，<hex:02100103>可以對準備好的武器進行記憶的嵌寫，提高武器的能力。<hex:02100103>其使用方法非常簡單，請一定要仔細閱讀說明書。"
17,"TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_SYSTEM_000_021","通過使用「賦予副屬性」功能，<hex:02100103>可以為「禁地兵裝·湧火」等賦予副屬性。"
18,"TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_SYSTEM_000_022","賦予武器的副屬性的種類與數值均為隨機決定，<hex:02100103>不過只要觸媒數量準備充分，<hex:02100103>就可以多次嘗試進行重新賦予。"
19,"TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_MANUAL00539_000_030","(-幻想嵌寫器的說明書-)為了將記憶嵌寫在武器上以提高其能力，<hex:02100103>需要使用<hex:02280BFF05>Item<hex:F25E3A0103>。<hex:02100103>詳細原理先放一邊，總之需要這種素材作為觸媒。"
20,"TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_SYSTEM_000_031","要想賦予武器副屬性，<hex:02100103>需要一定數量的<hex:02280BFF05>Item<hex:F25E3A0103>。"
21,"TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_SYSTEM_000_032","需要的數量會根據武器的種類而有所變化。<hex:02100103>單手劍需要<hex:022003E80203>個，盾需要<hex:022003E80303>個，<hex:02100103>其他的武器則需要<hex:022003E80403>個<hex:02280BFF05>Item<hex:F25E3A0103>。"
22,"TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_SYSTEM_000_033","以及，通過啟動<hex:02280CFF05>EObj<hex:F61EAA2E0103>，<hex:02100103>消耗優雷卡乙太壺中積蓄的一定量的混合乙太，<hex:02100103>便可獲得<hex:02280BFF05>Item<hex:F25E3A0103>。"
23,"TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_SYSTEM_000_034","此外請注意，<hex:02100103>只有通過「<hex:02281CFF17>ContentFinderCondition<hex:E8022603>」任務中的<hex:02280CFF05>EObj<hex:F61EAA2E0103>，<hex:02100103>才能獲得<hex:02280BFF05>Item<hex:F25E3A0103>，<hex:02100103>無法通過其他的試制水晶爐獲得<hex:02280BFF05>Item<hex:F25E3A0103>。"
24,"TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_TALK_ACTOR","（★未使用／削除予定★）"
25,"TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_SYSTEM_000_023","（★未使用／削除予定★）"
26,"TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_YESNO_002","（★未使用／削除予定★）"
27,"TEXT_CTSERKEUREKA3ADJUSTTOOL_00539_YESNO_003","（★未使用／削除予定★）"
