key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_CTSERKEUREKA3SUBSPHEREGUIDE_00533_ENG00465_000_000","哎呀，你找我有什麼事嗎？<hex:02100103>是對探索有疑問……看來也不是啊。<hex:02100103>總之我現在騰不出時間來，請你過一會再來找我吧。"
1,"TEXT_CTSERKEUREKA3SUBSPHEREGUIDE_00533_Q1_000_000","要做什麼？"
2,"TEXT_CTSERKEUREKA3SUBSPHEREGUIDE_00533_A1_000_001","改良魔素板"
3,"TEXT_CTSERKEUREKA3SUBSPHEREGUIDE_00533_A1_000_002","詢問有關改良魔素板的事情"
4,"TEXT_CTSERKEUREKA3SUBSPHEREGUIDE_00533_A1_000_003","取消"
5,"TEXT_CTSERKEUREKA3SUBSPHEREGUIDE_00533_ENG00465_000_010","你想要改良魔素板嗎？<hex:02100103>不過要有素材才行……"
6,"TEXT_CTSERKEUREKA3SUBSPHEREGUIDE_00533_ENG00465_000_020","哎呀，我看你好像沒有湊齊素材，<hex:02100103>沒有的話可沒法進行改良啊。<hex:02100103>真是十分抱歉，能請你先去收集素材嗎？"
7,"TEXT_CTSERKEUREKA3SUBSPHEREGUIDE_00533_SYSTEM_000_021","改良魔素板需要<hex:02280BFF05>Item<hex:F25EDD0103>、<hex:02100103><hex:02280BFF05>Item<hex:F25EDE0103>、<hex:02280BFF05>Item<hex:F25EDF0103>各1個。"
8,"TEXT_CTSERKEUREKA3SUBSPHEREGUIDE_00533_ENG00465_000_030","看樣子你已經湊齊了所有素材，<hex:02100103>那就交給我吧？"
9,"TEXT_CTSERKEUREKA3SUBSPHEREGUIDE_00533_ENG00465_000_031","……那我就收下了。<hex:02100103>請你把魔素板也交給我保管，我好拿去進行改良，<hex:02100103>在完成之前請你稍等一會。"
10,"TEXT_CTSERKEUREKA3SUBSPHEREGUIDE_00533_ENG00465_000_032","魔素板的改良完成了！<hex:02100103>順便第6個魔素石也一起交給你，<hex:02100103>你用魔素融合器把這個嵌進去試試吧。"
11,"TEXT_CTSERKEUREKA3SUBSPHEREGUIDE_00533_ENG00465_000_033","不過，用來強化屬性之力的魔素石，<hex:02100103>一種屬性中最多只能嵌入5個，<hex:02100103>所以第6個魔素石請用來強化其他的屬性之力。"
12,"TEXT_CTSERKEUREKA3SUBSPHEREGUIDE_00533_ENG00465_000_034","原本的設計上只能運用5個魔素石，<hex:02100103>再往上強化的話，魔素板的構造會承受不了的，<hex:02100103>請你在使用時多加註意。"
13,"TEXT_CTSERKEUREKA3SUBSPHEREGUIDE_00533_Q2_000_000","想了解什麼？"
14,"TEXT_CTSERKEUREKA3SUBSPHEREGUIDE_00533_A2_000_001","關於改良魔素板"
15,"TEXT_CTSERKEUREKA3SUBSPHEREGUIDE_00533_A2_000_002","關於需要的素材"
16,"TEXT_CTSERKEUREKA3SUBSPHEREGUIDE_00533_A2_000_003","關於第6個魔素石"
17,"TEXT_CTSERKEUREKA3SUBSPHEREGUIDE_00533_A2_000_004","返回"
18,"TEXT_CTSERKEUREKA3SUBSPHEREGUIDE_00533_ENG00465_000_040","經過改良的魔素板可以嵌入第6個魔素石。<hex:02100103>改良完之後我會把第6個魔素石交給你，請你靈活使用。"
19,"TEXT_CTSERKEUREKA3SUBSPHEREGUIDE_00533_SYSTEM_000_041","通過改良魔素板，<hex:02100103>可嵌入的魔素石數量會增加1個。"
20,"TEXT_CTSERKEUREKA3SUBSPHEREGUIDE_00533_ENG00465_000_050","改良魔素板需要特殊的素材……<hex:02100103>能請你去尋找適合的素材嗎？"
21,"TEXT_CTSERKEUREKA3SUBSPHEREGUIDE_00533_SYSTEM_000_051","改良魔素板需要<hex:02280BFF05>Item<hex:F25EDD0103>、<hex:02100103><hex:02280BFF05>Item<hex:F25EDE0103>、<hex:02280BFF05>Item<hex:F25EDF0103>各1個。"
22,"TEXT_CTSERKEUREKA3SUBSPHEREGUIDE_00533_ENG00465_000_060","預定要給你的第6個魔素石是經過專門調整的特殊品，<hex:02100103>不過性能與一般的魔素石沒有區別，請放心吧。"
23,"TEXT_CTSERKEUREKA3SUBSPHEREGUIDE_00533_SYSTEM_000_061","魔素板改良後追加的魔素石與其他的魔素石沒有區別。<hex:02100103>對屬性值的強化效果也相同。"
24,"TEXT_CTSERKEUREKA3SUBSPHEREGUIDE_00533_SYSTEM_000_062","只不過，用來強化屬性之力的魔素石，<hex:02100103>一種屬性中最多只能嵌入5個。"
25,"TEXT_CTSERKEUREKA3SUBSPHEREGUIDE_00533_ENG00465_000_070","雖然已經將魔素板改良成可以嵌入第6個魔素石了，<hex:02100103>但重新審視了一下設計圖之後，我感覺還是有改良的空間。<hex:02100103>去找蓋羅爾特大師商量一下好了……"
26,"TEXT_CTSERKEUREKA3SUBSPHEREGUIDE_00533_TALK_ACTOR","（★未使用／削除予定★）"
