key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_CTSERKEUREKA4GUIDE1_00554_OPERATOR00510_000_000","聽說優雷卡的探索任務終於要到尾聲了啊。<hex:02100103>聽到這樣的消息，我作為一名普通的工人，<hex:02100103>都充滿了幹勁！"
1,"TEXT_CTSERKEUREKA4GUIDE1_00554_OPERATOR00510_000_010","聽說你們封印了那個叫創神優雷卡的蠻神，<hex:02100103>說到優雷卡，那不是這座島的名字嗎？<hex:02100103>……我是不太懂啦，先幹活去了。"
2,"TEXT_CTSERKEUREKA4GUIDE1_00554_OPERATOR00510_000_020","聽說優雷卡的探索任務全部結束了，<hex:02100103>不過我還得負責港口的整備之類的，總之要幹的工作還有很多呢。<hex:02100103>我對這座島也產生了一些眷戀，今後我也會努力幹活的！"
3,"TEXT_CTSERKEUREKA4GUIDE1_00554_OPERATOR00510_000_030","你聽說了嗎？據說探索時有人犧牲了……<hex:02100103>我只負責在據點幹活，所以也沒有什麼實感，<hex:02100103>不過這座島果然很危險啊……"
4,"TEXT_CTSERKEUREKA4GUIDE1_00554_OPERATOR00510_000_040","我聽說犧牲了的那個傢伙居然復活了，到底是怎麼回事？<hex:02100103>算了，什麼都不懂的我在大團圓的時候說些喪氣話也不合適。<hex:02100103>我還是閉上嘴去整備港口什麼的吧。"
5,"TEXT_CTSERKEUREKA4GUIDE1_00554_TALK_ACTOR","（★未使用／削除予定★）"
