key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_REGHINCOMPANYMENMBERS3V45_00542_GOODLOOKINGMEMBER_000_000","前幾天我在小金街的無地鼓座看了一場演出，<hex:02100103>見識到了遠東之國特有的戲劇形式。<hex:02100103>劇中獨特的唱腔和旋律非常有意思，令我印象深刻。"
1,"TEXT_REGHINCOMPANYMENMBERS3V45_00542_GOODLOOKINGMEMBER_000_001","它的劇情大致講的是13名浪人武士為了給亡君報仇而四處流浪，<hex:02100103>最後成功報得大仇這樣一個故事。"
2,"TEXT_REGHINCOMPANYMENMBERS3V45_00542_GOODLOOKINGMEMBER_000_002","從我這原帝國國民的角度來看，<hex:02100103>這13人四處流浪的生活方式極為不符合常理，看得我目瞪口呆。<hex:02100103>不過本地觀眾卻都感動得一塌糊塗，全含著淚鼓掌喝彩。"
3,"TEXT_REGHINCOMPANYMENMBERS3V45_00542_GOODLOOKINGMEMBER_000_003","傑諾米先生說文化是不同國家與民族間相互理解的橋樑……<hex:02100103>但說實話，我覺得自己完全無法理解他們的文化。<hex:02100103>換個角度一想，我覺得我們的戲劇他們應該也無法理解才對……"
4,"TEXT_REGHINCOMPANYMENMBERS3V45_00542_GOODLOOKINGMEMBER_000_004","哎呀，看我都說了些什麼多餘的話。<hex:02100103>我這可真是太失禮了！"
5,"TEXT_REGHINCOMPANYMENMBERS3V45_00542_GOODLOOKINGMEMBER_000_050","維埃拉族啊……<hex:02100103>我聽說當年達爾馬斯卡併入帝國版圖成為一個行省時，<hex:02100103>維埃拉族也沒有選擇離開他們的故鄉。"
6,"TEXT_REGHINCOMPANYMENMBERS3V45_00542_GOODLOOKINGMEMBER_000_051","當時也有一部分維埃拉族被抓到了帝都，<hex:02100103>給我們留下的感覺就是這個民族非常少見吧。<hex:02100103>維埃拉族雖然少見，但外貌卻十分的惹眼，想不被人注意都難。"
7,"TEXT_REGHINCOMPANYMENMBERS3V45_00542_GOODLOOKINGMEMBER_000_052","而且維埃拉女郎都極為漂亮，<hex:02100103>很多有錢人不惜代價想將這些充滿異域風情的美貌佳人擁入懷中。"
8,"TEXT_REGHINCOMPANYMENMBERS3V45_00542_GOODLOOKINGMEMBER_000_053","你說的那個芙蘭小姐不知道會不會加入我們劇團啊？<hex:02100103>如果加入的話，她肯定能成為我們最火的女演員！<hex:02100103>啊，她是抵抗組織的幹部來著？"
9,"TEXT_REGHINCOMPANYMENMBERS3V45_00542_GOODLOOKINGMEMBER_000_054","那肯定沒戲了，<hex:02100103>她只會把我們當成敵人看待。<hex:02100103>這可真是失禮了。"
10,"TEXT_REGHINCOMPANYMENMBERS3V45_00542_GOODLOOKINGMEMBER_000_080","剛剛剛是怎麼回事？！<hex:02100103>阿魯瑪是跑到哪裡去了？？<hex:02100103>我我我究竟是看到了什麼？？"
11,"TEXT_REGHINCOMPANYMENMBERS3V45_00542_GOODLOOKINGMEMBER_000_081","讓我別怕？<hex:02100103>你你你哪隻眼睛看到我怕啦，真、真是太失禮了……"
12,"TEXT_REGHINCOMPANYMENMBERS3V45_00542_GOODLOOKINGMEMBER_000_090","你和阿魯瑪都平安回來真是太好了……<hex:02100103>啊？！這次拉姆薩又丟了？？<hex:02100103>真、真是太危險了……"
13,"TEXT_REGHINCOMPANYMENMBERS3V45_00542_GOODLOOKINGMEMBER_000_100","現在正是冒險者出場的時候！<hex:02100103>聽說你是一名身經百戰的勇者！<hex:02100103>拉姆薩就拜託你了！"
14,"TEXT_REGHINCOMPANYMENMBERS3V45_00542_GOODLOOKINGMEMBER_000_110","真厲害！不愧是艾歐澤亞的救世主、多瑪的解放者！<hex:02100103>真正的英雄指的就是像你這樣的強者吧！<hex:02100103>實在是太令人感動了！！"
15,"TEXT_REGHINCOMPANYMENMBERS3V45_00542_GOODLOOKINGMEMBER_000_120","「我們都是平等的人？呵，別做夢了！<hex:02100103>你們這些賤民從出生就注定要為我們貴族服務！」"
16,"TEXT_REGHINCOMPANYMENMBERS3V45_00542_GOODLOOKINGMEMBER_000_121","「所以說，其實你們從出生就注定了是我們貴族的家畜啊！！」"
17,"TEXT_REGHINCOMPANYMENMBERS3V45_00542_GOODLOOKINGMEMBER_000_122","呃，好惡劣的台詞啊，念得我都想吐了。<hex:02100103>不過這也說明台詞寫得確實到位，充分凸顯了角色的性格。<hex:02100103>可是話說回來，為什麼要讓我演阿加斯啊？"
18,"TEXT_REGHINCOMPANYMENMBERS3V45_00542_GARLEANSMEMBER_000_000","留在帝國的家人現在怎麼樣了……"
19,"TEXT_REGHINCOMPANYMENMBERS3V45_00542_GARLEANSMEMBER_000_001","……啊啊，對不起。<hex:02100103>我在想事情走神了……<hex:02100103>不好意思，請讓我一個人靜靜……"
20,"TEXT_REGHINCOMPANYMENMBERS3V45_00542_GARLEANSMEMBER_000_050","留在帝國的家人現在怎麼樣了……"
21,"TEXT_REGHINCOMPANYMENMBERS3V45_00542_GARLEANSMEMBER_000_051","嗯？協助達爾馬斯卡的抵抗組織？<hex:02100103>喂喂，你沒在開玩笑吧？<hex:02100103>這可是背叛我的祖國……"
22,"TEXT_REGHINCOMPANYMENMBERS3V45_00542_GARLEANSMEMBER_000_052","請忘了我剛才說的話吧……<hex:02100103>還有不好意思，請讓我一個人靜靜……"
23,"TEXT_REGHINCOMPANYMENMBERS3V45_00542_GARLEANSMEMBER_000_080","剛、剛剛那也是聖石的力量嗎？<hex:02100103>可怕……真是太可怕了……"
24,"TEXT_REGHINCOMPANYMENMBERS3V45_00542_GARLEANSMEMBER_000_090","什麼，竟然發生了這種事！<hex:02100103>聖石這種不祥的東西果然應該控制起來才行！<hex:02100103>而能夠擔此重任的只有……"
25,"TEXT_REGHINCOMPANYMENMBERS3V45_00542_GARLEANSMEMBER_000_100","拉姆薩是個很有表演與寫作天賦的年輕人……<hex:02100103>我不知道什麼勇者不勇者的，只知道身為高貴的加雷馬人……<hex:02100103>不應該去向什麼蠻夷之地的野蠻冒險者求助……"
26,"TEXT_REGHINCOMPANYMENMBERS3V45_00542_PRETTYMEMBER_000_000","好擔心阿魯瑪啊……原先我以為她只是太疲勞導致<hex:02100103>抵抗力下降染了風寒，但現在看好像事情沒有這麼簡單……<hex:02100103>不不不，一定是我想多了……"
27,"TEXT_REGHINCOMPANYMENMBERS3V45_00542_PRETTYMEMBER_000_050","維埃拉族？我知道啊！<hex:02100103>從前我在有在帝都見到過！<hex:02100103>高挑苗條超級美！"
28,"TEXT_REGHINCOMPANYMENMBERS3V45_00542_PRETTYMEMBER_000_080","你你你你也看到了，對吧？<hex:02100103>人人人，阿阿阿魯瑪被吸吸吸吸進去了？<hex:02100103>這、這到底是怎麼回事啊？？"
29,"TEXT_REGHINCOMPANYMENMBERS3V45_00542_PRETTYMEMBER_000_090","阿魯瑪沒事真是太好了！<hex:02100103>誒？！拉姆薩被敵人抓走了？！<hex:02100103>怎麼會這樣……拉姆薩不會有事吧……"
