key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_CTSHWDLOT_00637_LIZBETH_000_000","哇！<hex:02100103>現在正在準備一個非常有趣的企劃，<hex:02100103>請你再稍等一段時間！"
1,"TEXT_CTSHWDLOT_00637_LIZBETH_010_000","這裡沒有庫啵果哦！不過這裡倒是有庫啵好運道！<hex:02100103>這是為了參加重建工程的各位而準備的新活動！"
2,"TEXT_CTSHWDLOT_00637_LIZBETH_010_010","不、不過請你不要問我為什麼是這身打扮！<hex:02100103>這是艾妮為了能讓大家開心愉快地參加重建工程，<hex:02100103>特地給我設計並準備的服裝！"
3,"TEXT_CTSHWDLOT_00637_LIZBETH_010_020","這裡沒有庫啵果哦！不過這裡倒是有庫啵好運道！<hex:02100103>不僅能夠一邊愉快地參加重建工程，<hex:02100103>而且還能抽獎呢！"
4,"TEXT_CTSHWDLOT_00637_LIZBETH_010_030","那我馬上就為你說明一下什麼是「庫啵好運道」。"
5,"TEXT_CTSHWDLOT_00637_LIZBETH_010_040","庫啵好運道是左側有1格，右側有3格的抽獎券。<hex:02100103>也就是說喜歡惡作劇的莫古力準備了2種寶箱！"
6,"TEXT_CTSHWDLOT_00637_LIZBETH_010_050","玩法十分簡單。<hex:02100103>只需要從這4個格子中選出一個喜歡的格子，<hex:02100103>然後刮掉就行！"
7,"TEXT_CTSHWDLOT_00637_LIZBETH_010_060","如果刮出了1等到4等就算中獎！<hex:02100103>按照獎品表，會給各位特殊的獎品！"
8,"TEXT_CTSHWDLOT_00637_LIZBETH_010_070","不過也有可怕的魔物在盯著尋求寶箱的冒險者，<hex:02100103>如果刮出了獅鷲的圖案就意味著是5等的參與獎。<hex:02100103>請多多小心哦！"
9,"TEXT_CTSHWDLOT_00637_LIZBETH_010_080","左側的格子裡能夠刮出2等到4等的寶物。<hex:02100103>雖然沒法獲得1等獎，但也不會出現5等獎，<hex:02100103>很適合想要安全第一的冒險者！"
10,"TEXT_CTSHWDLOT_00637_LIZBETH_010_090","右側的3個格子能刮出1等到5等的寶物。<hex:02100103>是頭等獎還是參與獎……全看自己運氣如何了！<hex:02100103>這邊適合有著挑戰精神的冒險者呢！"
11,"TEXT_CTSHWDLOT_00637_LIZBETH_010_100","具體能獲得什麼樣的獎品，請參照獎品表！<hex:02100103>獎品的內容會隨每次的挑戰而改變，<hex:02100103>請看準自己想要的東西進行選擇！"
12,"TEXT_CTSHWDLOT_00637_LIZBETH_010_110","說明到此結束！<hex:02100103>重建公告板上也會記載關於抽獎的事情，<hex:02100103>請隨時進行確認！"
13,"TEXT_CTSHWDLOT_00637_LIZBETH_010_120","對了！<hex:02100103>你聽說了嗎？關於新的重建用資材的工作！<hex:02100103>要是有空的話就去找弗洛帕桑談談吧！"
14,"TEXT_CTSHWDLOT_00637_LIZBETH_010_130","話說回來，你知道<hex:02280BFF05>Item<hex:F26D9F0103>在哪裡交換嗎?<hex:02100103>如果你有空的話就去到艾妮那裡了解一下吧！"
15,"TEXT_CTSHWDLOT_00637_LIZBETH_020_000","這裡沒有庫啵果哦！不過這裡倒是有庫啵好運道！<hex:02100103><hex:022903EB0203>，你要來試試自己的運氣嗎？"
16,"TEXT_CTSHWDLOT_00637_LIZBETH_030_000","哎呀，你好像沒有庫啵好運票啊……<hex:02100103>你可以到波特金那裡，<hex:02100103>確認哪個委託品能夠拿到庫啵好運章哦！"
17,"TEXT_CTSHWDLOT_00637_LIZBETH_040_000","咦，莫非英雄的背包已經滿了嗎？<hex:02100103>看來沒地方裝獎品了，<hex:02100103>請你整理完背包再來挑戰吧！"
18,"TEXT_CTSHWDLOT_00637_MENU_TITLE","確定要使用1張庫啵好運票進行挑戰嗎？<hex:02100103>（持有數量：<hex:022003E80203>張）"
19,"TEXT_CTSHWDLOT_00637_LIZBETH_050_000","<hex:026003020303>鐺鐺鐺——鐺！<hex:02100103>好厲害好厲害，恭喜你抽中1等獎！"
20,"TEXT_CTSHWDLOT_00637_LIZBETH_050_010","恭喜你抽中<hex:022003E80203>等獎！<hex:02100103>期待你下次的挑戰！"
21,"TEXT_CTSHWDLOT_00637_LIZBETH_050_020","刮出獅鷲的圖案了？<hex:02100103>唔，這簡直比絨球被人拔掉還要遺憾……<hex:02100103>請不要氣餒，下次再來挑戰吧。"
22,"TEXT_CTSHWDLOT_00637_LIZBETH_060_000","如果還有庫啵好運票的話，<hex:02100103>要不要再來玩一次啊？！"
23,"TEXT_CTSHWDLOT_00637_LIZBETH_070_000","要是想再挑戰庫啵好運道的話，<hex:02100103>請隨時過來！"
