key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_FESANV2019_00625_NEWBORNINTERN_000_000","感謝過去，祝福現在，祈禱未來……<hex:02100103>懷著神聖的心情慶祝新生慶典吧！<hex:02100103>仰望夜空還能看到美麗的煙花哦。"
1,"TEXT_FESANV2019_00625_Q1_000_001","想了解什麼？"
2,"TEXT_FESANV2019_00625_A1_000_001","什麼是新生慶典？"
3,"TEXT_FESANV2019_00625_A1_000_002","關於煙花"
4,"TEXT_FESANV2019_00625_A1_000_003","取消"
5,"TEXT_FESANV2019_00625_NEWBORNINTERN_000_010","所謂新生慶典，主旨為悼念在第七靈災中喪生的人們，<hex:02100103>並向在靈災中奮勇作戰的英雄「光之戰士們」表達感謝。"
6,"TEXT_FESANV2019_00625_NEWBORNINTERN_000_011","節日期間，大街上會放滿水晶點綴的莊嚴的裝飾物，<hex:02100103>夜晚還會燃放美麗的煙花。"
7,"TEXT_FESANV2019_00625_NEWBORNINTERN_000_012","沉浸在這夢幻般的氣氛中，<hex:02100103>懷念過去，享受現在，為未來的幸福祈禱吧。"
8,"TEXT_FESANV2019_00625_NEWBORNINTERN_000_020","新生慶典的煙花傾注了對第七靈災犧牲者的哀悼之情。"
9,"TEXT_FESANV2019_00625_NEWBORNINTERN_000_021","雖然煙花在三國各地都能欣賞，<hex:02100103>但我最推薦的果然還是太陽海岸。<hex:02100103>海邊沒有遮擋物，視野非常好。"
10,"TEXT_FESANV2019_00625_NEWBORNINTERN_000_022","只不過……那片地方剛剛才舉辦完紅蓮節，<hex:02100103>現在都還沒有完全打掃乾淨。<hex:02100103>執行委員正在募集能夠幫忙的人呢。"
11,"TEXT_FESANV2019_00625_NEWBORNINTERN_000_023","聽說幫忙是會有報酬的，你要是有興趣的話，<hex:02100103>不妨前往太陽海岸，一邊觀賞煙花、一邊揮灑汗水怎麼樣？"
