key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_REGNOR4FANOW_00603_IYLNA_000_000","<hex:022903EB0203>……你是作為隆卡的同盟者，<hex:02100103>第一個獲得了進入村子許可的人啊。<hex:02100103>關於法諾村，你有什麼想要了解的事情嗎？"
1,"TEXT_REGNOR4FANOW_00603_Q1_000_000","想了解什麼？"
2,"TEXT_REGNOR4FANOW_00603_A1_000_001","你是做什麼的？"
3,"TEXT_REGNOR4FANOW_00603_A1_000_002","這裡是什麼地方？"
4,"TEXT_REGNOR4FANOW_00603_A1_000_003","取消"
5,"TEXT_REGNOR4FANOW_00603_IYLNA_000_010","我是生活在森林的獵人，也是守護遺跡的隆卡守護者。<hex:02100103>比其他種族更為長壽的維斯族適合像這樣在悠久的時光中，<hex:02100103>作為守護者生活下去。"
6,"TEXT_REGNOR4FANOW_00603_IYLNA_000_011","雖是這樣說，可是生活在這個村子的姐妹<hex:02100103>大多數都很年輕，不了解光之泛濫以前的事情，<hex:02100103>而很多大人當時為了保護孩子都失去了生命。"
7,"TEXT_REGNOR4FANOW_00603_IYLNA_000_012","……你問知道這些事情的我有多少歲？<hex:02100103>呵呵，<hex:0209F20217E948FF37>可不能隨便向維斯族打聽年齡的事情哦。<hex:FF37>可不能隨便向維斯族打聽年齡的事情哦。<hex:FF37>可不能隨便向維斯族打聽年齡的事情哦。<hex:FF37>可不能隨便向維斯族打聽年齡的事情哦。<hex:FF37>可不能隨便向維斯族打聽年齡的事情哦。<hex:FF37>可不能隨便向維斯族打聽年齡的事情哦。<hex:FF37>可不能隨便向維斯族打聽年齡的事情哦。<hex:FF8C>你也是維斯族的話，是不是也對自己的年齡保密啊。<hex:02100103>畢竟不想被人用其他種族的時間概念來衡量對吧。<hex:03>"
8,"TEXT_REGNOR4FANOW_00603_IYLNA_000_020","這裡法諾村是我們維斯族為了守護隆卡文明的神殿遺跡，<hex:02100103>而從古代居住至今的地方。"
9,"TEXT_REGNOR4FANOW_00603_IYLNA_000_021","平時我們姐妹之間會互幫互助，<hex:02100103>磨練自己作為獵人的能力，並承擔遺跡守護的任務。<hex:02100103>只要沒有入侵者進入伊奇絲瑪雅艾禁林，這裡的生活是很平穩的。"
10,"TEXT_REGNOR4FANOW_00603_IYLNA_000_022","光之泛濫以前在別處也有其他的維斯族集落……<hex:02100103>可現在剩下來的就只有我們的法諾村了。"
11,"TEXT_REGNOR4FANOW_00603_IYLNA_000_023","正因為如此，對於村子賦予的使命我們感到十分自豪。<hex:02100103>雖然對於外來人，好多的姐妹都還有些不習慣，<hex:02100103>不過我們都歡迎你這位隆卡的同盟者。"
12,"TEXT_REGNOR4FANOW_00603_IYLNA_000_024","大家都曾經對能否達成村子的使命而感到過不安。<hex:02100103>可是身為同盟者的你來到了村子，為森林帶來了夜晚的黑暗……<hex:02100103>你不知道這對於法諾村的人們來說是多麼值得慶幸的事情。"
13,"TEXT_REGNOR4FANOW_00603_IYLNA_000_025","這100年來，我每天都在回憶森林中深沉的黑暗和夜晚。<hex:02100103>雖然不知道為什麼光芒再次照射下來……<hex:02100103>不過我相信這座森林一定會保護我們，一切都會沒事的。"
14,"TEXT_REGNOR4FANOW_00603_IYLNA_000_026","現在我們迎來了你，也完成了祖先託付給這個村子的使命。<hex:02100103>放下重任仰望的星空，和100年前比起來總感覺有所不同呢。<hex:02100103>原來星星是那麼閃亮，夜晚是那麼溫柔啊……"
15,"TEXT_REGNOR4FANOW_00603_TALK_ACTOR","（★未使用／削除予定★）"
