key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_REGOTH4MYCMARSCHAK_00658_MARSCHAK_000_000","我們將為了即將開始的反攻作戰，做好進一步的準備。<hex:02100103>屆時請解放者閣下也務必參加！<hex:02100103>在此之前還請耐心等待！"
1,"TEXT_REGOTH4MYCMARSCHAK_00658_MARSCHAK_000_001","有什麼想要確認的事情嗎？"
2,"TEXT_REGOTH4MYCMARSCHAK_00658_MARSCHAK_000_005","反擊作戰已經開始了。<hex:02100103>請先趕赴最前線的烏特亞前哨吧。<hex:02100103>碼頭的謝羅斯會為你帶路。"
3,"TEXT_REGOTH4MYCMARSCHAK_00658_MARSCHAK_000_006","有什麼想要確認的事情嗎？"
4,"TEXT_REGOTH4MYCMARSCHAK_00658_MARSCHAK_000_010","走出烏特亞前哨就是真刀真槍的戰場了。<hex:02100103>多虧了新生女王之刃，現在大家的士氣都很高昂，<hex:02100103>我們一定能攻陷帝國湖岸堡的！"
5,"TEXT_REGOTH4MYCMARSCHAK_00658_MARSCHAK_000_011","有什麼想要確認的事情嗎？"
6,"TEXT_REGOTH4MYCMARSCHAK_00658_MARSCHAK_000_015","我還是不敢相信米希亞背叛了我們。<hex:02100103>但是現在想來，她常常獨自想一些心事，<hex:02100103>這也反映了她很難打開心扉的性格吧。"
7,"TEXT_REGOTH4MYCMARSCHAK_00658_MARSCHAK_000_016","有什麼想要確認的事情嗎？"
8,"TEXT_REGOTH4MYCMARSCHAK_00658_MARSCHAK_000_020","終於要開始帝國湖岸堡攻城戰了。<hex:02100103>無論如何我們也要攻下那座城塞，救出水琴閣下！<hex:02100103>我也會竭盡全力取得這場戰鬥的勝利！"
9,"TEXT_REGOTH4MYCMARSCHAK_00658_MARSCHAK_000_021","有什麼想要確認的事情嗎？"
10,"TEXT_REGOTH4MYCMARSCHAK_00658_MARSCHAK_000_025","沒想到事態竟然發展到了這一步。<hex:02100103>我們不僅拱手讓出了攻下的帝國湖岸堡，<hex:02100103>還失去了新生女王之刃……"
11,"TEXT_REGOTH4MYCMARSCHAK_00658_MARSCHAK_000_026","如此一來第四軍團既補充了戰力，也阻止了我們的反攻。<hex:02100103>如果這都是那個梅內紐斯的計劃的話，<hex:02100103>那這個策士是何等老謀深算可想而知。"
12,"TEXT_REGOTH4MYCMARSCHAK_00658_MARSCHAK_000_027","不過值得高興的是，<hex:02100103>達爾馬斯卡起義軍的援軍已經到了。<hex:02100103>東方聯盟也提供了更多的援助。"
13,"TEXT_REGOTH4MYCMARSCHAK_00658_MARSCHAK_000_028","總而言之，必須要想辦法對付鬪神天佑女王才行。<hex:02100103>現在只能先重整態勢，等待反攻的機會了。<hex:02100103>也請解放者閣下暫時休息一下吧。"
14,"TEXT_REGOTH4MYCMARSCHAK_00658_MARSCHAK_000_029","話說回來，你有什麼想要了解的事情嗎？"
15,"TEXT_REGOTH4MYCMARSCHAK_00658_MARSCHAK_000_030","解放者閣下，南方博茲雅戰線的局勢已陷入膠著狀態。<hex:02100103>我們忌憚鬪神天佑女王，可第四軍團也一直沒什麼動靜……<hex:02100103>不過在他們的援軍到來之前，必須要打破僵局才行。"
16,"TEXT_REGOTH4MYCMARSCHAK_00658_MARSCHAK_000_031","白沙恩大人說想和你商量一下今後的對策，<hex:02100103>請你去和我的恩師談談吧。"
17,"TEXT_REGOTH4MYCMARSCHAK_00658_MARSCHAK_000_032","有什麼想要確認的事情嗎？"
18,"TEXT_REGOTH4MYCMARSCHAK_00658_MARSCHAK_000_035","（★未使用／削除予定★）"
19,"TEXT_REGOTH4MYCMARSCHAK_00658_MARSCHAK_000_040","非常感謝你將賢人閣下平安帶回。<hex:02100103>話說回來，賢人閣下似乎在南方博茲雅戰線發現了什麼。"
20,"TEXT_REGOTH4MYCMARSCHAK_00658_MARSCHAK_000_041","有什麼想要確認的事情嗎？"
21,"TEXT_REGOTH4MYCMARSCHAK_00658_MARSCHAK_000_045","對我們來說，即使出現的頻率有所減少，<hex:02100103>那個假的鬪神也依舊是個巨大的威脅。<hex:02100103>然而真正的鬪神實力還遠不止如此嗎……真是可怕……"
22,"TEXT_REGOTH4MYCMARSCHAK_00658_MARSCHAK_000_046","有什麼想要確認的事情嗎？"
23,"TEXT_REGOTH4MYCMARSCHAK_00658_MARSCHAK_000_050","為了避免直接和鬪神對戰，無論如何也要抓住米希亞才行，<hex:02100103>如果她要反抗到底，那就只能殺掉她了……"
24,"TEXT_REGOTH4MYCMARSCHAK_00658_MARSCHAK_000_055","看來達爾馬斯卡的援軍趕到了啊。<hex:02100103>可真沒想到他們竟然還有這麼多戰力，<hex:02100103>甚至能將機動飛空戰艦調遣到這裡……"
25,"TEXT_REGOTH4MYCMARSCHAK_00658_MARSCHAK_000_056","不過，說喪氣話可解決不了任何問題。<hex:02100103>我們準備向多瑪的飛燕大人報告這邊的情況，<hex:02100103>屆時和東方聯盟聯手作戰，共同對抗第四軍團！"
26,"TEXT_REGOTH4MYCMARSCHAK_00658_MARSCHAK_000_057","恐怕接下來的戰鬥將會決定博茲雅的命運。<hex:02100103>我們定會竭盡全力，殊死一搏。<hex:02100103>到那時，也請解放者閣下助我們一臂之力！"
27,"TEXT_REGOTH4MYCMARSCHAK_00658_MARSCHAK_000_058","有什麼想要確認的事情嗎？"
28,"TEXT_REGOTH4MYCMARSCHAK_00658_MARSCHAK_000_060","解放者殿も是非、我々と共に、<hex:02100103>最前線のヴァルデニス前哨地へご一緒してくださいませ。<hex:02100103>船著場の前にいるセロウシュがご案內致します。"
29,"TEXT_REGOTH4MYCMARSCHAK_00658_MARSCHAK_000_065","東方連合の各國より心強い援軍が到著しております。<hex:02100103>その猛者らはすでに戦場へ向かいました。<hex:02100103>彼らの助力を無駄にせぬよう、なんとしても勝利を……！"
30,"TEXT_REGOTH4MYCMARSCHAK_00658_MARSCHAK_000_066","……何か確認したいことはございますか？"
31,"TEXT_REGOTH4MYCMARSCHAK_00658_MARSCHAK_000_070","リリヤ殿のおかげで寸斷されている地脈の修復……と申しますか、<hex:02100103>殘留エネルギーの誘導がうまくいっているようですね。<hex:02100103>解放者殿のご協力にも感謝致します。"
32,"TEXT_REGOTH4MYCMARSCHAK_00658_MARSCHAK_000_071","……何か確認したいことはございますか？"
33,"TEXT_REGOTH4MYCMARSCHAK_00658_MARSCHAK_000_075","……やはりメネニウスの狙いは古代アラグの遺物でした。<hex:02100103>密偵からの報告によると、採掘されたのは「悪魔らしきもの」。<hex:02100103>その正體は不明ですが、危険なのは間違いないでしょうね……。"
34,"TEXT_REGOTH4MYCMARSCHAK_00658_MARSCHAK_000_080","解放者殿……遂にこの時がやってきました！<hex:02100103>我々一同、命を棄ててこの任務を全うする所存ッ！<hex:02100103>死んでいった仲間のためにも、必ず勝利をこの手にッ！！"
