key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_REGROC2JAQUOINIE_00671_JAQUOINIE_000_000","我們是從屬於艾因哈特家奧瓦埃爾大人的私兵。<hex:02100103>主人為了開闢新的工作，目前正在做準備。<hex:02100103>十分抱歉，他現在人不在這裡。"
1,"TEXT_REGROC2JAQUOINIE_00671_JAQUOINIE_000_001","我們是從屬於艾因哈特家奧瓦埃爾大人的私兵。<hex:02100103>主人現在正忙於在蒼天街開闢新的工作。"
2,"TEXT_REGROC2JAQUOINIE_00671_JAQUOINIE_000_002","這裡不僅能幫你解鎖上鎖的寶箱，<hex:02100103>還能用在空賊之間作為貨幣而流通的戰利品——<hex:02100103>空賊通貨進行交易。"
3,"TEXT_REGROC2JAQUOINIE_00671_JAQUOINIE_000_003","雖然空賊通貨現在已經不常見了，<hex:02100103>不過在這邊可以進行交易，<hex:02100103>你要是有通貨，請務必來這裡交易。"
4,"TEXT_REGROC2JAQUOINIE_00671_JAQUOINIE_000_010","你找我們的主人奧瓦埃爾大人有什麼事嗎？<hex:02100103>我們主人為了開闢新的工作，目前正在做準備。<hex:02100103>十分抱歉，他現在人不在這裡。"
5,"TEXT_REGROC2JAQUOINIE_00671_JAQUOINIE_000_011","你找我們的主人奧瓦埃爾大人有什麼事嗎？<hex:02100103>主人現在正忙於在蒼天街開闢新的工作。"
6,"TEXT_REGROC2JAQUOINIE_00671_JAQUOINIE_000_012","不過我們這裡依舊能幫你解鎖上鎖的寶箱，<hex:02100103>還能用在空賊之間作為貨幣而流通的戰利品——<hex:02100103>空賊通貨進行交易。"
