key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_FESPDY2022_00734_BUTLER_000_000","プリンセスデーに関するご質問にお答えいたします。<hex:02100103>何か疑問がございましたら、遠慮なく私にお尋ねください。"
1,"TEXT_FESPDY2022_00734_GUIDEPDY2022_100_000","プリンセスデーに関するご質問にお答えいたします。<hex:02100103>何か疑問がございましたら、遠慮なく私にお尋ねください。"
2,"TEXT_FESPDY2022_00734_Q1_000_000","何を聞く？"
3,"TEXT_FESPDY2022_00734_A1_000_001","「プリンセスデー」とは？"
4,"TEXT_FESPDY2022_00734_A1_000_002","「エドヴィア姫」とは？"
5,"TEXT_FESPDY2022_00734_A1_100_002","話す"
6,"TEXT_FESPDY2022_00734_A1_000_003","キャンセル"
7,"TEXT_FESPDY2022_00734_BUTLER_000_010","「プリンセスデー」とは、<hex:02100103>すべての女の子のための祝祭です。"
8,"TEXT_FESPDY2022_00734_BUTLER_000_011","起源は遡ること300年ほど前……<hex:02100103>ウルダハの王朝がソーン朝であった時代のことです。"
9,"TEXT_FESPDY2022_00734_BUTLER_000_012","窮屈な王宮生活に嫌気が差した王女「エドヴィア」は、<hex:02100103>同年代の町娘から服を借りて変裝し、王宮を抜け出しました。"
10,"TEXT_FESPDY2022_00734_BUTLER_000_013","それを知った時の國王「バルドリック」は大いに狼狽し、<hex:02100103>軍を総動員する大騒動を引き起こしてしまいます。"
11,"TEXT_FESPDY2022_00734_BUTLER_000_014","「エドヴィア姫」が見つかるまでの間、<hex:02100103>軍による度を超した捜索で、街は大混亂に陥りました。<hex:02100103>姫に協力した町娘の家に至っては、家捜しで半壊する始末。"
12,"TEXT_FESPDY2022_00734_BUTLER_000_015","この事件の後、「バルドリック王」は町娘を訪ね、<hex:02100103>「女の子は國の寶であり、王女として遇されるべき」と謝罪、<hex:02100103>家を再建させ、自らは町娘に執事として一日かしずいたそうです。"
13,"TEXT_FESPDY2022_00734_BUTLER_000_016","王の行動に當時の庶民は大喜び、王室に好印象を持ちました。<hex:02100103>それを受け、「バルドリック王」は毎年同じ日に、<hex:02100103>抽選で選ばれた女の子の執事となり、一日中仕えたといいます。"
14,"TEXT_FESPDY2022_00734_BUTLER_000_017","王の沒後、この珍行事はすこしずつ姿を変えながら、<hex:02100103>ウル朝となったウルダハのみならず、他國にも広がり、<hex:02100103>現在の「プリンセスデー」となったのです。"
15,"TEXT_FESPDY2022_00734_BUTLER_000_020","「エドヴィア姫」は、今より300年ほど昔の人物です。<hex:02100103>當時、ウルダハを支配していたヒューラン族の王朝、<hex:02100103>ソーン朝の姫君です。"
16,"TEXT_FESPDY2022_00734_BUTLER_000_021","彼女が王宮を抜けだした「エドヴィア姫失蹤事件」は、<hex:02100103>「プリンセスデー」の発端としても有名です。"
17,"TEXT_FESPDY2022_00734_BUTLER_000_022","自由奔放な「エドヴィア姫」に、<hex:02100103>厳格で知られる父「バルドリック王」……。<hex:02100103>父娘の関係は、かなり距離のあるものだったといいます。"
18,"TEXT_FESPDY2022_00734_BUTLER_000_023","それが変わったのは「エドヴィア姫失蹤事件」のおかげです。<hex:02100103>娘を心配するあまりに大暴走する「バルドリック王」を見て、<hex:02100103>「エドヴィア姫」も思うところがあったのでしょう。"
19,"TEXT_FESPDY2022_00734_BUTLER_000_024","「失蹤事件」以降、姫が王に歩み寄る形で関係が改善し、<hex:02100103>やがては理想的な父娘関係として記録に殘るほど、<hex:02100103>ふたりの仲はよくなったそうです。"
20,"TEXT_FESPDY2022_00734_GUIDEPDY2022_100_010","「プリンセスデー」とは、<hex:02100103>すべての女の子のための祝祭です。"
21,"TEXT_FESPDY2022_00734_GUIDEPDY2022_100_011","起源は遡ること300年ほど前……<hex:02100103>ウルダハの王朝がソーン朝であった時代のことです。"
22,"TEXT_FESPDY2022_00734_GUIDEPDY2022_100_012","窮屈な王宮生活に嫌気が差した王女「エドヴィア」は、<hex:02100103>同年代の町娘から服を借りて変裝し、王宮を抜け出しました。"
23,"TEXT_FESPDY2022_00734_GUIDEPDY2022_100_013","それを知った時の國王「バルドリック」は大いに狼狽し、<hex:02100103>軍を総動員する大騒動を引き起こしてしまいます。"
24,"TEXT_FESPDY2022_00734_GUIDEPDY2022_100_014","「エドヴィア姫」が見つかるまでの間、<hex:02100103>軍による度を超した捜索で、街は大混亂に陥りました。<hex:02100103>姫に協力した町娘の家に至っては、家捜しで半壊する始末。"
25,"TEXT_FESPDY2022_00734_GUIDEPDY2022_100_015","この事件の後、「バルドリック王」は町娘を訪ね、<hex:02100103>「女の子は國の寶であり、王女として遇されるべき」と謝罪、<hex:02100103>家を再建させ、自らは町娘に執事として一日かしずいたそうです。"
26,"TEXT_FESPDY2022_00734_GUIDEPDY2022_100_016","王の行動に當時の庶民は大喜び、王室に好印象を持ちました。<hex:02100103>それを受け、「バルドリック王」は毎年同じ日に、<hex:02100103>抽選で選ばれた女の子の執事となり、一日中仕えたといいます。"
27,"TEXT_FESPDY2022_00734_GUIDEPDY2022_100_017","王の沒後、この珍行事はすこしずつ姿を変えながら、<hex:02100103>ウル朝となったウルダハのみならず、他國にも広がり、<hex:02100103>現在の「プリンセスデー」となったのです。"
28,"TEXT_FESPDY2022_00734_GUIDEPDY2022_100_020","「エドヴィア姫」は、今より300年ほど昔の人物です。<hex:02100103>當時、ウルダハを支配していたヒューラン族の王朝、<hex:02100103>ソーン朝の姫君です。"
29,"TEXT_FESPDY2022_00734_GUIDEPDY2022_100_021","彼女が王宮を抜けだした「エドヴィア姫失蹤事件」は、<hex:02100103>「プリンセスデー」の発端としても有名です。"
30,"TEXT_FESPDY2022_00734_GUIDEPDY2022_100_022","自由奔放な「エドヴィア姫」に、<hex:02100103>厳格で知られる父「バルドリック王」……。<hex:02100103>父娘の関係は、かなり距離のあるものだったといいます。"
31,"TEXT_FESPDY2022_00734_GUIDEPDY2022_100_023","それが変わったのは「エドヴィア姫失蹤事件」のおかげです。<hex:02100103>娘を心配するあまりに大暴走する「バルドリック王」を見て、<hex:02100103>「エドヴィア姫」も思うところがあったのでしょう。"
32,"TEXT_FESPDY2022_00734_GUIDEPDY2022_100_024","「失蹤事件」以降、姫が王に歩み寄る形で関係が改善し、<hex:02100103>やがては理想的な父娘関係として記録に殘るほど、<hex:02100103>ふたりの仲はよくなったそうです。"
33,"TEXT_FESPDY2022_00734_BUTLER_000_030","今回のプリンセスデーでも催し物を開催予定です。<hex:02100103>冒険者さんも、よければぜひご覧になってくださいね！"
34,"TEXT_FESPDY2022_00734_BUTLER_000_031","これはこれは、冒険者さん！<hex:02100103>モデルとして出場されるとは予想外でしたが、<hex:02100103>見事な立ち振る舞いでしたぞ！"
35,"TEXT_FESPDY2022_00734_BUTLER_000_032","おや、冒険者さん！<hex:02100103>よければまた、コンテストの時のようにステージを歩いて、<hex:02100103>モデル気分を味わってみてくださいね！"
