key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_FESSUM2021_00711_ETHELIA_000_000","う～ん、風が心地いいわね～。<hex:02100103>ここ、コスタ·デル·ソルでは「紅蓮祭」が開催中よ！<hex:02100103>祭りに関することなら、なんでも聞いてね！"
1,"TEXT_FESSUM2021_00711_ETHELIA_000_010","ただいま「紅蓮祭」が絶賛開催中よ！<hex:02100103>祭りについて、なにか気になることがあれば、<hex:02100103>遠慮なく聞いてちょうだい！"
2,"TEXT_FESSUM2021_00711_Q1_000_000","想了解什麼？"
3,"TEXT_FESSUM2021_00711_A1_000_001","「紅蓮節」是什麼？"
4,"TEXT_FESSUM2021_00711_A1_000_002","「紅蓮節票據」是什麼？"
5,"TEXT_FESSUM2021_00711_A1_000_003","如何取得「紅蓮節票據」？"
6,"TEXT_FESSUM2021_00711_A1_000_004","取消"
7,"TEXT_FESSUM2021_00711_ETHELIA_000_020","「紅蓮祭」について説明するわね。<hex:02100103>もともとは、突如として現れた炎の怪獣を撃退するため、<hex:02100103>冒険者ギルドの有志で催された祭りが「紅蓮祭」なの。"
8,"TEXT_FESSUM2021_00711_ETHELIA_000_021","以降、炎の怪獣が出現しないときにも、<hex:02100103>冒険者ギルドの活動を広めるために、開催されているわ。<hex:02100103>我らが紅蓮祭実行委員長、ヘールマガを筆頭にね！"
9,"TEXT_FESSUM2021_00711_ETHELIA_000_022","ヘールマガの指揮のもと、<hex:02100103>冒険者に憧れる子供たちの夢と希望を守るためにも、<hex:02100103>私たち実行委員が、真心をこめて運営しているのよ。"
10,"TEXT_FESSUM2021_00711_ETHELIA_000_030","開催場所は、コスタ·デル·ソルの地主である、<hex:02100103>ゲゲルジュ氏が、今回も快く提供してくれたわ。"
11,"TEXT_FESSUM2021_00711_ETHELIA_000_031","あなたも、ぜひ「紅蓮祭」に參加して、<hex:02100103>冒険者ギルドを盛りあげてくれると嬉しいわ！"
12,"TEXT_FESSUM2021_00711_ETHELIA_000_032","さあ、今回の開催場所は、コスタ·デル·ソルよ。<hex:02100103>あなたも、ぜひ參加してちょうだいね！"
13,"TEXT_FESSUM2021_00711_ETHELIA_000_040","お祭りの開催を助けてくれた冒険者への報酬として、<hex:02100103>紅蓮祭実行委員が発行している手形よ。<hex:02100103>いろんな品物と交換できるから、集めてみてね。"
14,"TEXT_FESSUM2021_00711_ETHELIA_000_050","今季の「紅蓮祭」への協力といえば、アイスボンバード退治ね。<hex:02100103>一度は、あなたの協力もあって撃破できたんだけど、<hex:02100103>どうやらビーチに、繰り返し現れているようなの。"
15,"TEXT_FESSUM2021_00711_ETHELIA_000_051","海からアイスボンバードが現れたら、<hex:02100103>あなたは、現地の人たちと協力して、<hex:02100103>ビーチを守ってほしいの。"
16,"TEXT_FESSUM2021_00711_ETHELIA_000_052","作戦への貢獻度によって、<hex:02100103>お禮に「紅蓮祭手形」を渡しているのよ。<hex:02100103>記念の品と交換できるから、協力してくれたら嬉しいわ！"
17,"TEXT_FESSUM2021_00711_SYSTEM_000_053","「紅蓮祭手形」は、<hex:02100103>紅蓮祭會場南東で発生している、<hex:02100103>F.A.T.E.に參加して貢獻することで入手できます。"
