key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_REGISB5PALAKASSTAND_00750_MULRUNNAH_000_000","你是幫忙的人吧。<hex:02100103>雖然這裡只是個小村子，不過還請你隨意逛逛吧。<hex:02100103>如果有什麼想問的事情，只要是我知道的肯定會盡量回答。"
1,"TEXT_REGISB5PALAKASSTAND_00750_Q1_000_000","想了解什麼？"
2,"TEXT_REGISB5PALAKASSTAND_00750_A1_000_001","你是做什麼的？"
3,"TEXT_REGISB5PALAKASSTAND_00750_A1_000_002","這裡是什麼地方？"
4,"TEXT_REGISB5PALAKASSTAND_00750_A1_000_003","取消"
5,"TEXT_REGISB5PALAKASSTAND_00750_MULRUNNAH_000_010","我作為一名守護者生活在這裡。<hex:02100103>這附近殘存著許多神聖的寺院以及墳墓對吧？<hex:02100103>我們守護者的職責是巡視並修繕這些神聖的場所。"
6,"TEXT_REGISB5PALAKASSTAND_00750_MULRUNNAH_000_011","因此守護者很少走出眾僧林園。<hex:02100103>就拿我來說，不僅沒去過拉札罕，甚至連海邊都未曾去過，<hex:02100103>所以我其實很不擅長游泳呢。"
7,"TEXT_REGISB5PALAKASSTAND_00750_MULRUNNAH_000_020","這裡是波洛伽護法村。<hex:02100103>負責守護神獸大人的寺院、幫助信徒與僧侶的守護者<hex:02100103>以及其他居民都生活在這個村子裡。"
8,"TEXT_REGISB5PALAKASSTAND_00750_MULRUNNAH_000_021","這個村子原本是悌陽象族為他們自己建立的居住地。<hex:02100103>因此周邊很多建築都含有悌陽象族僧侶的名字，<hex:02100103>就比如聖仙阿迦瑪之墓和帕瓦納的悔悟。"
9,"TEXT_REGISB5PALAKASSTAND_00750_MULRUNNAH_000_022","可這個傳統的小村子，卻因之前的混亂情況並不樂觀。<hex:02100103>我只祈求事態不要發展到人們不得不徹底放棄這裡……"
10,"TEXT_REGISB5PALAKASSTAND_00750_MULRUNNAH_000_023","雖然之前的混亂造成了重大的損失，<hex:02100103>但這個村子也開始逐步恢復正常了。<hex:02100103>前來避難的居民人數仍然不少，我們會繼續為人們提供支援。"
