key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_REGWIL5CHUCHUTO_00770_Q1_000_000","想要問些什麼？"
1,"TEXT_REGWIL5CHUCHUTO_00770_A1_000_001","最近怎麼樣？"
2,"TEXT_REGWIL5CHUCHUTO_00770_A1_000_002","關於伊爾薩巴德救援隊"
3,"TEXT_REGWIL5CHUCHUTO_00770_A1_000_003","取消"
4,"TEXT_REGWIL5CHUCHUTO_00770_CHUCHUTO_000_000","體力是格鬥家的立身之本！<hex:02100103>給我好好吃、好好睡，每天都要有所進步才行啊！"
5,"TEXT_REGWIL5CHUCHUTO_00770_CHUCHUTO_000_010","格鬥家之路就是毫不間斷的鍛鍊！<hex:02100103><hex:022903EB0203>，來一起加油吧！"
6,"TEXT_REGWIL5CHUCHUTO_00770_CHUCHUTO_000_020","托你的福，入門志願者也在順利地增多！"
7,"TEXT_REGWIL5CHUCHUTO_00770_CHUCHUTO_000_021","要說我的話，每天可是都在忙著指導新人呢。<hex:02100103>不過等下面的弟子成長起來以後，<hex:02100103>我也打算開始做一些自己想做的事情。"
8,"TEXT_REGWIL5CHUCHUTO_00770_CHUCHUTO_000_022","我呢，想活用在救援隊戰鬥時獲得的經驗，<hex:02100103>踏上巡迴各地的武者修行。<hex:02100103>順便也能像你一樣幫助那些有困難的人們。"
9,"TEXT_REGWIL5CHUCHUTO_00770_CHUCHUTO_000_023","啊、這件事還沒跟師父說過呢，也請你保密哦！<hex:02100103>現在光是公會的事情就已經忙不過來了，<hex:02100103>這件事估計得放到很久以後了吧！"
10,"TEXT_REGWIL5CHUCHUTO_00770_CHUCHUTO_000_100","救援隊的任務自然是必須要做的，<hex:02100103>但我也得抽空完成公會的工作才行。"
11,"TEXT_REGWIL5CHUCHUTO_00770_CHUCHUTO_000_101","與他國的精銳一起行動，<hex:02100103>讓我深深地感到了自己的實力不足。<hex:02100103>我必須變得更強才行！"
12,"TEXT_REGWIL5CHUCHUTO_00770_CHUCHUTO_000_110","伊爾薩巴德救援隊的任務辛苦你了！<hex:02100103>在魔導工廠與你們分開後，<hex:02100103>我們也在那裡與信徒們展開了戰鬥……"
13,"TEXT_REGWIL5CHUCHUTO_00770_CHUCHUTO_000_111","這讓我重新認識到<hex:022903EB0203>你到底有多厲害，<hex:02100103>我從心底對你感到尊敬！<hex:02100103>因為你是所有人的希望啊。"
14,"TEXT_REGWIL5CHUCHUTO_00770_CHUCHUTO_000_112","就在我也感到快要不行的時候，<hex:02100103>是你成為了我心中堅強的依靠，所以我才能撐了過來。<hex:02100103>謝謝你給與了我勇氣和希望！"
