key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_VOICEMAN_05505_002630_KANESENNA","各位……<hex:02100103>衷心感謝各位出席本次會議。"
1,"TEXT_VOICEMAN_05505_002640_IXALICHIEFTAIN","關於綁架了我們同伴的那幫傢伙……<hex:02100103>你說手上有相關情報，不是唬我們的吧？<hex:02100103>先把這事給我全部交代清楚！"
2,"TEXT_VOICEMAN_05505_002650_IXALICHIEFTAIN","什……那不糟糕了！<hex:02100103>如果那座塔會操控我們被帶走的同伴，<hex:02100103>那必須得趕緊去把他們救出來啊！"
3,"TEXT_VOICEMAN_05505_002660_YSHTOLA","能做到那當然再好不過，<hex:02100103>但是還需要做好應對精神汙染和異形蠻神的對策，<hex:02100103>魯莽突擊可不夠明智。"
4,"TEXT_VOICEMAN_05505_002670_MERLWYB","既然難以接近，倒也可以選擇<hex:02100103>從遠處進行炮擊……"
5,"TEXT_VOICEMAN_05505_002680_SAHAGINPRIEST","你難道想把我們的同胞全都給一起殺了嗎！"
6,"TEXT_VOICEMAN_05505_002690_ZADA","魚人族的各位  還請冷靜！<hex:02100103>若是梅爾維布閣下打算這麼做　她早就付諸行動了！<hex:02100103>我們是為了　一同出謀劃策　才聚集一堂！"
7,"TEXT_VOICEMAN_05505_002700_MERLWYB","沒錯。<hex:02100103>我無意發動等同於捨棄被囚禁的各位的攻擊。<hex:02100103>我們可是好不容易才跨越困難，展開了交流。"
8,"TEXT_VOICEMAN_05505_002710_RAUBAHN","沒錯，除非每個國家與種族都攜起手來，<hex:02100103>一齊傾注全力，才有機會突破這次危機。<hex:02100103>對方可是宣布了以行星的「末日」為目標。"
9,"TEXT_VOICEMAN_05505_002720_SAHAGINPRIEST","……天使與帝國勾結，<hex:02100103>我等的神也淪為邪惡異形的模樣落入敵手。<hex:02100103>面對這一系列阻礙，你們真認為自己能贏？"
10,"TEXT_VOICEMAN_05505_002730_AYMERIC","……只要聚集於此的國家、種族、組織<hex:02100103>全部攜手合作，一定能贏。"
11,"TEXT_VOICEMAN_05505_002740_SAHAGINPRIEST","呼嘶——————！！"
12,"TEXT_VOICEMAN_05505_002750_AYMERIC","……這是？"
13,"TEXT_VOICEMAN_05505_002760_SAHAGINPRIEST","你們情緒高漲時，<hex:02100103>都不會用腮用力呼氣嗎……？"
14,"TEXT_VOICEMAN_05505_002770_SAHAGINPRIEST","總而言之，如果在場所有人<hex:02100103>都打算一同跟他們開戰，可不能只有我們魚人族膽怯不前！<hex:02100103>在此起誓，我等也將舉起魚叉，參加戰鬥。"
15,"TEXT_VOICEMAN_05505_002780_ZADA","我們並非徹底遺忘了　迄今為止的所有禍根。<hex:02100103>但是　為了未來　我選擇相信人類。<hex:02100103>地靈族也　贊成共鬥！"
16,"TEXT_VOICEMAN_05505_002790_IXALICHIEFTAIN","鳥人族也不可能在一邊發抖！<hex:02100103>該幹的時候就得上……我可不願意捨棄那些<hex:02100103>被敵人當作傀儡的同伴……！"
17,"TEXT_VOICEMAN_05505_002800_KANESENNA","那是自然。<hex:02100103>咱們今後會共享拂曉編纂出的治療精神汙染的手段，<hex:02100103>讓大家有機會親手奪回各自的同伴。"
18,"TEXT_VOICEMAN_05505_002810_IXALICHIEFTAIN","多謝多謝！"
19,"TEXT_VOICEMAN_05505_002820_AMALJAACHIEFTAIN","感激不盡……！"
20,"TEXT_VOICEMAN_05505_002830_SAHAGINPRIEST","呼嘶——！！"
21,"TEXT_VOICEMAN_05505_002840_THANCRED","拂曉血盟的使命之一正是解決蠻神問題。<hex:02100103>如果敏菲利亞在場，面對此情此景，<hex:02100103>肯定會比誰都開心……"
22,"TEXT_VOICEMAN_05505_002850_ALISAIE","我們也得回應他們的決斷。<hex:02100103>之後還要增加更多的仙子豬呢。"
23,"TEXT_VOICEMAN_05505_002860_ALPHINAUD","各位，我有個提案……<hex:02100103>在場的各位應該都想<hex:02100103>救出被關在【末日之塔】裡的人們吧。"
24,"TEXT_VOICEMAN_05505_002870_ALPHINAUD","然而，只有少數對精神汙染具有抵抗力的人<hex:02100103>才能夠靠近高塔……<hex:02100103>而且潛入之後，還有異形蠻神等在前頭。"
25,"TEXT_VOICEMAN_05505_002880_ALPHINAUD","所以我認為，應該優先考慮的是<hex:02100103>如何阻止蠻神召喚。"
26,"TEXT_VOICEMAN_05505_002890_ZADA","對了！<hex:02100103>請神需要的是　祈禱和乙太！<hex:02100103>只要缺了任何一項　神都不會現身！"
27,"TEXT_VOICEMAN_05505_002900_ALPHINAUD","沒錯，正是如此。<hex:02100103>【末日之塔】應該擁有某種匯聚乙太的手段。<hex:02100103>咱們來一起搞清楚它的機制，摸索阻止召喚的辦法吧。"
28,"TEXT_VOICEMAN_05505_002910_NANAMOULNAMO","那麼，眼下我們需要做的，<hex:02100103>是在尋找阻攔乙太匯聚的手段的這段時間，<hex:02100103>防止發生更多的綁架事件，將受害控制在最小程度。"
29,"TEXT_VOICEMAN_05505_002920_NANAMOULNAMO","還請各國、各種族加強連攜，<hex:02100103>一旦テロフォロイ軍有了動靜，<hex:02100103>就互相派兵支援對方。"
30,"TEXT_VOICEMAN_05505_002930_AMALJAACHIEFTAIN","上一次的襲擊，若是僅靠我們自己，顯然無法抗衡。<hex:02100103>站在曾經得到過援兵幫助的立場上，<hex:02100103>恩怨分明……我們加入這個協作防衛體系！"
31,"TEXT_VOICEMAN_05505_002940_AYMERIC","看來沒有反對意見了。"
32,"TEXT_VOICEMAN_05505_002950_AYMERIC","那麼，其實我也有一點建議。<hex:02100103>如此劃時代的大型同盟，需要一個與其相稱的名字。<hex:02100103>就請編織出這些羈絆的拂曉成員，來起這個名字吧。"
33,"TEXT_VOICEMAN_05505_Q1_000_001_NONE_VOICE","要說什麼？"
34,"TEXT_VOICEMAN_05505_A1_000_001_NONE_VOICE","艾歐澤亞大國防聯軍"
35,"TEXT_VOICEMAN_05505_A1_000_002_NONE_VOICE","交給你們了……"
36,"TEXT_VOICEMAN_05505_002960_ALPHINAUD","這、這名字是……！？"
37,"TEXT_VOICEMAN_05505_002970_ALISAIE","艾歐澤亞大國防聯軍……<hex:02100103>雖然感覺這是個某人追求過的名字，<hex:02100103>不過還挺不賴？"
38,"TEXT_VOICEMAN_05505_002980_RAUBAHN","真是個好名字……<hex:02100103>既然是所有生活在艾歐澤亞的人團結一心，<hex:02100103>沒有比它更適合的名字了……！"
39,"TEXT_VOICEMAN_05505_002990_MERLWYB","我沒有意見……！<hex:02100103>於艾歐澤亞名下全員集結！"
40,"TEXT_VOICEMAN_05505_003000_KANESENNA","跨越國家與種族的溝壑，再加上與東方聯合協力，<hex:02100103>一同反抗試圖引發「末日」之人吧。"
41,"TEXT_VOICEMAN_05505_003010_NANAMOULNAMO","那麼，在此宣布。<hex:02100103>艾歐澤亞大國防聯軍，在此建立！"
