key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_DUNGEONOMEGA_00000_CID_000_000","(-西德-)<hex:022903EB0203>,聽得見嗎？<hex:02100103>敵人名為德爾塔I老者！<hex:02100103>將其擊退！"
1,"TEXT_DUNGEONOMEGA_00000_NERO_000_010","(-尼祿-)出現了！<hex:02100103>是德爾塔II災變者。<hex:02100103>跟它玩玩吧！"
2,"TEXT_DUNGEONOMEGA_00000_HALICARNASSUS_000_020","來了一群愚蠢的傢伙……<hex:02100103>好吧 就讓我陪你們玩玩吧……"
3,"TEXT_DUNGEONOMEGA_00000_EXDEATH_000_030","終於到手了……<hex:02100103>最強之力 能夠支配世界的虛無之力！"
4,"TEXT_DUNGEONOMEGA_00000_EXDEATH_000_031","為什麼！<hex:02100103>明明已經獲得了虛無之力……"
5,"TEXT_DUNGEONOMEGA_00000_EXDEATH_000_032","虛無到底是……啊啊啊啊啊啊！"
6,"TEXT_DUNGEONOMEGA_00000_CID_000_100","(-西德-)<hex:022903EB0203>，第一名敵人已經出現了！<hex:02100103>那是……真的假的……就是那輛列車！<hex:02100103>來了！"
7,"TEXT_DUNGEONOMEGA_00000_NERO_000_110","(-尼祿-)呵呵，還真是間豪華的畫室……<hex:02100103>看上去會有很多有趣的東西啊？<hex:02100103>你也用陸行鳥之筆好好享受一下吧！"
8,"TEXT_DUNGEONOMEGA_00000_CID_000_120","(-西德-)守護者要啟動了！<hex:02100103>那傢伙會載入模擬程序，從而進行變化多端的攻擊。<hex:02100103>要注意它行動上的變化！"
9,"TEXT_DUNGEONOMEGA_00000_CEFCA_000_129","我得到了世界上最強的力量"
10,"TEXT_DUNGEONOMEGA_00000_CEFCA_000_130","除我之外 所有人都是垃圾！<hex:02100103>連垃圾都不如！"
11,"TEXT_DUNGEONOMEGA_00000_CEFCA_000_131","我要破壞掉一切 創造一個死之世界！"
12,"TEXT_DUNGEONOMEGA_00000_CEFCA_000_132","為什麼我會輸！！<hex:02100103>啊——！不可置信！！"
