key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_CLSTAN005_00051_SEQ_00","製革匠公會的蓋娃，不知為何，好像十分焦躁……"
1,"TEXT_CLSTAN005_00051_SEQ_01","令蓋娃憤怒的原因是有人將做工粗糙的巨蟾蜍革帶到了公會。籌備1張<hex:02280DFF07>ItemHQ<hex:F214A00103>，將成品交給在製革匠公會的蓋娃看看。"
2,"TEXT_CLSTAN005_00051_SEQ_02","在蓋娃處得到了首肯。將<hex:02280DFF07>ItemHQ<hex:F214A00103>交給魔女咖啡館中的商人艾馬。"
3,"TEXT_CLSTAN005_00051_SEQ_03","將<hex:02280DFF07>ItemHQ<hex:F214A00103>交給了烏爾達哈的商人。冒險者交予的巨蟾蜍革完美無缺，令商人驚喜萬分，也使他消除了對公會的誤解。向製革匠公會的蓋娃報告。"
4,"TEXT_CLSTAN005_00051_SEQ_04","冒險者的手藝能讓目中無人的烏爾達哈商人閉嘴，蓋娃對此表達了讚賞。但同時也對販賣劣質品的格里達尼亞新品牌博薩大叔感到怒不可遏了。<hex:02100103><hex:02100103>※製革匠的等級達到30級以上時，可以從蓋娃那裡領取下一個製革匠任務。"
5,"TEXT_CLSTAN005_00051_SEQ_05",""
6,"TEXT_CLSTAN005_00051_SEQ_06",""
7,"TEXT_CLSTAN005_00051_SEQ_07",""
8,"TEXT_CLSTAN005_00051_SEQ_08",""
9,"TEXT_CLSTAN005_00051_SEQ_09",""
10,"TEXT_CLSTAN005_00051_SEQ_10",""
11,"TEXT_CLSTAN005_00051_SEQ_11",""
12,"TEXT_CLSTAN005_00051_SEQ_12",""
13,"TEXT_CLSTAN005_00051_SEQ_13",""
14,"TEXT_CLSTAN005_00051_SEQ_14",""
15,"TEXT_CLSTAN005_00051_SEQ_15",""
16,"TEXT_CLSTAN005_00051_SEQ_16",""
17,"TEXT_CLSTAN005_00051_SEQ_17",""
18,"TEXT_CLSTAN005_00051_SEQ_18",""
19,"TEXT_CLSTAN005_00051_SEQ_19",""
20,"TEXT_CLSTAN005_00051_SEQ_20",""
21,"TEXT_CLSTAN005_00051_SEQ_21",""
22,"TEXT_CLSTAN005_00051_SEQ_22",""
23,"TEXT_CLSTAN005_00051_SEQ_23",""
24,"TEXT_CLSTAN005_00051_TODO_00","讓蓋娃查看<hex:02280DFF07>ItemHQ<hex:F214A00103>"
25,"TEXT_CLSTAN005_00051_TODO_01","將<hex:02280DFF07>ItemHQ<hex:F214A00103>交給魔女咖啡館的艾馬"
26,"TEXT_CLSTAN005_00051_TODO_02","向製革匠公會的蓋娃報告"
27,"TEXT_CLSTAN005_00051_TODO_03",""
28,"TEXT_CLSTAN005_00051_TODO_04",""
29,"TEXT_CLSTAN005_00051_TODO_05",""
30,"TEXT_CLSTAN005_00051_TODO_06",""
31,"TEXT_CLSTAN005_00051_TODO_07",""
32,"TEXT_CLSTAN005_00051_TODO_08",""
33,"TEXT_CLSTAN005_00051_TODO_09",""
34,"TEXT_CLSTAN005_00051_TODO_10",""
35,"TEXT_CLSTAN005_00051_TODO_11",""
36,"TEXT_CLSTAN005_00051_TODO_12",""
37,"TEXT_CLSTAN005_00051_TODO_13",""
38,"TEXT_CLSTAN005_00051_TODO_14",""
39,"TEXT_CLSTAN005_00051_TODO_15",""
40,"TEXT_CLSTAN005_00051_TODO_16",""
41,"TEXT_CLSTAN005_00051_TODO_17",""
42,"TEXT_CLSTAN005_00051_TODO_18",""
43,"TEXT_CLSTAN005_00051_TODO_19",""
44,"TEXT_CLSTAN005_00051_TODO_20",""
45,"TEXT_CLSTAN005_00051_TODO_21",""
46,"TEXT_CLSTAN005_00051_TODO_22",""
47,"TEXT_CLSTAN005_00051_TODO_23",""
48,"TEXT_CLSTAN005_00051_GEVA_000_1","啊，氣死我了！<hex:02100103>我一定要抓住他，扒了他的皮……"
49,"TEXT_CLSTAN005_00051_GEVA_000_2","……哎呀，<hex:022903EB0203>。<hex:02100103>你來得正是時候，我得跟你說說這件事！"
50,"TEXT_CLSTAN005_00051_GEVA_000_3","真是令人怒不可遏。<hex:02100103>烏爾達哈的商人跑來這裡抱怨，<hex:02100103>說在我們這裡買的巨蟾蜍革做工很粗糙。"
51,"TEXT_CLSTAN005_00051_GEVA_000_4","你聞得到這張巨蟾蜍革上散發的惡臭吧？"
52,"TEXT_CLSTAN005_00051_GEVA_000_5","這是因為鞣製它的工匠手法太過粗糙，<hex:02100103>導致上面仍殘留著黏液，<hex:02100103>這傢伙簡直一點都不懂製作巨蟾蜍革的要領。"
53,"TEXT_CLSTAN005_00051_GEVA_000_6","這張皮革當然不是我們這裡的製品。<hex:02100103>我怎麼可能會讓這種貨色擺上檯面呢。"
54,"TEXT_CLSTAN005_00051_GEVA_000_7","這種糟蹋生命的製品！"
55,"TEXT_CLSTAN005_00051_GEVA_000_8","儘管不是出自我們之手，但若是讓別人認為<hex:02100103>格里達尼亞的製革匠都是不尊重生命的粗野之徒，<hex:02100103>那可就不能坐視不管了。"
56,"TEXT_CLSTAN005_00051_GEVA_000_9","正因如此……<hex:02100103><hex:022903EB0203>，要輪到你出場了。"
57,"TEXT_CLSTAN005_00051_GEVA_000_10","作為肩負著格里達尼亞製革公會的工匠，<hex:02100103>製作出1張最優質的<hex:02280DFF07>ItemHQ<hex:F214A00103>，<hex:02100103>拿過來！告訴他什麼是真正的製革匠！"
58,"TEXT_CLSTAN005_00051_SYSTEM_000_15","試著製作優質道具吧。<hex:02100103>在製作過程中，通過提升品質，<hex:02100103>能大大提高優質道具的完成率。"
59,"TEXT_CLSTAN005_00051_SYSTEM_000_16","（★未使用／削除予定★）"
60,"TEXT_CLSTAN005_00051_GEVA_100_21","製作出1張<hex:02280DFF07>ItemHQ<hex:F214A00103>，<hex:02100103>拿過來！告訴他什麼是真正的製革匠！"
61,"TEXT_CLSTAN005_00051_GEVA_000_21","好的，拿來了是吧。我來看看……"
62,"TEXT_CLSTAN005_00051_GEVA_000_22","嗯。張力、韌性都無可挑剔呢。<hex:02100103>但比起那些來說……"
63,"TEXT_CLSTAN005_00051_GEVA_000_23","你將巨蟾蜍革的最大特徵「防刃性」最大程度發揮了出來。<hex:02100103>根據這一特性，便可以將其用於製作防具的重要部位。"
64,"TEXT_CLSTAN005_00051_GEVA_000_24","而且也很好地稀釋過，毫無異味。<hex:02100103>你真能幹啊，<hex:022903EB0203>！"
65,"TEXT_CLSTAN005_00051_GEVA_000_25","那麼，該去辦另一件工作了。<hex:02100103>將這個<hex:02280DFF07>ItemHQ<hex:F214A00103>交給魔女咖啡館中的艾馬。"
66,"TEXT_CLSTAN005_00051_MERCHANT_000_20","我！現在！可是滿腔怒火！！<hex:02100103>竟然推銷給我做工如此粗糙的巨蟾蜍革！"
67,"TEXT_CLSTAN005_00051_MERCHANT_000_30","這是什麼啊？我都說過要求退貨吧！<hex:02100103>真是冥頑不化的死腦筋……"
