key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_SUBSEA923_00246_SEQ_00","捕魚人公會的瓦瓦拉哥有事想委託冒險者。"
1,"TEXT_SUBSEA923_00246_SEQ_01","接受了瓦瓦拉哥的委託。釣上在拉諾西亞、黑衣森林、薩納蘭被目擊到的釣場之皇，交給利姆薩・羅敏薩捕魚人公會前的瓦瓦拉哥。"
2,"TEXT_SUBSEA923_00246_SEQ_02","將各地的釣場之皇交給了瓦瓦拉哥。伴隨著環境變化，在沒有目擊報告的地區也可能有釣場之皇出現。前往庫爾札斯和摩杜納釣上釣場之皇，交給捕魚人公會前的瓦瓦拉哥。"
3,"TEXT_SUBSEA923_00246_SEQ_03","將更多釣場之皇交給了瓦瓦拉哥。<hex:022811FF05>Item<hex:FF08>　8754<hex:0103>給羅塔諾海的海洋環境帶來了影響。為了保護羅塔諾海的生態平衡，必須將<hex:022811FF05>Item<hex:FF08>　8754<hex:0103>釣上來。前往<hex:022811FF05>Item<hex:FF08>　8754<hex:0103>被目擊到的東拉諾西亞太陽海岸，和大型船的船員談談。"
4,"TEXT_SUBSEA923_00246_SEQ_04","和大型船的船員進行了交談。前往海上的大型船，釣<hex:022811FF05>Item<hex:FF08>　8754<hex:0103>。釣上<hex:022811FF05>Item<hex:FF08>　8754<hex:0103>後可以交給海上的大型船上的技術一流的船長。船頭可以帶冒險者乘上海上的大型船。"
5,"TEXT_SUBSEA923_00246_SEQ_05","交出了<hex:022811FF05>Item<hex:FF08>　8754<hex:0103>。阿塞林為了保護羅塔諾海的生態環境，決定對<hex:022811FF05>Item<hex:FF08>　8754<hex:0103>進行研究。返回捕魚人公會和瓦瓦拉哥談談。"
6,"TEXT_SUBSEA923_00246_SEQ_06","瓦瓦拉哥祝福了成為名副其實的艾歐澤亞第一捕魚人的冒險者。不過，可以從釣魚中學到的東西還有很多。今後冒險者也將踏遍艾歐澤亞的江河湖海，繼續磨練釣魚技術。"
7,"TEXT_SUBSEA923_00246_SEQ_07",""
8,"TEXT_SUBSEA923_00246_SEQ_08",""
9,"TEXT_SUBSEA923_00246_SEQ_09",""
10,"TEXT_SUBSEA923_00246_SEQ_10",""
11,"TEXT_SUBSEA923_00246_SEQ_11",""
12,"TEXT_SUBSEA923_00246_SEQ_12",""
13,"TEXT_SUBSEA923_00246_SEQ_13",""
14,"TEXT_SUBSEA923_00246_SEQ_14",""
15,"TEXT_SUBSEA923_00246_SEQ_15",""
16,"TEXT_SUBSEA923_00246_SEQ_16",""
17,"TEXT_SUBSEA923_00246_SEQ_17",""
18,"TEXT_SUBSEA923_00246_SEQ_18",""
19,"TEXT_SUBSEA923_00246_SEQ_19",""
20,"TEXT_SUBSEA923_00246_SEQ_20",""
21,"TEXT_SUBSEA923_00246_SEQ_21",""
22,"TEXT_SUBSEA923_00246_SEQ_22",""
23,"TEXT_SUBSEA923_00246_SEQ_23",""
24,"TEXT_SUBSEA923_00246_TODO_00","將在拉諾西亞、黑衣森林、薩納蘭釣到的釣場之皇交給瓦瓦拉哥"
25,"TEXT_SUBSEA923_00246_TODO_01","將在庫爾札斯和摩杜納釣到的釣場之皇交給瓦瓦拉哥"
26,"TEXT_SUBSEA923_00246_TODO_02","和太陽海岸的大型船的船員對話"
27,"TEXT_SUBSEA923_00246_TODO_03","在海上的大型船釣上<hex:022811FF05>Item<hex:FF08>　8754<hex:0103> 交給技術一流的船長"
28,"TEXT_SUBSEA923_00246_TODO_04","和捕魚人公會前的瓦瓦拉哥對話"
29,"TEXT_SUBSEA923_00246_TODO_05",""
30,"TEXT_SUBSEA923_00246_TODO_06",""
31,"TEXT_SUBSEA923_00246_TODO_07",""
32,"TEXT_SUBSEA923_00246_TODO_08",""
33,"TEXT_SUBSEA923_00246_TODO_09",""
34,"TEXT_SUBSEA923_00246_TODO_10",""
35,"TEXT_SUBSEA923_00246_TODO_11",""
36,"TEXT_SUBSEA923_00246_TODO_12",""
37,"TEXT_SUBSEA923_00246_TODO_13",""
38,"TEXT_SUBSEA923_00246_TODO_14",""
39,"TEXT_SUBSEA923_00246_TODO_15",""
40,"TEXT_SUBSEA923_00246_TODO_16",""
41,"TEXT_SUBSEA923_00246_TODO_17",""
42,"TEXT_SUBSEA923_00246_TODO_18",""
43,"TEXT_SUBSEA923_00246_TODO_19",""
44,"TEXT_SUBSEA923_00246_TODO_20",""
45,"TEXT_SUBSEA923_00246_TODO_21",""
46,"TEXT_SUBSEA923_00246_TODO_22",""
47,"TEXT_SUBSEA923_00246_TODO_23",""
48,"TEXT_SUBSEA923_00246_WAWALAGO_100_000","冒險者！你來得正是時候！<hex:02100103>我正有事找你呢。"
49,"TEXT_SUBSEA923_00246_WAWALAGO_000_000","我作為一介捕魚人揮杆多年，<hex:02100103>但自從靈災爆發，江河湖海都發生了翻天覆地的變化。<hex:02100103>魚兒恐怕也都隨環境變化而變換了棲息地。"
50,"TEXT_SUBSEA923_00246_WAWALAGO_000_001","你之前釣上來的一部分釣場之王……<hex:02100103>還有傳說中的巨大魚類<hex:022811FF05>Item<hex:FF08>　8754<hex:0103>，<hex:02100103>也許都是因為靈災造成的環境變異才出現的。"
51,"TEXT_SUBSEA923_00246_WAWALAGO_000_002","該說正事了，<hex:02100103>最近有傳聞說，有人目擊到了未知魚類的蹤影！<hex:02100103>這搞不好會是從沒見過的大傢伙！"
52,"TEXT_SUBSEA923_00246_WAWALAGO_000_003","沒錯，正是釣場之王中的王者……<hex:02100103>名曰釣場之皇！！"
53,"TEXT_SUBSEA923_00246_WAWALAGO_000_004","身為捕魚人，你是不是也很想將它們釣上來看看？"
54,"TEXT_SUBSEA923_00246_WAWALAGO_000_006","在拉諾西亞、黑衣森林與薩納蘭，<hex:02100103>都有人目擊到了釣場之皇的蹤影。<hex:02100103>但具體的棲息地與垂釣條件都尚未判明。"
55,"TEXT_SUBSEA923_00246_WAWALAGO_000_007","冒險者，你現在已經是獨當一面的捕魚人了。<hex:02100103>活用你至今學到的知識和技術，<hex:02100103>將未知的大魚「釣場之皇」釣上來吧！"
56,"TEXT_SUBSEA923_00246_WAWALAGO_000_008","如果沒有自信的話，就先把各地的釣場之王都釣一遍吧。<hex:02100103>在那之後，你的技巧肯定就足以挑戰釣場之皇了。"
57,"TEXT_SUBSEA923_00246_WAWALAGO_000_012","我身為捕魚人的本能也在蠢蠢欲動……<hex:02100103>可惜我現在的立場與年紀都不允許我再踏上自由的釣魚之旅了。<hex:02100103>就將這份浪漫託付給技術僅次於我的冒險者你吧！"
58,"TEXT_SUBSEA923_00246_WAWALAGO_000_005","（★未使用／削除予定★）"
59,"TEXT_SUBSEA923_00246_WAWALAGO_000_009","（★未使用／削除予定★）"
60,"TEXT_SUBSEA923_00246_WAWALAGO_000_010","（★未使用／削除予定★）"
61,"TEXT_SUBSEA923_00246_WAWALAGO_000_011","（★未使用／削除予定★）"
