key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_CLSMIN021_00599_SEQ_00","冒險者得到了認可，加入了採礦工公會。裝備上風化鶴嘴鋤後，再和阿達爾博塔對話。"
1,"TEXT_CLSMIN021_00599_SEQ_01","阿達爾博塔要求冒險者使用鋤頭挖掘<hex:02280BFF05>Item<hex:F213F20103>。從娜娜莫新門或納爾之門出去，在附近挖掘10個<hex:02280BFF05>Item<hex:F213F20103>交給採礦工公會的阿達爾博塔。"
2,"TEXT_CLSMIN021_00599_SEQ_02","阿達爾博塔看到冒險者挖掘的<hex:02280BFF05>Item<hex:F213F20103>後，認可了冒險者作為一名新人通過了採礦工的第一個試煉。她要求冒險者努力積累採礦經驗，等到能嫻熟使用鋤頭後，她將會給與第二個試煉。作為一名採礦工繼續磨練技藝，刻苦鍛鍊。<hex:02100103><hex:02100103>※採礦工的等級達到5級以上時，可以從阿達爾博塔那裡領取下一個採礦工任務。"
3,"TEXT_CLSMIN021_00599_SEQ_03",""
4,"TEXT_CLSMIN021_00599_SEQ_04",""
5,"TEXT_CLSMIN021_00599_SEQ_05",""
6,"TEXT_CLSMIN021_00599_SEQ_06",""
7,"TEXT_CLSMIN021_00599_SEQ_07",""
8,"TEXT_CLSMIN021_00599_SEQ_08",""
9,"TEXT_CLSMIN021_00599_SEQ_09",""
10,"TEXT_CLSMIN021_00599_SEQ_10",""
11,"TEXT_CLSMIN021_00599_SEQ_11",""
12,"TEXT_CLSMIN021_00599_SEQ_12",""
13,"TEXT_CLSMIN021_00599_SEQ_13",""
14,"TEXT_CLSMIN021_00599_SEQ_14",""
15,"TEXT_CLSMIN021_00599_SEQ_15",""
16,"TEXT_CLSMIN021_00599_SEQ_16",""
17,"TEXT_CLSMIN021_00599_SEQ_17",""
18,"TEXT_CLSMIN021_00599_SEQ_18",""
19,"TEXT_CLSMIN021_00599_SEQ_19",""
20,"TEXT_CLSMIN021_00599_SEQ_20",""
21,"TEXT_CLSMIN021_00599_SEQ_21",""
22,"TEXT_CLSMIN021_00599_SEQ_22",""
23,"TEXT_CLSMIN021_00599_SEQ_23",""
24,"TEXT_CLSMIN021_00599_TODO_00","將<hex:02280BFF05>Item<hex:F213F20103>交給採礦工公會的阿達爾博塔"
25,"TEXT_CLSMIN021_00599_TODO_01",""
26,"TEXT_CLSMIN021_00599_TODO_02",""
27,"TEXT_CLSMIN021_00599_TODO_03",""
28,"TEXT_CLSMIN021_00599_TODO_04",""
29,"TEXT_CLSMIN021_00599_TODO_05",""
30,"TEXT_CLSMIN021_00599_TODO_06",""
31,"TEXT_CLSMIN021_00599_TODO_07",""
32,"TEXT_CLSMIN021_00599_TODO_08",""
33,"TEXT_CLSMIN021_00599_TODO_09",""
34,"TEXT_CLSMIN021_00599_TODO_10",""
35,"TEXT_CLSMIN021_00599_TODO_11",""
36,"TEXT_CLSMIN021_00599_TODO_12",""
37,"TEXT_CLSMIN021_00599_TODO_13",""
38,"TEXT_CLSMIN021_00599_TODO_14",""
39,"TEXT_CLSMIN021_00599_TODO_15",""
40,"TEXT_CLSMIN021_00599_TODO_16",""
41,"TEXT_CLSMIN021_00599_TODO_17",""
42,"TEXT_CLSMIN021_00599_TODO_18",""
43,"TEXT_CLSMIN021_00599_TODO_19",""
44,"TEXT_CLSMIN021_00599_TODO_20",""
45,"TEXT_CLSMIN021_00599_TODO_21",""
46,"TEXT_CLSMIN021_00599_TODO_22",""
47,"TEXT_CLSMIN021_00599_TODO_23",""
48,"TEXT_CLSMIN021_00599_ADALBERTA_000_0","嗯，比我想像得更像那麼一回事嘛。<hex:02100103>哈哈，不錯不錯，很適合你哦<hex:022903EB0203>。"
49,"TEXT_CLSMIN021_00599_ADALBERTA_000_1","那麼，快來學習一名採礦工必須掌握的知識吧。"
50,"TEXT_CLSMIN021_00599_ADALBERTA_000_2","公會方面也希望你能盡快成長起來，<hex:02100103>請你通過實地的工作來學習吧。"
51,"TEXT_CLSMIN021_00599_ADALBERTA_000_5","那就開始採礦吧！<hex:02100103>說到這附近適合新手挖掘的礦石……<hex:02100103>就去挖掘10個<hex:02280BFF05>Item<hex:F213F20103>吧。"
52,"TEXT_CLSMIN021_00599_ADALBERTA_000_6","在薩納蘭，<hex:022811FF05>Item<hex:FF08>　5106<hex:0103>並不罕見，應該沒什麼難度。<hex:02100103>你可以從娜娜莫新門或納爾之門出去看看。"
53,"TEXT_CLSMIN021_00599_ADALBERTA_000_7","按我教你的方法尋找「礦脈」，<hex:02100103>認準後就揮下你的鋤頭！<hex:02100103>採礦就是不斷重覆這些步驟。"
54,"TEXT_CLSMIN021_00599_ADALBERTA_000_8","剛開始時難免有些生疏。<hex:02100103>不過多試幾次就可以上手了，到時不要忘記那種感覺，<hex:02100103>要不斷重覆地練習，以此掌握訣竅。"
55,"TEXT_CLSMIN021_00599_SYSTEM_000_10","採礦工可以通過挖掘礦脈來獲得道具。"
56,"TEXT_CLSMIN021_00599_SYSTEM_000_11","可供採礦工挖掘的地方被稱為「礦脈」。<hex:02100103>使用「礦脈勘探」這項技能後，就能夠找到「礦脈」。"
57,"TEXT_CLSMIN021_00599_SYSTEM_000_12","出城後使用礦脈勘探去尋找礦脈吧。"
58,"TEXT_CLSMIN021_00599_ADALBERTA_000_20","要挖掘10個<hex:02280BFF05>Item<hex:F213F20103>哦。<hex:02100103>從娜娜莫新門或納爾之門出去不遠處就可以找到礦脈。<hex:02100103>加油吧。"
59,"TEXT_CLSMIN021_00599_ADALBERTA_000_21","嗯，這確實是<hex:02280BFF05>Item<hex:F213F20103>。<hex:02100103>挺能幹的嘛……應該好好誇誇你。"
60,"TEXT_CLSMIN021_00599_ADALBERTA_000_22","感覺如何？很辛苦吧？<hex:02100103>不過，這就是採礦工的工作哦。"
61,"TEXT_CLSMIN021_00599_ADALBERTA_000_23","依靠知識和經驗，有時還需要直覺，<hex:02100103>找出大地中的礦脈，揮下鋤頭。<hex:02100103>這樣你才能找到你想要的礦物。"
62,"TEXT_CLSMIN021_00599_ADALBERTA_000_24","雖然只是重覆枯燥的作業，但感受到的不只是辛苦。<hex:02100103>在挖掘到<hex:02280BFF05>Item<hex:F213F20103>的時候，你也喜不勝收吧？"
63,"TEXT_CLSMIN021_00599_ADALBERTA_000_25","得到夢寐以求的東西時的成就感，<hex:02100103>還有發現未知事物時的驚喜感。<hex:02100103>這些感覺正是採礦工的快樂源。"
64,"TEXT_CLSMIN021_00599_ADALBERTA_000_26","體會到採礦工的辛苦和樂趣後，<hex:02100103>你這次的工作也算結束了。"
65,"TEXT_CLSMIN021_00599_ADALBERTA_000_27","接下來，你要繼續積累經驗，<hex:02100103>等到能嫻熟使用鋤頭的時候再來找我吧。<hex:02100103>屆時，我會為你布置下一個任務。"
