key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_CLSWDK010_00539_SEQ_00","刻木匠公會的貝亞坦心慌意亂。"
1,"TEXT_CLSWDK010_00539_SEQ_01","接受了貝亞坦的委託。和格里達尼亞橡子樂園的尼科利奧談談。"
2,"TEXT_CLSWDK010_00539_SEQ_02","和尼科利奧進行了交談。製作1個<hex:022813FF07>ItemHQ<hex:FF08>　5376<hex:0103>，讓格里達尼亞刻木匠公會的貝亞坦查看。"
3,"TEXT_CLSWDK010_00539_SEQ_03","讓貝亞坦查看了<hex:022813FF07>ItemHQ<hex:FF08>　5376<hex:0103>。製作1把<hex:022813FF07>ItemHQ<hex:FF08>　1942<hex:0103>，並鑲嵌上<hex:022811FF05>Item<hex:FF08>　5671<hex:0103>，將其交給北部林區的蓋伊爾哈德。"
4,"TEXT_CLSWDK010_00539_SEQ_04","將<hex:022813FF07>ItemHQ<hex:FF08>　1942<hex:0103>交給了蓋伊爾哈德。向刻木匠公會的貝亞坦報告。"
5,"TEXT_CLSWDK010_00539_SEQ_05","向貝亞坦報告完畢。得知了蓋伊爾哈德的勝利，貝亞坦十分高興。貝亞坦說多虧了冒險者，自己才也能有所成長。並告誡冒險者，作為一個刻木匠也是要與時俱進的。銘記貝亞坦的話，今後也繼續磨練自己的本領。<hex:02100103><hex:02100103>※滿足下列條件後，可以從刻木匠公會的貝亞坦那裡領取新的職業任務。<hex:02100103>完成「第七星曆主線任務」中「希望的燈火」。"
6,"TEXT_CLSWDK010_00539_SEQ_06",""
7,"TEXT_CLSWDK010_00539_SEQ_07",""
8,"TEXT_CLSWDK010_00539_SEQ_08",""
9,"TEXT_CLSWDK010_00539_SEQ_09",""
10,"TEXT_CLSWDK010_00539_SEQ_10",""
11,"TEXT_CLSWDK010_00539_SEQ_11",""
12,"TEXT_CLSWDK010_00539_SEQ_12",""
13,"TEXT_CLSWDK010_00539_SEQ_13",""
14,"TEXT_CLSWDK010_00539_SEQ_14",""
15,"TEXT_CLSWDK010_00539_SEQ_15",""
16,"TEXT_CLSWDK010_00539_SEQ_16",""
17,"TEXT_CLSWDK010_00539_SEQ_17",""
18,"TEXT_CLSWDK010_00539_SEQ_18",""
19,"TEXT_CLSWDK010_00539_SEQ_19",""
20,"TEXT_CLSWDK010_00539_SEQ_20",""
21,"TEXT_CLSWDK010_00539_SEQ_21",""
22,"TEXT_CLSWDK010_00539_SEQ_22",""
23,"TEXT_CLSWDK010_00539_SEQ_23",""
24,"TEXT_CLSWDK010_00539_TODO_00","和尼科利奧對話"
25,"TEXT_CLSWDK010_00539_TODO_01","讓貝亞坦查看<hex:02280CFF07>ItemHQ<hex:F1150103>"
26,"TEXT_CLSWDK010_00539_TODO_02","將鑲嵌了<hex:022811FF05>Item<hex:FF08>　5671<hex:0103>的<hex:022813FF07>ItemHQ<hex:FF08>　1942<hex:0103>交給北部林區的蓋伊爾哈德"
27,"TEXT_CLSWDK010_00539_TODO_03","向刻木匠公會的貝亞坦報告"
28,"TEXT_CLSWDK010_00539_TODO_04",""
29,"TEXT_CLSWDK010_00539_TODO_05",""
30,"TEXT_CLSWDK010_00539_TODO_06",""
31,"TEXT_CLSWDK010_00539_TODO_07",""
32,"TEXT_CLSWDK010_00539_TODO_08",""
33,"TEXT_CLSWDK010_00539_TODO_09",""
34,"TEXT_CLSWDK010_00539_TODO_10",""
35,"TEXT_CLSWDK010_00539_TODO_11",""
36,"TEXT_CLSWDK010_00539_TODO_12",""
37,"TEXT_CLSWDK010_00539_TODO_13",""
38,"TEXT_CLSWDK010_00539_TODO_14",""
39,"TEXT_CLSWDK010_00539_TODO_15",""
40,"TEXT_CLSWDK010_00539_TODO_16",""
41,"TEXT_CLSWDK010_00539_TODO_17",""
42,"TEXT_CLSWDK010_00539_TODO_18",""
43,"TEXT_CLSWDK010_00539_TODO_19",""
44,"TEXT_CLSWDK010_00539_TODO_20",""
45,"TEXT_CLSWDK010_00539_TODO_21",""
46,"TEXT_CLSWDK010_00539_TODO_22",""
47,"TEXT_CLSWDK010_00539_TODO_23",""
48,"TEXT_CLSWDK010_00539_BEATINE_000_001","<hex:022903EB0203>！<hex:02100103>出、出大事了！怎、怎麼辦啊……"
49,"TEXT_CLSWDK010_00539_BEATINE_000_002","蛇……蛇巢司令部回收了一批在戰場上損壞的武器，<hex:02100103>送到我們這裡來。<hex:02100103>那……那裡面……"
50,"TEXT_CLSWDK010_00539_BEATINE_000_003","蓋伊爾哈德的弓在那裡面！"
51,"TEXT_CLSWDK010_00539_BEATINE_000_004","那是我做的……絕對不會看錯的！<hex:02100103>他在戰場上放開了那把武器……那也就是說……<hex:02100103>啊啊……"
52,"TEXT_CLSWDK010_00539_BEATINE_000_005","蓋伊爾哈德他……"
53,"TEXT_CLSWDK010_00539_BEATINE_000_006","嗚……抱歉……讓我一個人待著吧。<hex:02100103>請你去陪橡子樂園的尼科利奧玩會兒吧。"
54,"TEXT_CLSWDK010_00539_NICOLIAUX_000_010","師傅又在消沉了。<hex:02100103>但是這次我們好像做不了什麼了。<hex:02100103>只能靠他自己重新站起來。"
55,"TEXT_CLSWDK010_00539_NICOLIAUX_000_011","不過，在這件事上我想你還是能幫師傅一把的。<hex:02100103>為了讓師傅能稍微朝好處想想，<hex:02100103>你做一份很棒的<hex:02280CFF07>ItemHQ<hex:F1150103>交給他吧！"
56,"TEXT_CLSWDK010_00539_BEATINE_000_020","抱歉……讓我一個人待著吧……"
57,"TEXT_CLSWDK010_00539_BEATINE_000_021","這個是……<hex:02280CFF07>ItemHQ<hex:F1150103>？"
58,"TEXT_CLSWDK010_00539_BEATINE_000_022","嗯……做得真好……<hex:02100103>在我沒注意到時，你又有所成長了……"
59,"TEXT_CLSWDK010_00539_BEATINE_000_023","成長……"
60,"TEXT_CLSWDK010_00539_BEATINE_000_024","樹木也好，人也好，都是會成長的……<hex:02100103>是啊……他也不是過去的他了啊……"
61,"TEXT_CLSWDK010_00539_BEATINE_000_025","蓋伊爾哈德應該沒那麼容易被幹掉的！"
62,"TEXT_CLSWDK010_00539_BEATINE_000_026","他或許還活得好好的！<hex:02100103>那麼他肯定需要新的弓！<hex:02100103>嗯，絕對不會錯！"
63,"TEXT_CLSWDK010_00539_BEATINE_000_027","<hex:022903EB0203>……<hex:02100103>是你讓我領會到了「成長」，<hex:02100103>請你聽聽我的請求……"
64,"TEXT_CLSWDK010_00539_BEATINE_000_028","請你製作1把<hex:022813FF07>ItemHQ<hex:FF08>　1942<hex:0103>，<hex:02100103>並鑲嵌上<hex:022811FF05>Item<hex:FF08>　5671<hex:0103>……"
65,"TEXT_CLSWDK010_00539_BEATINE_000_029","然後請將這把弓送給前線的蓋伊爾哈德。<hex:02100103>作為公會會長，我也是有所成長的……<hex:02100103>請用你的身姿和這把弓向他展現出這點吧。"
