key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_MANFST206_00509_SEQ_00","流沙屋的莫莫蒂，要告訴冒險者有關拂曉血盟的事情。"
1,"TEXT_MANFST206_00509_SEQ_01","為了解決艾歐澤亞所面臨的問題，拂曉血盟需要夥伴。而<hex:022903EB0203>則被他們看中……前往拂曉血盟的據點，位於西薩納蘭的黃昏灣。和沙之家的接待員對話。"
2,"TEXT_MANFST206_00509_SEQ_02","遇到了沙之家的接待員塔塔露。拂曉血盟的盟主正在沙之家裡面的拂曉之間等著<hex:022903EB0203>。和拂曉之間前面的拂曉血盟成員對話。"
3,"TEXT_MANFST206_00509_SEQ_03","從盟主敏菲利亞那裡了解到了有關拂曉血盟的事情。敏菲利亞說，為了與蠻神戰鬥，拯救艾歐澤亞，必須要藉助冒險者的力量。加入拂曉血盟，對於冒險者來說也是有利的。下定決心後，試著使用被告知的暗號「野玫瑰」。"
4,"TEXT_MANFST206_00509_SEQ_04",""
5,"TEXT_MANFST206_00509_SEQ_05",""
6,"TEXT_MANFST206_00509_SEQ_06",""
7,"TEXT_MANFST206_00509_SEQ_07",""
8,"TEXT_MANFST206_00509_SEQ_08",""
9,"TEXT_MANFST206_00509_SEQ_09",""
10,"TEXT_MANFST206_00509_SEQ_10",""
11,"TEXT_MANFST206_00509_SEQ_11",""
12,"TEXT_MANFST206_00509_SEQ_12",""
13,"TEXT_MANFST206_00509_SEQ_13",""
14,"TEXT_MANFST206_00509_SEQ_14",""
15,"TEXT_MANFST206_00509_SEQ_15",""
16,"TEXT_MANFST206_00509_SEQ_16",""
17,"TEXT_MANFST206_00509_SEQ_17",""
18,"TEXT_MANFST206_00509_SEQ_18",""
19,"TEXT_MANFST206_00509_SEQ_19",""
20,"TEXT_MANFST206_00509_SEQ_20",""
21,"TEXT_MANFST206_00509_SEQ_21",""
22,"TEXT_MANFST206_00509_SEQ_22",""
23,"TEXT_MANFST206_00509_SEQ_23",""
24,"TEXT_MANFST206_00509_TODO_00","和黃昏灣沙之家的接待員對話"
25,"TEXT_MANFST206_00509_TODO_01","和拂曉血盟成員對話"
26,"TEXT_MANFST206_00509_TODO_02",""
27,"TEXT_MANFST206_00509_TODO_03",""
28,"TEXT_MANFST206_00509_TODO_04",""
29,"TEXT_MANFST206_00509_TODO_05",""
30,"TEXT_MANFST206_00509_TODO_06",""
31,"TEXT_MANFST206_00509_TODO_07",""
32,"TEXT_MANFST206_00509_TODO_08",""
33,"TEXT_MANFST206_00509_TODO_09",""
34,"TEXT_MANFST206_00509_TODO_10",""
35,"TEXT_MANFST206_00509_TODO_11",""
36,"TEXT_MANFST206_00509_TODO_12",""
37,"TEXT_MANFST206_00509_TODO_13",""
38,"TEXT_MANFST206_00509_TODO_14",""
39,"TEXT_MANFST206_00509_TODO_15",""
40,"TEXT_MANFST206_00509_TODO_16",""
41,"TEXT_MANFST206_00509_TODO_17",""
42,"TEXT_MANFST206_00509_TODO_18",""
43,"TEXT_MANFST206_00509_TODO_19",""
44,"TEXT_MANFST206_00509_TODO_20",""
45,"TEXT_MANFST206_00509_TODO_21",""
46,"TEXT_MANFST206_00509_TODO_22",""
47,"TEXT_MANFST206_00509_TODO_23",""
48,"TEXT_MANFST206_00509_MOMODI_000_1","你很在意拂曉血盟的事情吧。<hex:02100103>冒險者就是要這樣！"
49,"TEXT_MANFST206_00509_MOMODI_000_2","拂曉血盟致力於解決艾歐澤亞現存的重大問題。<hex:02100103>為此，他們需要一些有資質的同伴。"
50,"TEXT_MANFST206_00509_MOMODI_000_3","我受他們委託，<hex:02100103>引導像你這樣的人到他們的據點「沙之家」。"
51,"TEXT_MANFST206_00509_MOMODI_000_4","沙之家位於西薩納蘭的黃昏灣。<hex:02100103>你向接待員報上你的名字就可以了。"
52,"TEXT_MANFST206_00509_MOMODI_000_5","有實力的冒險者會相應接到很多工作。<hex:02100103>今後你可能會越來越忙，<hex:02100103>不過要偶爾過來露個面啊！"
53,"TEXT_MANFST206_00509_TATARU_000_20","哼哼～哼哼～哼。<hex:02100103>沙之小屋～開滿了～鮮花。"
54,"TEXT_MANFST206_00509_TATARU_000_21","哼哼～哼哼～哼哼哼～哼哼哼。<hex:02100103>美麗的鮮花～是戀愛的～開始。<hex:02100103>我的心情～也隨之綻放。"
55,"TEXT_MANFST206_00509_TATARU_000_22","噠啦！噔啦！噠噠！<hex:02100103>咚呲！嗒呲！咚咚！"
56,"TEXT_MANFST206_00509_TATARU_000_23","嗚哇哇！"
57,"TEXT_MANFST206_00509_TATARU_000_24","咳、咳嗯……"
58,"TEXT_MANFST206_00509_TATARU_000_25","你來沙之家有什麼事嗎？"
59,"TEXT_MANFST206_00509_TATARU_000_26","十分抱歉，不相關人員是禁止入內的。<hex:02100103>還請你離開。"
60,"TEXT_MANFST206_00509_TATARU_000_27","你說什麼？<hex:02100103>是伊達和帕帕力莫介紹你來的？！"
61,"TEXT_MANFST206_00509_TATARU_000_28","你說什麼？<hex:02100103>是桑克瑞德介紹你來的？！"
62,"TEXT_MANFST206_00509_TATARU_000_29","你說什麼？<hex:02100103>是雅·修特拉介紹你來的？！"
63,"TEXT_MANFST206_00509_TATARU_000_30","恕我剛剛失禮了……<hex:02100103>那麼，能告訴我你的名字嗎？"
64,"TEXT_MANFST206_00509_TATARU_000_31","我了解了。"
65,"TEXT_MANFST206_00509_TATARU_000_32","咦？<hex:02100103><hex:022903EB0203>？"
66,"TEXT_MANFST206_00509_TATARU_000_33","我們之前在哪裡見過嗎？"
67,"TEXT_MANFST206_00509_TATARU_000_34","是在烏爾達哈商店街向我搭訕的那個人？<hex:02100103>還是纏著敏菲利亞最後被扇了一巴掌的那個人？"
68,"TEXT_MANFST206_00509_TATARU_000_35","嗯，都不是麼……<hex:02100103>……啊！"
69,"TEXT_MANFST206_00509_TATARU_000_36","這裡的確有你的名字。"
70,"TEXT_MANFST206_00509_TATARU_000_37","咳、咳嗯……那麼重新歡迎你……<hex:02100103>來到拂曉血盟的本部——沙之家！"
71,"TEXT_MANFST206_00509_TATARU_000_38","我是接待員塔塔露。"
72,"TEXT_MANFST206_00509_TATARU_000_39","盟主在裡面的拂曉之間等著你。<hex:02100103>請進去吧。"
73,"TEXT_MANFST206_00509_TATARU_000_41","盟主在裡面的拂曉之間等著你。<hex:02100103>你可以從樓梯下的那扇門進去。"
74,"TEXT_MANFST206_00509_GUIDE_000_45","你有事要進拂曉之間？<hex:02100103>啊，你就是傳聞中的<hex:022903EB0203>嗎？"
75,"TEXT_MANFST206_00509_GUIDE_000_46","我們的盟主等你好久了。<hex:02100103>如果你準備好了，我立刻就去通報。"
76,"TEXT_MANFST206_00509_100010_MINFILIA","(-？？？？-)你就是傳聞中的冒險者吧。"
77,"TEXT_MANFST206_00509_100020_MINFILIA","我是敏菲利亞。<hex:02100103>是「拂曉血盟」的盟主。"
