key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_JOBWHM450_01082_SEQ_00","恬靜路營地的拉雅·奧·神納，有事情想要告訴冒險者。"
1,"TEXT_JOBWHM450_01082_SEQ_01","接受了拉雅·奧·神納的委託。前往西拉諾西亞的海蛇巢穴附近，對<hex:02280CFF05>EObj<hex:F61E8DDC0103>使用情感動作「祈禱」，並獲取鎮撫裝束。前往摩杜納的糾纏沼澤林附近，對<hex:02280CFF05>EObj<hex:F61E8DDD0103>使用情感動作「祈禱」，並獲取鎮撫裝束。前往北薩納蘭的勞班緩衝地附近，對<hex:02280CFF05>EObj<hex:F61E8DDE0103>使用情感動作「祈禱」，並獲取鎮撫裝束。"
2,"TEXT_JOBWHM450_01082_SEQ_02","對<hex:02280CFF05>EObj<hex:F61E8DDC0103>使用了情感動作「祈禱」，並獲得了鎮撫裝束。對<hex:02280CFF05>EObj<hex:F61E8DDD0103>使用了情感動作「祈禱」，並獲得了鎮撫裝束。對<hex:02280CFF05>EObj<hex:F61E8DDE0103>使用了情感動作「祈禱」，並獲得了鎮撫裝束。前往南部林區的恬靜路營地，和拉雅·奧·神納對話。"
3,"TEXT_JOBWHM450_01082_SEQ_03","和拉雅·奧·神納進行了交談。前往北部林區的榮耀溪附近，調查<hex:02280CFF05>EObj<hex:F61E8DDF0103>。"
4,"TEXT_JOBWHM450_01082_SEQ_04","調查了<hex:02280CFF05>EObj<hex:F61E8DDF0103>。前往南部林區的恬靜路營地，將<hex:022811FF0A>EventItem<hex:F61E882F0103>交給拉雅·奧·神納。"
5,"TEXT_JOBWHM450_01082_SEQ_05","將<hex:022811FF0A>EventItem<hex:F61E882F0103>交給了拉雅·奧·神納。前往拉諾西亞外地的地靈軍試掘地附近，對<hex:02280CFF05>EObj<hex:F61E8DE00103>使用情感動作「祈禱」，並獲取鎮撫裝束。"
6,"TEXT_JOBWHM450_01082_SEQ_06","對<hex:02280CFF05>EObj<hex:F61E8DE00103>使用了情感動作「祈禱」，並獲得了鎮撫裝束。前往南部林區的恬靜路營地，向拉雅·奧·神納報告。"
7,"TEXT_JOBWHM450_01082_SEQ_07","向拉雅·奧·神納報告完畢。盜墓者的行為令拉雅·奧·神納感到十分憤怒。她發誓一定要揪出盜墓者，並奪回阿·拓瓦·坎特的聖櫃。作為阿·拓瓦·坎特的繼承人，繼續努力修行，並協助拉雅·奧·神納搜查犯人。"
8,"TEXT_JOBWHM450_01082_SEQ_08",""
9,"TEXT_JOBWHM450_01082_SEQ_09",""
10,"TEXT_JOBWHM450_01082_SEQ_10",""
11,"TEXT_JOBWHM450_01082_SEQ_11",""
12,"TEXT_JOBWHM450_01082_SEQ_12",""
13,"TEXT_JOBWHM450_01082_SEQ_13",""
14,"TEXT_JOBWHM450_01082_SEQ_14",""
15,"TEXT_JOBWHM450_01082_SEQ_15",""
16,"TEXT_JOBWHM450_01082_SEQ_16",""
17,"TEXT_JOBWHM450_01082_SEQ_17",""
18,"TEXT_JOBWHM450_01082_SEQ_18",""
19,"TEXT_JOBWHM450_01082_SEQ_19",""
20,"TEXT_JOBWHM450_01082_SEQ_20",""
21,"TEXT_JOBWHM450_01082_SEQ_21",""
22,"TEXT_JOBWHM450_01082_SEQ_22",""
23,"TEXT_JOBWHM450_01082_SEQ_23",""
24,"TEXT_JOBWHM450_01082_TODO_00","對海蛇巢穴的<hex:02280CFF05>EObj<hex:F61E8DDC0103>使用情感動作「祈禱」 並獲取鎮撫裝束"
25,"TEXT_JOBWHM450_01082_TODO_01","對糾纏沼澤林的<hex:02280CFF05>EObj<hex:F61E8DDD0103>使用情感動作「祈禱」 並獲取鎮撫裝束"
26,"TEXT_JOBWHM450_01082_TODO_02","對勞班緩衝地的<hex:02280CFF05>EObj<hex:F61E8DDE0103>使用情感動作「祈禱」 並獲取鎮撫裝束"
27,"TEXT_JOBWHM450_01082_TODO_03","和恬靜路營地的拉雅·奧·神納對話"
28,"TEXT_JOBWHM450_01082_TODO_04","調查榮耀溪的<hex:02280CFF05>EObj<hex:F61E8DDF0103>"
29,"TEXT_JOBWHM450_01082_TODO_05","將<hex:022811FF0A>EventItem<hex:F61E882F0103>交給恬靜路營地的拉雅·奧·神納"
30,"TEXT_JOBWHM450_01082_TODO_06","對地靈軍試掘地的<hex:02280CFF05>EObj<hex:F61E8DE00103>使用情感動作「祈禱」 並獲取鎮撫裝束"
31,"TEXT_JOBWHM450_01082_TODO_07","向恬靜路營地的拉雅·奧·神納報告"
32,"TEXT_JOBWHM450_01082_TODO_08",""
33,"TEXT_JOBWHM450_01082_TODO_09",""
34,"TEXT_JOBWHM450_01082_TODO_10",""
35,"TEXT_JOBWHM450_01082_TODO_11",""
36,"TEXT_JOBWHM450_01082_TODO_12",""
37,"TEXT_JOBWHM450_01082_TODO_13",""
38,"TEXT_JOBWHM450_01082_TODO_14",""
39,"TEXT_JOBWHM450_01082_TODO_15",""
40,"TEXT_JOBWHM450_01082_TODO_16",""
41,"TEXT_JOBWHM450_01082_TODO_17",""
42,"TEXT_JOBWHM450_01082_TODO_18",""
43,"TEXT_JOBWHM450_01082_TODO_19",""
44,"TEXT_JOBWHM450_01082_TODO_20",""
45,"TEXT_JOBWHM450_01082_TODO_21",""
46,"TEXT_JOBWHM450_01082_TODO_22",""
47,"TEXT_JOBWHM450_01082_TODO_23",""
48,"TEXT_JOBWHM450_01082_RAYAOSENNA_000_000","<hex:022903EB0203>，是時候開始鎮撫儀式的事前準備了。"
49,"TEXT_JOBWHM450_01082_RAYAOSENNA_000_001","在和長老樹的大元靈進行共鳴時，為了能承受住其強大的力量，<hex:02100103>需要裝備特別的裝束，所以我希望你先去準備下。"
50,"TEXT_JOBWHM450_01082_RAYAOSENNA_000_002","這是我為你準備的裝束。<hex:02100103>但這副裝束現在沒有任何力量。"
51,"TEXT_JOBWHM450_01082_RAYAOSENNA_000_003","我希望你將力量注入裝束中，<hex:02100103>讓其成為「鎮撫裝束」。<hex:02100103>為此你要巡遊艾歐澤亞各地。"
52,"TEXT_JOBWHM450_01082_RAYAOSENNA_000_004","阿·拓瓦大人是個很特別的角尊，<hex:02100103>他離開森林，長期在外進行治癒之旅。<hex:02100103>在他去世後，骨灰分別被安葬在各因緣地中。"
53,"TEXT_JOBWHM450_01082_RAYAOSENNA_000_005","<hex:022903EB0203>，你作為繼承人，<hex:02100103>去巡遊阿·拓瓦大人位於各地的墓碑，<hex:02100103>獻上祈禱，獲取力量吧！"
54,"TEXT_JOBWHM450_01082_RAYAOSENNA_000_006","首先，<hex:02280CFF05>EObj<hex:F61E8DDC0103>在西拉諾西亞的海岸。<hex:02100103>但現在那裡已經成為海盜「海蛇之舌」的基地，人稱海蛇巢穴。"
