key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_BANAMA101_01222_SEQ_00","灰陣營的菲布布·夏有事想要拜託冒險者。"
1,"TEXT_BANAMA101_01222_SEQ_01","接受了菲布布·夏的委託。討伐贊拉克的<hex:02280EFF09>BNpcName<hex:F0F30103>，獲取1個<hex:022811FF0A>EventItem<hex:F61E88DA0103>，並討伐<hex:02280FFF09>BNpcName<hex:F203900103>，獲取2個<hex:022811FF0A>EventItem<hex:F61E88D90103>。"
2,"TEXT_BANAMA101_01222_SEQ_02","討伐了魔物，獲得了<hex:022811FF0A>EventItem<hex:F61E88DA0103>和<hex:022811FF0A>EventItem<hex:F61E88D90103>。將<hex:022811FF0A>EventItem<hex:F61E88DA0103>和<hex:022811FF0A>EventItem<hex:F61E88D90103>交給灰陣營的菲布布·夏。"
3,"TEXT_BANAMA101_01222_SEQ_03","將<hex:022811FF0A>EventItem<hex:F61E88DA0103>和<hex:022811FF0A>EventItem<hex:F61E88D90103>交給了菲布布·夏。菲布布·夏對冒險者的表現感到很滿意。他說臨戰之際占卜凶吉是蜥蜴人族的傳統。下次決定戰策時再協助他。"
4,"TEXT_BANAMA101_01222_SEQ_04",""
5,"TEXT_BANAMA101_01222_SEQ_05",""
6,"TEXT_BANAMA101_01222_SEQ_06",""
7,"TEXT_BANAMA101_01222_SEQ_07",""
8,"TEXT_BANAMA101_01222_SEQ_08",""
9,"TEXT_BANAMA101_01222_SEQ_09",""
10,"TEXT_BANAMA101_01222_SEQ_10",""
11,"TEXT_BANAMA101_01222_SEQ_11",""
12,"TEXT_BANAMA101_01222_SEQ_12",""
13,"TEXT_BANAMA101_01222_SEQ_13",""
14,"TEXT_BANAMA101_01222_SEQ_14",""
15,"TEXT_BANAMA101_01222_SEQ_15",""
16,"TEXT_BANAMA101_01222_SEQ_16",""
17,"TEXT_BANAMA101_01222_SEQ_17",""
18,"TEXT_BANAMA101_01222_SEQ_18",""
19,"TEXT_BANAMA101_01222_SEQ_19",""
20,"TEXT_BANAMA101_01222_SEQ_20",""
21,"TEXT_BANAMA101_01222_SEQ_21",""
22,"TEXT_BANAMA101_01222_SEQ_22",""
23,"TEXT_BANAMA101_01222_SEQ_23",""
24,"TEXT_BANAMA101_01222_TODO_00","從<hex:02280EFF09>BNpcName<hex:F0F30103>身上得到<hex:022811FF0A>EventItem<hex:F61E88DA0103>"
25,"TEXT_BANAMA101_01222_TODO_01","從<hex:02280FFF09>BNpcName<hex:F203900103>身上得到<hex:022811FF0A>EventItem<hex:F61E88D90103>"
26,"TEXT_BANAMA101_01222_TODO_02","將占卜所需的物品交給菲布布·夏"
27,"TEXT_BANAMA101_01222_TODO_03",""
28,"TEXT_BANAMA101_01222_TODO_04",""
29,"TEXT_BANAMA101_01222_TODO_05",""
30,"TEXT_BANAMA101_01222_TODO_06",""
31,"TEXT_BANAMA101_01222_TODO_07",""
32,"TEXT_BANAMA101_01222_TODO_08",""
33,"TEXT_BANAMA101_01222_TODO_09",""
34,"TEXT_BANAMA101_01222_TODO_10",""
35,"TEXT_BANAMA101_01222_TODO_11",""
36,"TEXT_BANAMA101_01222_TODO_12",""
37,"TEXT_BANAMA101_01222_TODO_13",""
38,"TEXT_BANAMA101_01222_TODO_14",""
39,"TEXT_BANAMA101_01222_TODO_15",""
40,"TEXT_BANAMA101_01222_TODO_16",""
41,"TEXT_BANAMA101_01222_TODO_17",""
42,"TEXT_BANAMA101_01222_TODO_18",""
43,"TEXT_BANAMA101_01222_TODO_19",""
44,"TEXT_BANAMA101_01222_TODO_20",""
45,"TEXT_BANAMA101_01222_TODO_21",""
46,"TEXT_BANAMA101_01222_TODO_22",""
47,"TEXT_BANAMA101_01222_TODO_23",""
48,"TEXT_BANAMA101_01222_FIBUBBGAH_000_001","依附神明的軟弱之輩們依然執迷不悟。<hex:02100103>蠢蠢欲動，妄圖召喚火神。"
49,"TEXT_BANAMA101_01222_FIBUBBGAH_000_002","所幸我足智多謀……<hex:02100103>故我打算占卜各條戰策的運勢與凶吉，<hex:02100103>以擬定最佳戰策，而後趕赴戰場。"
50,"TEXT_BANAMA101_01222_FIBUBBGAH_000_003","不過，要進行占卜，<hex:02100103><hex:022811FF0A>EventItem<hex:F61E88DA0103>和燃燒所需的<hex:022811FF0A>EventItem<hex:F61E88D90103>不可或缺。<hex:02100103>……我需要這些東西。"
51,"TEXT_BANAMA101_01222_FIBUBBGAH_000_004","強者，請你收集<hex:02280EFF09>BNpcName<hex:F0F30103>的殼和<hex:02280FFF09>BNpcName<hex:F203900103>的核。<hex:02100103>正好亦可作為修行，磨練你的本領，以防技藝生疏。"
52,"TEXT_BANAMA101_01222_FIBUBBGAH_000_011","強者，請你收集<hex:02280EFF09>BNpcName<hex:F0F30103>的殼和<hex:02280FFF09>BNpcName<hex:F203900103>的核。<hex:02100103>正好亦可作為修行，磨練你的本領，以防技藝生疏。"
53,"TEXT_BANAMA101_01222_FIBUBBGAH_000_021","……占卜所需的物品收集完了嗎？"
54,"TEXT_BANAMA101_01222_FIBUBBGAH_000_022","嗯，這些正是<hex:022811FF0A>EventItem<hex:F61E88DA0103>和<hex:022811FF0A>EventItem<hex:F61E88D90103>，我收下了。<hex:02100103>吉人天相，這樣一來占卜就準備萬全了。"
55,"TEXT_BANAMA101_01222_FIBUBBGAH_000_023","強者啊……征戰之際遵循古法占卜凶吉，<hex:02100103>是蜥蜴人族的傳統做法，也是古人流傳下來的智慧。<hex:02100103>下次擬定戰策之時，請再助我一臂之力。"
