key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_BANSYL101_01257_SEQ_00","妖精暫留地的特那克希亞有事情想要委託給冒險者。"
1,"TEXT_BANSYL101_01257_SEQ_01","接受了特那克希亞的委託。將<hex:022811FF0A>EventItem<hex:F61E88DD0103>放置到霍桑山寨的<hex:02280CFF05>EObj<hex:F61E90D30103>。"
2,"TEXT_BANSYL101_01257_SEQ_02","將<hex:022811FF0A>EventItem<hex:F61E88DD0103>放置到了霍桑山寨的<hex:02280CFF05>EObj<hex:F61E90D30103>。和霍桑山寨的羅爾佛·霍桑對話。"
3,"TEXT_BANSYL101_01257_SEQ_03","和羅爾佛·霍桑進行了交談。向妖精暫留地的特那克希亞報告。"
4,"TEXT_BANSYL101_01257_SEQ_04","向特那克希亞報告完畢。羅爾佛好像不是很喜歡特那克希亞準備的蔬菜，但還是感謝了其心意。下次有機會再協助特那克希亞。"
5,"TEXT_BANSYL101_01257_SEQ_05",""
6,"TEXT_BANSYL101_01257_SEQ_06",""
7,"TEXT_BANSYL101_01257_SEQ_07",""
8,"TEXT_BANSYL101_01257_SEQ_08",""
9,"TEXT_BANSYL101_01257_SEQ_09",""
10,"TEXT_BANSYL101_01257_SEQ_10",""
11,"TEXT_BANSYL101_01257_SEQ_11",""
12,"TEXT_BANSYL101_01257_SEQ_12",""
13,"TEXT_BANSYL101_01257_SEQ_13",""
14,"TEXT_BANSYL101_01257_SEQ_14",""
15,"TEXT_BANSYL101_01257_SEQ_15",""
16,"TEXT_BANSYL101_01257_SEQ_16",""
17,"TEXT_BANSYL101_01257_SEQ_17",""
18,"TEXT_BANSYL101_01257_SEQ_18",""
19,"TEXT_BANSYL101_01257_SEQ_19",""
20,"TEXT_BANSYL101_01257_SEQ_20",""
21,"TEXT_BANSYL101_01257_SEQ_21",""
22,"TEXT_BANSYL101_01257_SEQ_22",""
23,"TEXT_BANSYL101_01257_SEQ_23",""
24,"TEXT_BANSYL101_01257_TODO_00","將<hex:022811FF0A>EventItem<hex:F61E88DD0103>放置到霍桑山寨的<hex:02280CFF05>EObj<hex:F61E90D30103>"
25,"TEXT_BANSYL101_01257_TODO_01","和羅爾佛·霍桑對話"
26,"TEXT_BANSYL101_01257_TODO_02","向特那克希亞報告"
27,"TEXT_BANSYL101_01257_TODO_03",""
28,"TEXT_BANSYL101_01257_TODO_04",""
29,"TEXT_BANSYL101_01257_TODO_05",""
30,"TEXT_BANSYL101_01257_TODO_06",""
31,"TEXT_BANSYL101_01257_TODO_07",""
32,"TEXT_BANSYL101_01257_TODO_08",""
33,"TEXT_BANSYL101_01257_TODO_09",""
34,"TEXT_BANSYL101_01257_TODO_10",""
35,"TEXT_BANSYL101_01257_TODO_11",""
36,"TEXT_BANSYL101_01257_TODO_12",""
37,"TEXT_BANSYL101_01257_TODO_13",""
38,"TEXT_BANSYL101_01257_TODO_14",""
39,"TEXT_BANSYL101_01257_TODO_15",""
40,"TEXT_BANSYL101_01257_TODO_16",""
41,"TEXT_BANSYL101_01257_TODO_17",""
42,"TEXT_BANSYL101_01257_TODO_18",""
43,"TEXT_BANSYL101_01257_TODO_19",""
44,"TEXT_BANSYL101_01257_TODO_20",""
45,"TEXT_BANSYL101_01257_TODO_21",""
46,"TEXT_BANSYL101_01257_TODO_22",""
47,"TEXT_BANSYL101_01257_TODO_23",""
48,"TEXT_BANSYL101_01257_TONAXIA_000_000","我們平日多受住在山寨的羅爾佛·霍桑照顧呼啾。<hex:02100103>所以我想給他一些還禮呼啾。"
49,"TEXT_BANSYL101_01257_TONAXIA_000_001","今年暫留地裡蔬菜大豐收呼啾。<hex:02100103>多到沒法處理，只能扔了呼啾。<hex:02100103>所以我想強塞……不對，是贈送給羅爾佛一些呼啾！"
50,"TEXT_BANSYL101_01257_TONAXIA_000_002","請你把這些<hex:022811FF0A>EventItem<hex:F61E88DD0103>放置到霍桑山寨的周圍呼啾。<hex:02100103>用蔬菜裝點那個山寨，多棒啊呼啾！"
51,"TEXT_BANSYL101_01257_ROLFE_000_020","嗯？暫留地的妖精送來的禮物？"
52,"TEXT_BANSYL101_01257_ROLFE_000_021","哇！這些是<hex:022811FF0A>EventItem<hex:F61E88DD0103>！<hex:02100103>他們又在山寨裡丟得到處都是……<hex:02100103>不，他們好像是說這是裝飾？"
53,"TEXT_BANSYL101_01257_ROLFE_000_022","真是的，收拾掉這些簡直累死人啊……<hex:02100103>並且這蔬菜味道很糟糕，完全不能吃。<hex:02100103>不過還是要感謝他們的心意啊。謝謝了啊，哈哈……"
54,"TEXT_BANSYL101_01257_TONAXIA_000_010","請你把這些<hex:022811FF0A>EventItem<hex:F61E88DD0103>放置到霍桑山寨的周圍呼啾。<hex:02100103>做完後就去告訴羅爾佛一聲吧呼啾。"
55,"TEXT_BANSYL101_01257_TONAXIA_000_030","你回來啦呼啾。<hex:02100103>……羅爾佛是不是很高興呼啾？"
56,"TEXT_BANSYL101_01257_TONAXIA_000_031","那太好了呼啾！<hex:02100103>蔬菜多到只能扔了呢呼啾。<hex:02100103>很好，再多給他送點呼啾！"
