key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_BANALL040_01470_SEQ_00","諾布養育場的諾布將冒險者視為己出，並有事情想委託給冒險者。"
1,"TEXT_BANALL040_01470_SEQ_01","諾布無法離開養育場，因此委託冒險者幫忙救出自己的兒子博烏。前往西拉諾西亞的小麥酒港，調查靠港停泊的<hex:02280CFF05>EObj<hex:F61E95360103>，找出誘拐犯的船。"
2,"TEXT_BANALL040_01470_SEQ_02","在小麥酒港發現了被捨棄的<hex:02280CFF05>EObj<hex:F61E95360103>。在那裡，冒險者又遇到了那個神秘的女性希爾維，她稱這一連串的事件為「獸人連續誘拐事件」，並聲稱犯人是「黑死奏者」。前往利姆薩·羅敏薩的沉溺海豚亭，和巴德龍談談，獲取黑死奏者的詳細情報。"
3,"TEXT_BANALL040_01470_SEQ_03","和巴德龍進行了交談。黑死奏者的真名其實是納扎·阿·嘉布，是一名武藝高強的冒險者。與此同時，有一名黑渦團軍官也正在尋找冒險者。前往黑渦軍令部，向特拉哈雷特協漩尉詢問詳情。"
4,"TEXT_BANALL040_01470_SEQ_04","和特拉哈雷特進行了交談。原來是拉諾西亞外地的地靈族那裡又出現了新的問題。前往拉諾西亞外地，和第789洞穴團採礦地的斯凱特希斯協漩尉重逢。"
5,"TEXT_BANALL040_01470_SEQ_05","和第789洞穴團採礦地的斯凱特希斯進行了交談。據她所說，武伽瑪羅武裝礦山的地靈族似乎被人誘拐了。前往拉諾西亞外地的地靈軍試掘地，和3名第175洞穴團的地靈族談談，獲取詳細情報。"
6,"TEXT_BANALL040_01470_SEQ_06","和地靈軍試掘地的175洞穴團的地靈族進行了交談。被誘拐的不是別人，正是第789團採集員基古的青梅竹馬——第175團鍊金術士比比。誘拐犯帶著她向地靈軍試掘地的南邊逃跑了。追蹤犯人的蹤跡。"
7,"TEXT_BANALL040_01470_SEQ_07","找到了負傷的希爾維。她本想阻止誘拐犯的惡行，沒想到被誘拐犯打得一敗塗地。回到第789洞穴團採礦地，向斯凱特希斯報告事情的經過。"
8,"TEXT_BANALL040_01470_SEQ_08","回到斯凱特希斯身邊後，冒險者發現希爾維已奄奄一息。斯凱特希斯無法坐視不管，於是將希爾維收留在瞭望陣營地，並為她療傷。想要救出被誘拐的第175團鍊金術士比比，需要制定更嚴密的計劃。妖精族、魚人族、地靈族……獸人連續誘拐事件還遠遠沒有結束。"
9,"TEXT_BANALL040_01470_SEQ_09",""
10,"TEXT_BANALL040_01470_SEQ_10",""
11,"TEXT_BANALL040_01470_SEQ_11",""
12,"TEXT_BANALL040_01470_SEQ_12",""
13,"TEXT_BANALL040_01470_SEQ_13",""
14,"TEXT_BANALL040_01470_SEQ_14",""
15,"TEXT_BANALL040_01470_SEQ_15",""
16,"TEXT_BANALL040_01470_SEQ_16",""
17,"TEXT_BANALL040_01470_SEQ_17",""
18,"TEXT_BANALL040_01470_SEQ_18",""
19,"TEXT_BANALL040_01470_SEQ_19",""
20,"TEXT_BANALL040_01470_SEQ_20",""
21,"TEXT_BANALL040_01470_SEQ_21",""
22,"TEXT_BANALL040_01470_SEQ_22",""
23,"TEXT_BANALL040_01470_SEQ_23",""
24,"TEXT_BANALL040_01470_TODO_00","在小麥酒港尋找誘拐犯的<hex:02280CFF05>EObj<hex:F61E95360103>"
25,"TEXT_BANALL040_01470_TODO_01","和利姆薩·羅敏薩的巴德龍對話"
26,"TEXT_BANALL040_01470_TODO_02","和特拉哈雷特對話"
27,"TEXT_BANALL040_01470_TODO_03","和第789洞穴團採礦地的斯凱特希斯重逢"
28,"TEXT_BANALL040_01470_TODO_04","和地靈軍試掘地的第175洞穴團的地靈族對話"
29,"TEXT_BANALL040_01470_TODO_05","在地靈軍試掘地的周圍尋找誘拐犯的蹤跡"
30,"TEXT_BANALL040_01470_TODO_06","向斯凱特希斯報告"
31,"TEXT_BANALL040_01470_TODO_07",""
32,"TEXT_BANALL040_01470_TODO_08",""
33,"TEXT_BANALL040_01470_TODO_09",""
34,"TEXT_BANALL040_01470_TODO_10",""
35,"TEXT_BANALL040_01470_TODO_11",""
36,"TEXT_BANALL040_01470_TODO_12",""
37,"TEXT_BANALL040_01470_TODO_13",""
38,"TEXT_BANALL040_01470_TODO_14",""
39,"TEXT_BANALL040_01470_TODO_15",""
40,"TEXT_BANALL040_01470_TODO_16",""
41,"TEXT_BANALL040_01470_TODO_17",""
42,"TEXT_BANALL040_01470_TODO_18",""
43,"TEXT_BANALL040_01470_TODO_19",""
44,"TEXT_BANALL040_01470_TODO_20",""
45,"TEXT_BANALL040_01470_TODO_21",""
46,"TEXT_BANALL040_01470_TODO_22",""
47,"TEXT_BANALL040_01470_TODO_23",""
48,"TEXT_BANALL040_01470_NOVV_000_000","呼嘶……<hex:022903EB0203>，<hex:02100103>我把你看做我的家人，我的<hex:020813E905FF07>女兒<hex:FF07>兒子<hex:03>。<hex:02100103>所以才敢把家裡事拜託給你。"
49,"TEXT_BANALL040_01470_NOVV_000_001","請你從卑鄙的誘拐犯手中救出我的兒子博烏！<hex:02100103>為了避免更多的受害者出現，我不能離開這裡。<hex:02100103>因此……就只能拜託你了！呼嘶。"
50,"TEXT_BANALL040_01470_NOVV_000_002","其實，在與誘拐犯交手的時候，我趁機在他的船上戳了一槍。<hex:02100103>垂死掙扎，永不言敗，<hex:02100103>這就是我們魚人族的志氣。"
51,"TEXT_BANALL040_01470_NOVV_000_003","估計船底已經被戳開了一個不小的洞。<hex:02100103>只要船一漏水，他就跑不了多遠了……<hex:02100103>誘拐犯肯定為了修船去了附近的港口。"
52,"TEXT_BANALL040_01470_NOVV_000_004","呼嘶……<hex:02100103>位於西拉諾西亞的港口，八成就是小麥酒港了。<hex:02100103>只要去那裡，一定能找到誘拐犯的線索！"
53,"TEXT_BANALL040_01470_NOVV_000_005","呼嘶……拜託你了，<hex:022903EB0203>。<hex:02100103>我可靠的<hex:020813E905FF07>女兒<hex:FF07>兒子<hex:03>！"
54,"TEXT_BANALL040_01470_NOVV_000_006","呼嘶……你去小麥酒港，尋找船底有傷痕或是有修補痕跡的船。<hex:02100103>這樣就能找到拐走博烏的犯人的線索了。"
55,"TEXT_BANALL040_01470_SYSTEM_000_008","船底沒有異常……"
56,"TEXT_BANALL040_01470_SYSTEM_000_009","船底有個被帆布條堵上的洞，<hex:02100103>這就是要找的那條船。"
57,"TEXT_BANALL040_01470_SILVIA_000_010","(-？？？？-)晚了一步……"
58,"TEXT_BANALL040_01470_SILVIA_000_011","我說過了，獸人誘拐犯由我來追捕，<hex:02100103>沒有你出手的份……"
59,"TEXT_BANALL040_01470_SILVIA_000_012","犯人先前把船丟棄在這裡並離開了。<hex:02100103>不知道他去了哪裡……"
60,"TEXT_BANALL040_01470_SILVIA_000_013","繼妖精族之後，魚人族也……<hex:02100103>接連不斷的悲劇的齒輪開始轉動了……"
