key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_COMGRD003_01563_SEQ_00","蛇巢司令部的斯卡利特協牙尉有事情想要告訴冒險者。"
1,"TEXT_COMGRD003_01563_SEQ_01","斯卡利特介紹了「怪物狩獵」制度。和蛇巢司令部的怪物狩獵負責人對話，聽取詳細說明。"
2,"TEXT_COMGRD003_01563_SEQ_02","從怪物狩獵負責人那裡聽取了有關怪物狩獵制度的說明。需要了解詳細說明或換取報酬時，可以去找怪物狩獵負責人。積極討伐通緝中的怪物，為艾歐澤亞的治安做貢獻。"
3,"TEXT_COMGRD003_01563_SEQ_03",""
4,"TEXT_COMGRD003_01563_SEQ_04",""
5,"TEXT_COMGRD003_01563_SEQ_05",""
6,"TEXT_COMGRD003_01563_SEQ_06",""
7,"TEXT_COMGRD003_01563_SEQ_07",""
8,"TEXT_COMGRD003_01563_SEQ_08",""
9,"TEXT_COMGRD003_01563_SEQ_09",""
10,"TEXT_COMGRD003_01563_SEQ_10",""
11,"TEXT_COMGRD003_01563_SEQ_11",""
12,"TEXT_COMGRD003_01563_SEQ_12",""
13,"TEXT_COMGRD003_01563_SEQ_13",""
14,"TEXT_COMGRD003_01563_SEQ_14",""
15,"TEXT_COMGRD003_01563_SEQ_15",""
16,"TEXT_COMGRD003_01563_SEQ_16",""
17,"TEXT_COMGRD003_01563_SEQ_17",""
18,"TEXT_COMGRD003_01563_SEQ_18",""
19,"TEXT_COMGRD003_01563_SEQ_19",""
20,"TEXT_COMGRD003_01563_SEQ_20",""
21,"TEXT_COMGRD003_01563_SEQ_21",""
22,"TEXT_COMGRD003_01563_SEQ_22",""
23,"TEXT_COMGRD003_01563_SEQ_23",""
24,"TEXT_COMGRD003_01563_TODO_00","和蛇巢司令部的怪物狩獵負責人對話"
25,"TEXT_COMGRD003_01563_TODO_01",""
26,"TEXT_COMGRD003_01563_TODO_02",""
27,"TEXT_COMGRD003_01563_TODO_03",""
28,"TEXT_COMGRD003_01563_TODO_04",""
29,"TEXT_COMGRD003_01563_TODO_05",""
30,"TEXT_COMGRD003_01563_TODO_06",""
31,"TEXT_COMGRD003_01563_TODO_07",""
32,"TEXT_COMGRD003_01563_TODO_08",""
33,"TEXT_COMGRD003_01563_TODO_09",""
34,"TEXT_COMGRD003_01563_TODO_10",""
35,"TEXT_COMGRD003_01563_TODO_11",""
36,"TEXT_COMGRD003_01563_TODO_12",""
37,"TEXT_COMGRD003_01563_TODO_13",""
38,"TEXT_COMGRD003_01563_TODO_14",""
39,"TEXT_COMGRD003_01563_TODO_15",""
40,"TEXT_COMGRD003_01563_TODO_16",""
41,"TEXT_COMGRD003_01563_TODO_17",""
42,"TEXT_COMGRD003_01563_TODO_18",""
43,"TEXT_COMGRD003_01563_TODO_19",""
44,"TEXT_COMGRD003_01563_TODO_20",""
45,"TEXT_COMGRD003_01563_TODO_21",""
46,"TEXT_COMGRD003_01563_TODO_22",""
47,"TEXT_COMGRD003_01563_TODO_23",""
48,"TEXT_COMGRD003_01563_SCARLET_000_000","看你現在活躍四方，我有件事想要告訴你。<hex:02100103>艾歐澤亞城邦軍事同盟在防禦條約審議會上<hex:02100103>制定了一項新制度——怪物狩獵制度。"
49,"TEXT_COMGRD003_01563_SCARLET_000_001","我們把威脅治安的魔物和惡徒定義為「怪物」，<hex:02100103>而對於討伐了這些「怪物」的人，我們會支付特別的報酬……<hex:02100103>簡單來說，算是一種獎金制度。"
50,"TEXT_COMGRD003_01563_SCARLET_000_002","……雖然各同盟從表面上來看都在積極地相互合作，<hex:02100103>但背地裡卻在「法外戰區」這一盟約下爭鬥。<hex:02100103>雖然會讓人覺得毫無原則，但也是沒辦法的事。"
51,"TEXT_COMGRD003_01563_SCARLET_100_002","不過，先不說我們這些軍人，這種事情和一般民眾是沒有關係的。<hex:02100103>也為了更好地維持艾歐澤亞的治安，<hex:02100103>還請你貢獻出你的力量。"
52,"TEXT_COMGRD003_01563_SCARLET_000_003","我聽說，怪物狩獵制度裡準備的報酬，<hex:02100103>有很多對冒險者來說都是非常有用的。<hex:02100103>詳細情況你可以去問一下裡面的怪物狩獵負責人。"
53,"TEXT_COMGRD003_01563_SCARLET_000_005","我聽說，怪物狩獵制度的相關報酬裡<hex:02100103>有很多對冒險者來說非常有用的物品。<hex:02100103>詳細情況可以去問一下裡面的怪物狩獵負責人。"
54,"TEXT_COMGRD003_01563_MOBOFFICER_000_010","你是想要參加「怪物狩獵」嗎？<hex:02100103>如果有你加入的話那真是太鼓舞人心了。<hex:02100103>那麼我這就給你簡單說明一下這項制度。"
55,"TEXT_COMGRD003_01563_MOBOFFICER_000_011","首先你需要確認一下「怪物狩獵告示板」，<hex:02100103>那上面會登出討伐對象的通緝令。"
56,"TEXT_COMGRD003_01563_MOBOFFICER_000_012","在這裡你需要注意一下，通緝令一共有2種。<hex:02100103>一種是普通的「怪物通緝令」，<hex:02100103>還有一種是「惡名精英通緝令」，以危險且臭名昭著的怪物為目標。"
57,"TEXT_COMGRD003_01563_MOBOFFICER_000_013","不管是哪一種，只要將告示的對象打倒就算完成任務。<hex:02100103>之後我們會支付給你「同盟徽章」，<hex:02100103>你可以用這個來換取特殊的報酬。"
58,"TEXT_COMGRD003_01563_MOBOFFICER_000_014","另外，如果你想要交換報酬，<hex:02100103>或是想聽取有關「怪物狩獵」的詳細說明時，<hex:02100103>可以隨時來找我。"
59,"TEXT_COMGRD003_01563_MOBOFFICER_000_015","那麼，這位守護艾歐澤亞治安的高潔戰士，<hex:02100103>祝你旗開得勝。"
