key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_JOBNIN580_01687_SEQ_00","碼頭小屋的朧取得了關於國寶的最新情報。"
1,"TEXT_JOBNIN580_01687_SEQ_01","決定在灰犬家族將寶物運送給伊修加德豪商的途中進行奪還。為了進行準備工作，冒險者被委託取得<hex:022811FF0A>EventItem<hex:F61E8B3D0103>。前往利姆薩·羅敏薩的西國際商販路，將<hex:022811FF0A>EventItem<hex:F61E8B880103>交給括括盧恩。"
2,"TEXT_JOBNIN580_01687_SEQ_02","成功買到<hex:022811FF0A>EventItem<hex:F61E8B3D0103>後，發現了來找雪回去的井之國人。雪和赤城被迫藏了起來，冒險者則必須去將灰犬家族使用的冥神香偷換成<hex:022811FF0A>EventItem<hex:F61E8B3D0103>。將<hex:022811FF0A>EventItem<hex:F61E8B3D0103>放到利姆薩·羅敏薩碼頭的<hex:02280CFF05>EObj<hex:F61E9BAE0103>。"
3,"TEXT_JOBNIN580_01687_SEQ_03","替換成功。在碼頭附近的<hex:02280CFF05>EObj<hex:F61E9BAF0103>等待。"
4,"TEXT_JOBNIN580_01687_SEQ_04","確認了替換是否被識破。接下來就剩下等待<hex:022811FF0A>EventItem<hex:F61E8B3D0103>生效，奪回國寶了。前往龍堡參天高地的荒煙野地和雪談談。"
5,"TEXT_JOBNIN580_01687_SEQ_05","雪會在搬運工沉睡時尋找國寶，冒險者則負責警戒工作。在龍堡參天高地荒煙野地的<hex:02280CFF05>EObj<hex:F61E9BB20103>等待，討伐灰犬家族。"
6,"TEXT_JOBNIN580_01687_SEQ_06","討伐了灰犬家族。在荒煙野地和朧談談。"
7,"TEXT_JOBNIN580_01687_SEQ_07","和朧進行了交談。為了保護被抓住的人質，雪跟著現身的雷德韋走了。回碼頭小屋和朧談談。"
8,"TEXT_JOBNIN580_01687_SEQ_08","和朧進行了交談。他決定等赤城的傷好後就前去營救雪。努力鍛鍊，等待救援開始。<hex:02100103><hex:02100103>※忍者的等級達到60級以上時，可以從碼頭小屋的朧那裡領取下一個忍者任務。"
9,"TEXT_JOBNIN580_01687_SEQ_09",""
10,"TEXT_JOBNIN580_01687_SEQ_10",""
11,"TEXT_JOBNIN580_01687_SEQ_11",""
12,"TEXT_JOBNIN580_01687_SEQ_12",""
13,"TEXT_JOBNIN580_01687_SEQ_13",""
14,"TEXT_JOBNIN580_01687_SEQ_14",""
15,"TEXT_JOBNIN580_01687_SEQ_15",""
16,"TEXT_JOBNIN580_01687_SEQ_16",""
17,"TEXT_JOBNIN580_01687_SEQ_17",""
18,"TEXT_JOBNIN580_01687_SEQ_18",""
19,"TEXT_JOBNIN580_01687_SEQ_19",""
20,"TEXT_JOBNIN580_01687_SEQ_20",""
21,"TEXT_JOBNIN580_01687_SEQ_21",""
22,"TEXT_JOBNIN580_01687_SEQ_22",""
23,"TEXT_JOBNIN580_01687_SEQ_23",""
24,"TEXT_JOBNIN580_01687_TODO_00","將<hex:022811FF0A>EventItem<hex:F61E8B880103>交給西國際商販路的括括盧恩"
25,"TEXT_JOBNIN580_01687_TODO_01","將<hex:022811FF0A>EventItem<hex:F61E8B3D0103>放到<hex:02280CFF05>EObj<hex:F61E9BAE0103>"
26,"TEXT_JOBNIN580_01687_TODO_02","在<hex:02280CFF05>EObj<hex:F61E9BAF0103>等待"
27,"TEXT_JOBNIN580_01687_TODO_03","和荒煙野地的雪對話"
28,"TEXT_JOBNIN580_01687_TODO_04","在<hex:02280CFF05>EObj<hex:F61E9BB20103>等待並討伐出現的灰犬家族"
29,"TEXT_JOBNIN580_01687_TODO_05","和荒煙野地的朧對話"
30,"TEXT_JOBNIN580_01687_TODO_06","和碼頭小屋的朧對話"
31,"TEXT_JOBNIN580_01687_TODO_07",""
32,"TEXT_JOBNIN580_01687_TODO_08",""
33,"TEXT_JOBNIN580_01687_TODO_09",""
34,"TEXT_JOBNIN580_01687_TODO_10",""
35,"TEXT_JOBNIN580_01687_TODO_11",""
36,"TEXT_JOBNIN580_01687_TODO_12",""
37,"TEXT_JOBNIN580_01687_TODO_13",""
38,"TEXT_JOBNIN580_01687_TODO_14",""
39,"TEXT_JOBNIN580_01687_TODO_15",""
40,"TEXT_JOBNIN580_01687_TODO_16",""
41,"TEXT_JOBNIN580_01687_TODO_17",""
42,"TEXT_JOBNIN580_01687_TODO_18",""
43,"TEXT_JOBNIN580_01687_TODO_19",""
44,"TEXT_JOBNIN580_01687_TODO_20",""
45,"TEXT_JOBNIN580_01687_TODO_21",""
46,"TEXT_JOBNIN580_01687_TODO_22",""
47,"TEXT_JOBNIN580_01687_TODO_23",""
48,"TEXT_JOBNIN580_01687_YUKI_000_000","要盡快……要盡快取回國寶才行。"
49,"TEXT_JOBNIN580_01687_AKAGI_000_000","啊——，不用風餐露宿真是太好了！"
50,"TEXT_JOBNIN580_01687_OBORO_000_000","<hex:022903EB0203>，情報來了。<hex:02100103>灰犬家族舉行了掠奪品拍賣會。"
51,"TEXT_JOBNIN580_01687_OBORO_000_001","我們在追蹤的亂光包被住在伊修加德的豪商拍下了，<hex:02100103>還要求了灰犬家族必須送貨上門才行。<hex:02100103>多半是小雪公主至今的行動讓買家也怕了。"
52,"TEXT_JOBNIN580_01687_YUKI_000_002","我們就瞄準這次送貨的途中出手，<hex:02100103>對手是灰犬家族的話反而更好。<hex:02100103>問題就剩下如何突破他們的警戒網了……"
53,"TEXT_JOBNIN580_01687_OBORO_000_003","說起來，之前<hex:022903EB0203>有提到過灰犬家族習慣使用冥神香吧。<hex:02100103>我們把它換成催人入夢的<hex:022811FF0A>EventItem<hex:F61E8B3D0103>如何？"
54,"TEXT_JOBNIN580_01687_YUKI_000_004","忍者為什麼總是喜歡繞這麼大的圈子……<hex:02100103>這麼幹有些不太光明磊落吧？"
55,"TEXT_JOBNIN580_01687_OBORO_000_005","我們忍者永遠是把完成任務放在第一位。<hex:02100103>想在保護好自己生命的基礎上奪回國寶的話，<hex:02100103>這個減少戰鬥的方法就是最佳方案了。"
56,"TEXT_JOBNIN580_01687_OBORO_000_006","灰犬家族是以拉諾西亞為據點進行活動的組織。<hex:02100103>他們一定會前往利姆薩·羅敏薩進行長途旅行的採購準備。<hex:02100103>我們現在要兵分兩路。"
57,"TEXT_JOBNIN580_01687_OBORO_000_007","我和赤城閣下去尋找灰犬家族運輸的物資。<hex:02100103><hex:022903EB0203>和小雪公主去弄到<hex:022811FF0A>EventItem<hex:F61E8B3D0103>。"
58,"TEXT_JOBNIN580_01687_OBORO_000_009","括括盧恩手裡應該有<hex:022811FF0A>EventItem<hex:F61E8B3D0103>。<hex:02100103>他就在利姆薩·羅敏薩的西國際商販路，去找他問問看就可以了。"
59,"TEXT_JOBNIN580_01687_YUKI_000_010","買東西的話不需要<hex:022903EB0203>幫忙！<hex:02100103>我自己去就可以了。"
