key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_HEAVND103_02244_SEQ_00","不潔三塔的阿爾菲諾想要出發。"
1,"TEXT_HEAVND103_02244_SEQ_01","阿爾菲諾率先帶領艾默里克前往索姆阿爾靈峰的峰頂了。和翻雲霧海莫古力之家的艾默里克談談。"
2,"TEXT_HEAVND103_02244_SEQ_02","在和艾默里克交談的時候，莫古唐突然出現了。為了呼喚出聖龍，在翻雲霧海天極白堊宮的<hex:02280CFF05>EObj<hex:F61E9FAC0103>吹響喇叭。"
3,"TEXT_HEAVND103_02244_SEQ_03","在<hex:02280CFF05>EObj<hex:F61E9FAC0103>吹響了喇叭，並向飛來的聖龍赫拉斯瓦爾格說明了來意。赫拉斯瓦爾格在聽過艾默里克和阿爾菲諾的拚命勸說，以及冒險者和塵世幻龍的話語後有些動搖了。聖龍要在試煉之地確認冒險者等人是否有與邪龍戰鬥的能力。和天極白堊宮的艾默里克談談。"
4,"TEXT_HEAVND103_02244_SEQ_04","和艾默里克進行了交談。為了前往試煉之地，和天極白堊宮負責領路的美麗的飛龍談談。"
5,"TEXT_HEAVND103_02244_SEQ_05","和美麗的飛龍進行了交談。前往天龍宮殿憶罪宮，接受聖龍的試煉。<hex:02100103><hex:02100103>※可以通過任務搜尋器參加。"
6,"TEXT_HEAVND103_02244_SEQ_06","突破了天龍宮殿憶罪宮。回到翻雲霧海的天極白堊宮，聽取赫拉斯瓦爾格的回答。"
7,"TEXT_HEAVND103_02244_SEQ_07","赫拉斯瓦爾格認可了冒險者等人的實力和決心，發誓要與邪龍一戰。和天極白堊宮的阿爾菲諾談談。"
8,"TEXT_HEAVND103_02244_SEQ_08","在和阿爾菲諾進行交談之時，傳來了邪龍的咆哮聲。邪龍尼德霍格終於開始進軍了。踏上最終決戰的戰場，給龍詩戰爭畫下一個句號。"
9,"TEXT_HEAVND103_02244_SEQ_09",""
10,"TEXT_HEAVND103_02244_SEQ_10",""
11,"TEXT_HEAVND103_02244_SEQ_11",""
12,"TEXT_HEAVND103_02244_SEQ_12",""
13,"TEXT_HEAVND103_02244_SEQ_13",""
14,"TEXT_HEAVND103_02244_SEQ_14",""
15,"TEXT_HEAVND103_02244_SEQ_15",""
16,"TEXT_HEAVND103_02244_SEQ_16",""
17,"TEXT_HEAVND103_02244_SEQ_17",""
18,"TEXT_HEAVND103_02244_SEQ_18",""
19,"TEXT_HEAVND103_02244_SEQ_19",""
20,"TEXT_HEAVND103_02244_SEQ_20",""
21,"TEXT_HEAVND103_02244_SEQ_21",""
22,"TEXT_HEAVND103_02244_SEQ_22",""
23,"TEXT_HEAVND103_02244_SEQ_23",""
24,"TEXT_HEAVND103_02244_TODO_00","和莫古力之家的艾默里克對話"
25,"TEXT_HEAVND103_02244_TODO_01","在<hex:02280CFF05>EObj<hex:F61E9FAC0103>吹響喇叭"
26,"TEXT_HEAVND103_02244_TODO_02","和艾默里克對話"
27,"TEXT_HEAVND103_02244_TODO_03","和美麗的飛龍對話"
28,"TEXT_HEAVND103_02244_TODO_04","突破天龍宮殿憶罪宮"
29,"TEXT_HEAVND103_02244_TODO_05","突破天龍宮殿憶罪宮"
30,"TEXT_HEAVND103_02244_TODO_06","和天極白堊宮的阿爾菲諾對話"
31,"TEXT_HEAVND103_02244_TODO_07",""
32,"TEXT_HEAVND103_02244_TODO_08",""
33,"TEXT_HEAVND103_02244_TODO_09",""
34,"TEXT_HEAVND103_02244_TODO_10",""
35,"TEXT_HEAVND103_02244_TODO_11",""
36,"TEXT_HEAVND103_02244_TODO_12",""
37,"TEXT_HEAVND103_02244_TODO_13",""
38,"TEXT_HEAVND103_02244_TODO_14",""
39,"TEXT_HEAVND103_02244_TODO_15",""
40,"TEXT_HEAVND103_02244_TODO_16",""
41,"TEXT_HEAVND103_02244_TODO_17",""
42,"TEXT_HEAVND103_02244_TODO_18",""
43,"TEXT_HEAVND103_02244_TODO_19",""
44,"TEXT_HEAVND103_02244_TODO_20",""
45,"TEXT_HEAVND103_02244_TODO_21",""
46,"TEXT_HEAVND103_02244_TODO_22",""
47,"TEXT_HEAVND103_02244_TODO_23",""
48,"TEXT_HEAVND103_02244_AYMERIC_000_005","雖然我曾經看過露琪亞的報告，<hex:02100103>但實際到訪龍族的住處，卻有一種難以言喻的神奇感覺。"
49,"TEXT_HEAVND103_02244_ALPHINAUD_000_010","雖然聖龍的態度沒有轉變，多少有些遺憾，<hex:02100103>不過我們也不能因此退縮。<hex:02100103>好了，讓我們登上索姆阿爾靈峰，前往雲海吧。"
50,"TEXT_HEAVND103_02244_AYMERIC_000_011","好的，那就拜託您帶路了。"
51,"TEXT_HEAVND103_02244_ALPHINAUD_000_012","那<hex:022903EB0203>，我們就先到峰頂的莫古力之家吧。<hex:02100103>好了，出發！"
52,"TEXT_HEAVND103_02244_ALPHINAUD_000_015","就算是艾默里克閣下，<hex:02100103>也會為這雲海的光景所震撼呢。<hex:02100103>不禁讓我想起我們第一次來到這裡時的事情了。"
53,"TEXT_HEAVND103_02244_AYMERIC_000_020","……這景色太壯觀了。<hex:02100103>真是百聞不如一見啊。<hex:02100103>這種感動簡直難以言表……"
54,"TEXT_HEAVND103_02244_ALPHINAUD_000_021","我們第一次來到這裡時也是特別震撼。<hex:02100103>那時還有伊塞勒和埃斯蒂尼安和我們一起……"
55,"TEXT_HEAVND103_02244_MOGHAN_000_022","(-雲海的莫古力族-)庫啵啵？<hex:02100103>莫古還以為是誰呢，這不是<hex:022903EB0203>嘛庫啵！"
56,"TEXT_HEAVND103_02244_ALPHINAUD_000_023","哦……你是……是……"
57,"TEXT_HEAVND103_02244_MOGHAN_000_024","(-雲海的莫古力族-)庫啵？！你不會不記得莫古了吧庫啵？<hex:02100103>太過分了庫啵……簡直了庫啵……<hex:02100103>明明是個撿柴的，太失禮了庫啵……"
58,"TEXT_HEAVND103_02244_MOGHAN_000_025","(-雲海的莫古力族-)<hex:022903EB0203>當然會記得莫古了，對吧庫啵啵？"
59,"TEXT_HEAVND103_02244_Q1_000_000","這隻莫古力族的真實身份是？"
60,"TEXT_HEAVND103_02244_A1_000_001","怎麼看都是莫古靈吧"
61,"TEXT_HEAVND103_02244_A1_000_002","是莫古唐"
62,"TEXT_HEAVND103_02244_A1_000_003","莫古力長得都是一樣的"
63,"TEXT_HEAVND103_02244_MOGHAN_000_027","(-雲海的莫古力族-)太、太過分了庫啵！<hex:02100103>竟然把莫古看成是莫古靈大人，莫古哪有那麼肥庫啵！<hex:02100103>莫古可是帶你們去天極白堊宮的莫古唐庫啵！"
64,"TEXT_HEAVND103_02244_MOGHAN_000_028","(-雲海的莫古力族-)真不愧是<hex:022903EB0203>，答對了庫啵！<hex:02100103>你還記得咱們一起野營的事庫啵！"
