key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_HEAVNR203_02251_SEQ_00","游擊野營地的米黛在考慮救出朗德洛克斯的方法。"
1,"TEXT_HEAVNR203_02251_SEQ_01","前情回顧：<hex:02100103>«英格瑪秘典»最後的斷章還沒有落入青藍之手手中，米黛交給敵人的碎片只是掉包過的普通石頭。但眾人還沒有放心多久，就又得知了一個糟糕的消息：實現操縱蠻神亞歷山大的另一個部件——朗德洛克斯被青藍之手抓走了！<hex:02100103>　　　　　　　　　　　　*　*　*<hex:02100103>為了救出朗德洛克斯，冒險者決定前往蠻神左腕部的中樞部分。另一方面，米黛則獨自潛入亞歷山大的右腕部，以探究蠻神的內部構造。做好萬全準備後，和同伴一起挑戰蠻神。<hex:02100103><hex:02100103>※可以通過任務搜尋器參加，也可以通過沙利亞克河的<hex:02280CFF05>EObj<hex:F61E9F520103>進行挑戰。"
2,"TEXT_HEAVNR203_02251_SEQ_02","成功突破了亞歷山大機神城律動之章3。向游擊野營地的記錄員巴庫利克斯報告。"
3,"TEXT_HEAVNR203_02251_SEQ_03","為了救回朗德洛克斯，米黛下定決心要停止蠻神亞歷山大的第2核心。在亞歷山大的最深處，被逼至走投無路的青藍之手恐怕會做出最後的瘋狂抵抗。為了迎接最終決戰，做好萬全的準備。"
4,"TEXT_HEAVNR203_02251_SEQ_04",""
5,"TEXT_HEAVNR203_02251_SEQ_05",""
6,"TEXT_HEAVNR203_02251_SEQ_06",""
7,"TEXT_HEAVNR203_02251_SEQ_07",""
8,"TEXT_HEAVNR203_02251_SEQ_08",""
9,"TEXT_HEAVNR203_02251_SEQ_09",""
10,"TEXT_HEAVNR203_02251_SEQ_10",""
11,"TEXT_HEAVNR203_02251_SEQ_11",""
12,"TEXT_HEAVNR203_02251_SEQ_12",""
13,"TEXT_HEAVNR203_02251_SEQ_13",""
14,"TEXT_HEAVNR203_02251_SEQ_14",""
15,"TEXT_HEAVNR203_02251_SEQ_15",""
16,"TEXT_HEAVNR203_02251_SEQ_16",""
17,"TEXT_HEAVNR203_02251_SEQ_17",""
18,"TEXT_HEAVNR203_02251_SEQ_18",""
19,"TEXT_HEAVNR203_02251_SEQ_19",""
20,"TEXT_HEAVNR203_02251_SEQ_20",""
21,"TEXT_HEAVNR203_02251_SEQ_21",""
22,"TEXT_HEAVNR203_02251_SEQ_22",""
23,"TEXT_HEAVNR203_02251_SEQ_23",""
24,"TEXT_HEAVNR203_02251_TODO_00","突破亞歷山大機神城律動之章3"
25,"TEXT_HEAVNR203_02251_TODO_01","向記錄員巴庫利克斯報告"
26,"TEXT_HEAVNR203_02251_TODO_02",""
27,"TEXT_HEAVNR203_02251_TODO_03",""
28,"TEXT_HEAVNR203_02251_TODO_04",""
29,"TEXT_HEAVNR203_02251_TODO_05",""
30,"TEXT_HEAVNR203_02251_TODO_06",""
31,"TEXT_HEAVNR203_02251_TODO_07",""
32,"TEXT_HEAVNR203_02251_TODO_08",""
33,"TEXT_HEAVNR203_02251_TODO_09",""
34,"TEXT_HEAVNR203_02251_TODO_10",""
35,"TEXT_HEAVNR203_02251_TODO_11",""
36,"TEXT_HEAVNR203_02251_TODO_12",""
37,"TEXT_HEAVNR203_02251_TODO_13",""
38,"TEXT_HEAVNR203_02251_TODO_14",""
39,"TEXT_HEAVNR203_02251_TODO_15",""
40,"TEXT_HEAVNR203_02251_TODO_16",""
41,"TEXT_HEAVNR203_02251_TODO_17",""
42,"TEXT_HEAVNR203_02251_TODO_18",""
43,"TEXT_HEAVNR203_02251_TODO_19",""
44,"TEXT_HEAVNR203_02251_TODO_20",""
45,"TEXT_HEAVNR203_02251_TODO_21",""
46,"TEXT_HEAVNR203_02251_TODO_22",""
47,"TEXT_HEAVNR203_02251_TODO_23",""
48,"TEXT_HEAVNR203_02251_MIDE_000_000","是我疏忽了……我以為青藍之手還沒有察覺到，<hex:02100103>朗德洛克斯才是操縱亞歷山大的關鍵……"
49,"TEXT_HEAVNR203_02251_MIDE_000_002","沒錯，真正的「最後一部分」……是那丫頭才對！<hex:02100103>再不快點救她，她就要被注射什麼奇怪的藥物，<hex:02100103>強行被當成「舵盤」的部件了！"
50,"TEXT_HEAVNR203_02251_MIDE_000_003","……朗德洛克斯應該是被囚禁在蠻神的中樞附近。<hex:02100103>你們就這樣殺出一條道路，一直突破到最深處吧！<hex:02100103>我就從另一邊的右腕部尋找通往中樞的路。"
51,"TEXT_HEAVNR203_02251_SYSTEM_000_010","可以挑戰「亞歷山大機神城律動之章3」了。<hex:02100103>此任務可以通過任務搜尋器參加，<hex:02100103>也可以通過沙利亞克河的<hex:02280CFF05>EObj<hex:F61E9F520103>進行挑戰。"
52,"TEXT_HEAVNR203_02251_BIGGS_020","蠻神如果覺醒，那個重要的「他」的靈魂也會復甦……<hex:02100103>米黛看來是被這種執念沖昏了頭腦啊。<hex:02100103>哪怕聽起來再怎麼荒唐無稽，但對於她而言，這就是真實……"
53,"TEXT_HEAVNR203_02251_BIGGS_021","不過現在的當務之急是救出朗德洛克斯。<hex:02100103>至少想要救回那孩子的心情，大家是相同的！"
54,"TEXT_HEAVNR203_02251_WEDGES_000_030","真是糟透了……追著追著就把朗德洛克斯追丟了！<hex:02100103>……四處尋找之後好不容易發現了她，<hex:02100103>卻剛好碰上她被青藍之手抓走……"
55,"TEXT_HEAVNR203_02251_WEDGES_000_031","嗚嗚，我真是成事不足敗事有餘……<hex:02100103>那孩子要是有個萬一……都是我的錯……"
56,"TEXT_HEAVNR203_02251_BIGGS_000_050","……奎克辛克斯親自駕駛兵器出擊？<hex:02100103>是對自己部下的無能徹底絕望了嗎……<hex:02100103>不要多想……總之姑且認為他們確實是被逼得走投無路了就好！"
57,"TEXT_HEAVNR203_02251_WEDGE_000_060","<hex:022903EB0203>！歡迎回來！<hex:02100103>……你狠狠地揍了奎克辛克斯那傢伙一頓？！<hex:02100103>真有你的！"
58,"TEXT_HEAVNR203_02251_WEDGE_000_061","……還是不知道朗德洛克斯的下落嗎？<hex:02100103>嗚嗚……好擔心……"
59,"TEXT_HEAVNR203_02251_BACKRIX_000_090","呼哧……呼哧……<hex:02100103>你們打倒了 奎克辛克斯？！<hex:02100103>真是 喜聞樂見 大快人心呀！"
60,"TEXT_HEAVNR203_02251_BACKRIX_000_091","左腕部 幾乎全部 佔領了！<hex:02100103>一口氣 突破中樞 救出朗德洛克斯！"
61,"TEXT_HEAVNR203_02251_MIDE_000_100","我剛剛結束了對蠻神內部構造的調查。<hex:02100103>你們和敵人戰鬥的地點已經接近左半身的最深處了。<hex:02100103>這樣的話，下一步應該做的……"
62,"TEXT_HEAVNR203_02251_BACKRIX_000_101","呼哧……呼哧……<hex:02100103>我還不能 完全相信你……<hex:02100103>3年前 你召喚蠻神時的理想 已經捨棄了嗎？"
