key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_JOBMCH630_02906_SEQ_00","雲霧街的希爾達有事想拜託冒險者。"
1,"TEXT_JOBMCH630_02906_SEQ_01","希爾達委託冒險者陪她一同去商量神殿騎士團就任儀式的警備問題。前往伊修加德的神殿騎士團總部，和米斯卡丹談談。"
2,"TEXT_JOBMCH630_02906_SEQ_02","和米斯卡丹進行了交談。在商量警備問題時，接到了就任儀式要使用的寶劍赫倫汀被人盜走的消息。希爾達決定協助調查這起盜竊案。前往伊修加德的巨盾台，和負責警戒的神殿騎士談談。"
3,"TEXT_JOBMCH630_02906_SEQ_03","和負責警戒的神殿騎士進行了交談，並從他手中拿到了<hex:022811FF0A>EventItem<hex:F61E8D380103>。一位濃妝豔抹的女貴族在交談過程中突然插嘴進來提供了火槍山賊的情報。將<hex:022811FF0A>EventItem<hex:F61E8D380103>交給伊修加德天鋼機工房的斯特凡尼維安。"
4,"TEXT_JOBMCH630_02906_SEQ_04","將<hex:022811FF0A>EventItem<hex:F61E8D380103>交給了斯特凡尼維安，但他也無法從<hex:022811FF0A>EventItem<hex:F61E8D380103>中看出太多東西來。前往庫爾札斯西部高地的鐵杉村尋找希爾達。"
5,"TEXT_JOBMCH630_02906_SEQ_05","擊敗了襲擊希爾達的猛獸，獲得了猛獸身上的<hex:022811FF0A>EventItem<hex:F61E8D390103>。將<hex:022811FF0A>EventItem<hex:F61E8D390103>交給鐵杉村的希爾達。"
6,"TEXT_JOBMCH630_02906_SEQ_06","將<hex:022811FF0A>EventItem<hex:F61E8D390103>交給了希爾達。返回伊修加德的雲霧街，和希爾達談談。"
7,"TEXT_JOBMCH630_02906_SEQ_07","和希爾達進行了交談。她認為女貴族提到的火槍山賊有可能和盜寶劍的賊是同一個人，決定加派人手前往鐵杉村進行調查。等火槍隊調查出結果後再來拜訪。<hex:02100103><hex:02100103>※機工士的等級達到65級以上時，可以從雲霧街的希爾達那裡領取下一個機工士任務。"
8,"TEXT_JOBMCH630_02906_SEQ_08",""
9,"TEXT_JOBMCH630_02906_SEQ_09",""
10,"TEXT_JOBMCH630_02906_SEQ_10",""
11,"TEXT_JOBMCH630_02906_SEQ_11",""
12,"TEXT_JOBMCH630_02906_SEQ_12",""
13,"TEXT_JOBMCH630_02906_SEQ_13",""
14,"TEXT_JOBMCH630_02906_SEQ_14",""
15,"TEXT_JOBMCH630_02906_SEQ_15",""
16,"TEXT_JOBMCH630_02906_SEQ_16",""
17,"TEXT_JOBMCH630_02906_SEQ_17",""
18,"TEXT_JOBMCH630_02906_SEQ_18",""
19,"TEXT_JOBMCH630_02906_SEQ_19",""
20,"TEXT_JOBMCH630_02906_SEQ_20",""
21,"TEXT_JOBMCH630_02906_SEQ_21",""
22,"TEXT_JOBMCH630_02906_SEQ_22",""
23,"TEXT_JOBMCH630_02906_SEQ_23",""
24,"TEXT_JOBMCH630_02906_TODO_00","和米斯卡丹對話"
25,"TEXT_JOBMCH630_02906_TODO_01","和巨盾台的負責警戒的神殿騎士對話"
26,"TEXT_JOBMCH630_02906_TODO_02","將<hex:022811FF0A>EventItem<hex:F61E8D380103>交給天鋼機工房的斯特凡尼維安"
27,"TEXT_JOBMCH630_02906_TODO_03","在鐵杉村尋找希爾達"
28,"TEXT_JOBMCH630_02906_TODO_04","將<hex:022811FF0A>EventItem<hex:F61E8D390103>交給希爾達"
29,"TEXT_JOBMCH630_02906_TODO_05","和雲霧街的希爾達對話"
30,"TEXT_JOBMCH630_02906_TODO_06",""
31,"TEXT_JOBMCH630_02906_TODO_07",""
32,"TEXT_JOBMCH630_02906_TODO_08",""
33,"TEXT_JOBMCH630_02906_TODO_09",""
34,"TEXT_JOBMCH630_02906_TODO_10",""
35,"TEXT_JOBMCH630_02906_TODO_11",""
36,"TEXT_JOBMCH630_02906_TODO_12",""
37,"TEXT_JOBMCH630_02906_TODO_13",""
38,"TEXT_JOBMCH630_02906_TODO_14",""
39,"TEXT_JOBMCH630_02906_TODO_15",""
40,"TEXT_JOBMCH630_02906_TODO_16",""
41,"TEXT_JOBMCH630_02906_TODO_17",""
42,"TEXT_JOBMCH630_02906_TODO_18",""
43,"TEXT_JOBMCH630_02906_TODO_19",""
44,"TEXT_JOBMCH630_02906_TODO_20",""
45,"TEXT_JOBMCH630_02906_TODO_21",""
46,"TEXT_JOBMCH630_02906_TODO_22",""
47,"TEXT_JOBMCH630_02906_TODO_23",""
48,"TEXT_JOBMCH630_02906_ROSTNSTHAL_999_000","訓練他們的事就交給我吧。<hex:02100103>不會讓你失望的。"
49,"TEXT_JOBMCH630_02906_HILDA_000_000","喲，<hex:022903EB0203>。<hex:02100103>你來看我們的訓練狀況了嗎？"
50,"TEXT_JOBMCH630_02906_ROSTNSTHAL_000_001","我這邊還挺順利，<hex:02100103>但遠遠沒有達到能讓你進行評估的程度。<hex:02100103>他們學東西可沒你和喬伊那麼快。"
51,"TEXT_JOBMCH630_02906_HILDA_000_002","哈哈哈，不要管我們嚴厲的教官了。<hex:02100103>我這邊有點事想要拜託你幫忙。"
52,"TEXT_JOBMCH630_02906_HILDA_000_003","警備團接到了一個重要的任務，<hex:02100103>內容是在神殿騎士團的就任儀式上負責警備工作。<hex:02100103>這也是出於那個麻煩的「政治」。"
53,"TEXT_JOBMCH630_02906_HILDA_000_004","神殿騎士團的就任儀式由教皇廳舉辦。<hex:02100103>之所以讓平民負責警備工作，<hex:02100103>是為了對內對外展現改革後的方針，凸顯貴族與平民的融合。"
54,"TEXT_JOBMCH630_02906_HILDA_000_005","萬一要是搞砸了會引起諸多問題，<hex:02100103>對剛起步的火槍隊也是個沉重打擊。<hex:02100103>露琪亞是這麼說的。"
55,"TEXT_JOBMCH630_02906_HILDA_000_006","啊，好像有點跑題了，讓我們返回正題吧。<hex:02100103>我希望你能陪我一起去商量就任儀式的警備問題。"
56,"TEXT_JOBMCH630_02906_HILDA_000_007","神殿騎士團那邊的負責人是個很討人厭的傢伙。<hex:02100103>我怕自己到時候忍不住拔出槍來爆了他的腦袋……<hex:02100103>能請你跟我一起去，在關鍵時刻攔住我嗎？"
57,"TEXT_JOBMCH630_02906_HILDA_000_008","非常感謝，真是幫大忙了。<hex:02100103>那傢伙名叫米斯卡丹，<hex:02100103>和我約在神殿騎士團總部見。到時候拜託你了！"
58,"TEXT_JOBMCH630_02906_ROSTNSTHAL_000_009","一開始訓練時，我叫他們和魔物戰鬥。<hex:02100103>贏雖然是贏了，但射出去的子彈十顆有八顆打偏……<hex:02100103>跟你和喬伊完全沒得比……"
59,"TEXT_JOBMCH630_02906_SYMME_000_010","接受教官的訓練時，<hex:02100103>偶爾會眼花，好像看到戰神哈羅妮大人來接我……<hex:02100103>嘿嘿嘿……真是神奇……"
