key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_STMBDA325_02934_SEQ_00","多瑪起義軍門衛已經從豪雪那裡了解到了情況。"
1,"TEXT_STMBDA325_02934_SEQ_01","和同伴們對話"
2,"TEXT_STMBDA325_02934_SEQ_02","和夕霧對話"
3,"TEXT_STMBDA325_02934_SEQ_03",""
4,"TEXT_STMBDA325_02934_SEQ_04",""
5,"TEXT_STMBDA325_02934_SEQ_05",""
6,"TEXT_STMBDA325_02934_SEQ_06",""
7,"TEXT_STMBDA325_02934_SEQ_07",""
8,"TEXT_STMBDA325_02934_SEQ_08",""
9,"TEXT_STMBDA325_02934_SEQ_09",""
10,"TEXT_STMBDA325_02934_SEQ_10",""
11,"TEXT_STMBDA325_02934_SEQ_11",""
12,"TEXT_STMBDA325_02934_SEQ_12",""
13,"TEXT_STMBDA325_02934_SEQ_13",""
14,"TEXT_STMBDA325_02934_SEQ_14",""
15,"TEXT_STMBDA325_02934_SEQ_15",""
16,"TEXT_STMBDA325_02934_SEQ_16",""
17,"TEXT_STMBDA325_02934_SEQ_17",""
18,"TEXT_STMBDA325_02934_SEQ_18",""
19,"TEXT_STMBDA325_02934_SEQ_19",""
20,"TEXT_STMBDA325_02934_SEQ_20",""
21,"TEXT_STMBDA325_02934_SEQ_21",""
22,"TEXT_STMBDA325_02934_SEQ_22",""
23,"TEXT_STMBDA325_02934_SEQ_23",""
24,"TEXT_STMBDA325_02934_TODO_00","和多瑪起義軍門衛對話"
25,"TEXT_STMBDA325_02934_TODO_01","和同伴們對話"
26,"TEXT_STMBDA325_02934_TODO_02","和夕霧對話"
27,"TEXT_STMBDA325_02934_TODO_03",""
28,"TEXT_STMBDA325_02934_TODO_04",""
29,"TEXT_STMBDA325_02934_TODO_05",""
30,"TEXT_STMBDA325_02934_TODO_06",""
31,"TEXT_STMBDA325_02934_TODO_07",""
32,"TEXT_STMBDA325_02934_TODO_08",""
33,"TEXT_STMBDA325_02934_TODO_09",""
34,"TEXT_STMBDA325_02934_TODO_10",""
35,"TEXT_STMBDA325_02934_TODO_11",""
36,"TEXT_STMBDA325_02934_TODO_12",""
37,"TEXT_STMBDA325_02934_TODO_13",""
38,"TEXT_STMBDA325_02934_TODO_14",""
39,"TEXT_STMBDA325_02934_TODO_15",""
40,"TEXT_STMBDA325_02934_TODO_16",""
41,"TEXT_STMBDA325_02934_TODO_17",""
42,"TEXT_STMBDA325_02934_TODO_18",""
43,"TEXT_STMBDA325_02934_TODO_19",""
44,"TEXT_STMBDA325_02934_TODO_20",""
45,"TEXT_STMBDA325_02934_TODO_21",""
46,"TEXT_STMBDA325_02934_TODO_22",""
47,"TEXT_STMBDA325_02934_TODO_23",""
48,"TEXT_STMBDA325_02934_GOSETSU_100_000","好了，我們快進去吧！"
49,"TEXT_STMBDA325_02934_RESSIANGATEKEEPER_000_000","您就是前來協助我們的<hex:022903EB0203>閣下吧！<hex:02100103>情況我都聽說了！"
50,"TEXT_STMBDA325_02934_RESSIANGATEKEEPER_000_001","感謝你們千里迢迢從艾歐澤亞趕來提供協助，<hex:02100103>我們多瑪起義軍感激不盡……<hex:02100103>快請進吧！"
51,"TEXT_STMBDA325_02934_RESSIANGATEKEEPER_000_005","這裡面就是我們的據點烈士庵。<hex:02100103>快請進吧！"
52,"TEXT_STMBDA325_02934_SYSTEM_000_006","要進入烈士庵嗎？"
53,"TEXT_STMBDA325_02934_YUGIRI_000_010","雖然物資匱乏，但是這裡很安全。<hex:02100103>你們可以暫且休整，緩解一下旅途的勞累。"
54,"TEXT_STMBDA325_02934_RESISTANCE02492_000_015","感謝你們能夠協助我們。<hex:02100103>今後請多多指教了！"
55,"TEXT_STMBDA325_02934_ALISAIE_000_020","這裡的乙太之光已經停止運作了……<hex:02100103>聽說，在1年前的起義大敗之時，<hex:02100103>為了避免被帝國軍利用，起義軍就故意把它弄壞了。"
56,"TEXT_STMBDA325_02934_ALISAIE_000_021","……部件看上去倒是很齊全，只是我一個人修復起來會比較困難，<hex:02100103>要是能叫上阿爾菲諾的話沒準能修好……<hex:02100103>我會根據今後的作戰情況來考慮一下的。"
57,"TEXT_STMBDA325_02934_ALISAIE_000_022","乙太之光方面是穆恩布瑞達的專長。<hex:02100103>她來找祖父的時候，我和阿爾菲諾曾從她那裡學到一些東西……<hex:02100103>要是能在這裡發揮作用就再好不過了。"
58,"TEXT_STMBDA325_02934_GOSETSU_000_030","嗯……老夫終於能歇上一會了。<hex:02100103>以前就算受了重傷，老夫也能靠毅力活蹦亂跳的。<hex:02100103>看來真是歲月不饒人，現在傷口的癒合速度沒有以前快了啊……"
59,"TEXT_STMBDA325_02934_GOSETSU_000_031","……說起來，你們覺得我們烈士庵怎麼樣？<hex:02100103>跟艾歐澤亞同盟軍的氣勢比起來，<hex:02100103>是不是看上去相當寒磣啊。"
60,"TEXT_STMBDA325_02934_GOSETSU_000_032","多瑪起義軍差不多是在10年前開始活動的。<hex:02100103>自祖國淪陷之後，花了整整15年才重建起來……"
61,"TEXT_STMBDA325_02934_GOSETSU_000_033","之後的10年裡，我們展開過數次小規模的起義運動，<hex:02100103>但都沒有什麼成果。"
62,"TEXT_STMBDA325_02934_GOSETSU_000_034","然而在1年前的那場戰鬥中，我們終於看到了勝算。<hex:02100103>直到忍村發生內亂，加上夜露透露的情報，<hex:02100103>我們的希望在惡鬼芝諾斯的攻勢下破滅了……"
63,"TEXT_STMBDA325_02934_GOSETSU_000_035","烈士庵之前就是我們的據點。<hex:02100103>在先前的起義敗北之時，很不可思議的是這裡並沒有暴露，<hex:02100103>因此我們就繼續使用了。"
64,"TEXT_STMBDA325_02934_LYSE_000_040","<hex:022903EB0203>，你來得正好。<hex:02100103>我正要聽他給我講1年前與芝諾斯戰鬥時的事情呢。"
65,"TEXT_STMBDA325_02934_RESISTANCE02492_000_041","皇太子芝諾斯……<hex:02100103>要說那個男人的戰鬥方式，就兩個字——詭異。"
66,"TEXT_STMBDA325_02934_RESISTANCE02492_000_042","他到任後，立刻將處於劣勢的帝國軍重新進行整編，<hex:02100103>並將計就計利用了我們的作戰，逆轉了戰況。<hex:02100103>……但是，他卻並沒有對我們乘勝追擊。"
67,"TEXT_STMBDA325_02934_RESISTANCE02492_000_043","在我們窮途末路之際，芝諾斯出現在了我們面前，<hex:02100103>並說有本事就取他性命，便單身向我們發出了挑戰。"
68,"TEXT_STMBDA325_02934_RESISTANCE02492_000_044","武士們一個個挑戰，一個個死去。<hex:02100103>甚至不懼背負卑鄙小人之名，用盡一切手段想砍下那傢伙的首級……<hex:02100103>但我們的刀碰都沒有碰到他。"
69,"TEXT_STMBDA325_02934_RESISTANCE02492_000_045","芝諾斯以壓倒性的強大力量將多瑪踐踏蹂躪。<hex:02100103>從始至終……他就像是完全在享受戰鬥似的。"
70,"TEXT_STMBDA325_02934_LYSE_000_046","你是說……他是在……享受虐殺？"
