key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_FESEST503_03204_SEQ_00","※本任務是特定期間內的任務。<hex:02100103><hex:02100103>格里達尼亞的吉莉・阿里亞珀正在努力想要解開謎題。"
1,"TEXT_FESEST503_03204_SEQ_01","※本任務只有在季節活動開放期間才能接受和進行。<hex:02100103>　季節活動結束後無法進行，敬請注意。<hex:02100103>　詳情請參見官方網站。<hex:02100103><hex:02100103>和吉莉・阿里亞珀進行了交談。為了解開寫在<hex:022811FF0A>EventItem<hex:F61E8E430103>上的謎題，前往舊街找5隻魔蛋精收集情報。"
2,"TEXT_FESEST503_03204_SEQ_02","和5隻魔蛋精進行了交談。樹蔭東屋前的魔蛋精提到了數字的「1」。東棧橋的魔蛋精提到了數字的「2」。碧企鵝瀑布北邊的魔蛋精提到了數字的「3」。豐饒神祭壇前的魔蛋精提到了數字的「4」。格雷洛姆農場的魔蛋精提到了數字的「5」。和米・凱特露天劇場的吉莉・阿里亞珀匯合。"
3,"TEXT_FESEST503_03204_SEQ_03","和吉莉・阿里亞珀進行了交談。使用<hex:022811FF0A>EventItem<hex:F61E8E430103>，參考從5隻魔蛋精那裡打聽到的情報，找出<hex:022811FF0A>EventItem<hex:F61E8E440103>的隱藏地點並說出暗號！說出暗號的方法為：將聊天頻道設定為「說話」頻道後，使用鍵盤或軟鍵盤輸入含有「彩蛋狩獵」的詞句。"
4,"TEXT_FESEST503_03204_SEQ_04","和加比諾進行了交談。加比諾表示是諾諾塔和魔石精拜託他為彩蛋狩獵活動幫忙。里吉表示魔石精與人類能一起參與的彩蛋狩獵活動非常有意思，可是謎題被解開，歡樂的時光就此結束，里吉感到有些寂寞。這時加比諾建議里吉到小屋幫忙幹活。結識了新的工作夥伴的里吉，應該不會感到孤獨寂寞了。和米・凱特露天劇場的諾諾塔談談。"
5,"TEXT_FESEST503_03204_SEQ_05","將<hex:022811FF0A>EventItem<hex:F61E8E440103>交給了諾諾塔。吉莉・阿里亞珀對於幫忙炒熱彩蛋狩獵活動氣氛的諾諾塔和里吉以及冒險者表達了感謝。雖然解密遊戲已經結束，不過接下來吉莉・阿里亞珀要準備新的謎題，讓格里達尼亞的市民也一起來參加。"
6,"TEXT_FESEST503_03204_SEQ_06",""
7,"TEXT_FESEST503_03204_SEQ_07",""
8,"TEXT_FESEST503_03204_SEQ_08",""
9,"TEXT_FESEST503_03204_SEQ_09",""
10,"TEXT_FESEST503_03204_SEQ_10",""
11,"TEXT_FESEST503_03204_SEQ_11",""
12,"TEXT_FESEST503_03204_SEQ_12",""
13,"TEXT_FESEST503_03204_SEQ_13",""
14,"TEXT_FESEST503_03204_SEQ_14",""
15,"TEXT_FESEST503_03204_SEQ_15",""
16,"TEXT_FESEST503_03204_SEQ_16",""
17,"TEXT_FESEST503_03204_SEQ_17",""
18,"TEXT_FESEST503_03204_SEQ_18",""
19,"TEXT_FESEST503_03204_SEQ_19",""
20,"TEXT_FESEST503_03204_SEQ_20",""
21,"TEXT_FESEST503_03204_SEQ_21",""
22,"TEXT_FESEST503_03204_SEQ_22",""
23,"TEXT_FESEST503_03204_SEQ_23",""
24,"TEXT_FESEST503_03204_TODO_00","和5隻魔蛋精對話"
25,"TEXT_FESEST503_03204_TODO_01","和吉莉・阿里亞珀匯合"
26,"TEXT_FESEST503_03204_TODO_02","前往<hex:022811FF0A>EventItem<hex:F61E8E440103>的隱藏地點<hex:02100103>在「說話」頻道下輸入「彩蛋狩獵」 (Egg Hunt)"
27,"TEXT_FESEST503_03204_TODO_03","將<hex:022811FF0A>EventItem<hex:F61E8E440103>交給米・凱特露天劇場的諾諾塔"
28,"TEXT_FESEST503_03204_TODO_04",""
29,"TEXT_FESEST503_03204_TODO_05",""
30,"TEXT_FESEST503_03204_TODO_06",""
31,"TEXT_FESEST503_03204_TODO_07",""
32,"TEXT_FESEST503_03204_TODO_08",""
33,"TEXT_FESEST503_03204_TODO_09",""
34,"TEXT_FESEST503_03204_TODO_10",""
35,"TEXT_FESEST503_03204_TODO_11",""
36,"TEXT_FESEST503_03204_TODO_12",""
37,"TEXT_FESEST503_03204_TODO_13",""
38,"TEXT_FESEST503_03204_TODO_14",""
39,"TEXT_FESEST503_03204_TODO_15",""
40,"TEXT_FESEST503_03204_TODO_16",""
41,"TEXT_FESEST503_03204_TODO_17",""
42,"TEXT_FESEST503_03204_TODO_18",""
43,"TEXT_FESEST503_03204_TODO_19",""
44,"TEXT_FESEST503_03204_TODO_20",""
45,"TEXT_FESEST503_03204_TODO_21",""
46,"TEXT_FESEST503_03204_TODO_22",""
47,"TEXT_FESEST503_03204_TODO_23",""
48,"TEXT_FESEST503_03204_SYSTEM_000_001","本任務是「探索類任務」。<hex:02100103>在任務進行中，<hex:02100103>日誌、目的列表和地圖有時不會提供相關提示。"
49,"TEXT_FESEST503_03204_JIHLIALIAPOH_000_002","那就趕緊看看下一張寫有謎題的紙張吧！"
50,"TEXT_FESEST503_03204_JIHLIALIAPOH_000_003","看來這回和上回的謎題一樣，<hex:02100103>在某種圖形上亂糟糟地印著一些帶有字母的印章。"
51,"TEXT_FESEST503_03204_JIHLIALIAPOH_000_004","光靠這個還是搞不懂是怎麼回事……"
52,"TEXT_FESEST503_03204_JIHLIALIAPOH_000_005","小諾、里吉，解謎還需要其他的什麼情報嗎？"
53,"TEXT_FESEST503_03204_NONOTTA_000_006","當然是有的！<hex:02100103>這回跟第一個謎題一樣，<hex:02100103>需要你們從魔蛋精那裡收集情報！"
54,"TEXT_FESEST503_03204_NONOTTA_000_007","知道解謎所需情報的5隻魔蛋精都在舊街呢，<hex:02100103>請去找它們談談吧！"
55,"TEXT_FESEST503_03204_RIGGY_000_008","咿嘰嘰！<hex:02100103>借次、魔蛋精、更多！<hex:02100103>去早早、看吧！"
56,"TEXT_FESEST503_03204_JIHLIALIAPOH_000_009","好了，那咱們就趕緊去找魔蛋精打聽一下！<hex:02100103>等收集完情報以後就在米・凱特露天劇場匯合吧！"
57,"TEXT_FESEST503_03204_RIGGY_000_010","咿嘰嘰！<hex:02100103>加由、加由！"
58,"TEXT_FESEST503_03204_NONOTTA_000_011","諾諾塔也給<hex:022903EB0203>一份<hex:022811FF0A>EventItem<hex:F61E8E430103>。<hex:02100103>請你努力解開謎題吧！"
59,"TEXT_FESEST503_03204_RIGGY_000_015","咿嘰嘰！<hex:02100103>好開森、節意！<hex:02100103>還咩、結宿！"
60,"TEXT_FESEST503_03204_NONOTTA_000_020","請你們繼續努力解謎吧！"
61,"TEXT_FESEST503_03204_SYSTEM_000_030","拿到了諾諾塔給的第二張<hex:022811FF0A>EventItem<hex:F61E8E430103>。<hex:02100103>紙張上記載著<hex:022811FF0A>EventItem<hex:F61E8E440103>的隱藏地點。"
62,"TEXT_FESEST503_03204_SPRIGAN03204_000_050","咿嘰嘰！<hex:02100103>這裡是第1個！"
